"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Sargocentron praslin (Lacepède, 1802)","species","Animalia","alien","null","present","Israel","ISR","Sargocentron praslin","Animalia","Chordata","Actinopterygii","Beryciformes","Holocentridae","[""marine""]"
"Papilloculiceps longiceps (Cuvier, 1829)","species","Animalia","alien","null","present","Israel","ISR","Papilloculiceps longiceps","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Platycephalidae","[""marine""]"
"Smittina malleolus (Hincks, 1884)","species","Animalia","alien","null","present","Israel","ISR","Smittina malleolus","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Smittinidae","[""marine""]"
"Tagetes minuta L.","species","Plantae","alien","null","present","Israel","ISR","Tagetes minuta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Xanthium spinosum L.","species","Plantae","alien","null","present","Israel","ISR","Xanthium spinosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Aquilonastra burtoni (Gray, 1840)","species","Animalia","alien","null","present","Israel","ISR","Aquilonastra burtoni","Animalia","Echinodermata","Asteroidea","Valvatida","Asterinidae","[""marine""]"
"Flabellina rubrolineata (O'Donoghue, 1929)","species","Animalia","alien","null","present","Israel","ISR","Coryphellina rubrolineata","Animalia","Mollusca","Gastropoda","Nudibranchia","Flabellinidae","[""marine""]"
"Elodea canadensis Michx.","species","Plantae","alien","null","present","Israel","ISR","Elodea canadensis","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Equulites elongatus (Günther, 1874)","species","Animalia","alien","null","present","Israel","ISR","Equulites elongatus","Animalia","Chordata","Actinopterygii","Perciformes","Leiognathidae","[""marine""]"
"Comperiella lemniscata Compere & Annecke, 1961","species","Animalia","alien","null","present","Israel","ISR","Comperiella lemniscata","Animalia","Arthropoda","Insecta","Hymenoptera","Encyrtidae","[""terrestrial""]"
"Megastigmus wachtli Seitner, 1916","species","Animalia","alien","null","present","Israel","ISR","Megastigmus wachtli","Animalia","Arthropoda","Insecta","Hymenoptera","Torymidae","[""terrestrial""]"
