"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Syllis alosae San Martí­n, 1992","species","Animalia","cryptogenic|uncertain","null","present","Italy","ITA","Syllis alosae","Animalia","Annelida","Polychaeta","Phyllodocida","Syllidae","[""marine""]"
"Passiflora caerulea L.","species","Plantae","alien","null","present","Italy","ITA","Passiflora caerulea","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]"
"Salmo trutta Linnaeus, 1758","species","Animalia","alien","null","present","Italy","ITA","Salmo trutta","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Euphorbia humifusa Willd.","species","Plantae","alien","null","present","Italy","ITA","Euphorbia humifusa","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Pseudo-nitzschia multistriata (Takano) Takano, 1995","species","Chromista","alien","null","present","Italy","ITA","Pseudo-nitzschia multistriata","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","[""marine""]"
"Melittobia australica Girault, 1912","species","Animalia","alien","null","present","Italy","ITA","Melittobia australica","Animalia","Arthropoda","Insecta","Hymenoptera","Eulophidae","[""terrestrial""]"
"Alexandrium pacificum Litaker","species","Chromista","alien","null","present","Italy","ITA","Alexandrium pacificum","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Gonyaulacaceae","[""marine""]"
"Gypsophila pilosa Huds.","species","Plantae","alien","null","present","Italy","ITA","Gypsophila pilosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Elodea nuttallii St.John","species","Plantae","alien","null","present","Italy","ITA","Elodea nuttallii","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Phibalothrips peringuei (Faure, 1925)","species","Animalia","alien","null","present","Italy","ITA","Phibalothrips peringuei","Animalia","Arthropoda","Insecta","Thysanoptera","Thripidae","[""terrestrial""]"
"Epinephelus coioides (Hamilton, 1822)","species","Animalia","alien","null","present","Italy","ITA","Epinephelus coioides","Animalia","Chordata","Actinopterygii","Perciformes","Serranidae","[""brackish"",""marine""]"
"Theora lubrica Gould, 1861","species","Animalia","alien","null","present","Italy","ITA","Theora lubrica","Animalia","Mollusca","Bivalvia","Cardiida","Semelidae","[""marine""]"
"Podarcis siculus (Rafinesque-schmaltz, 1810)","species","Animalia","native|alien","invasive","present","Italy","ITA","Podarcis siculus","Animalia","Chordata","Reptilia","Squamata","Lacertidae","[""terrestrial""]"
"Morus indica L.","species","Plantae","alien","null","present","Italy","ITA","Morus alba","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Galinsoga quadriradiata Ruiz & Pav.","species","Plantae","alien","invasive","present","Italy","ITA","Galinsoga quadriradiata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Platyscapa quadraticeps (Mayr, 1885)","species","Animalia","alien","null","present","Italy","ITA","Platyscapa quadraticeps","Animalia","Arthropoda","Insecta","Hymenoptera","Agaonidae","[""terrestrial""]"
"Neanthes agulhana (Day, 1963)","species","Animalia","cryptogenic|uncertain","null","present","Italy","ITA","Neanthes agulhana","Animalia","Annelida","Polychaeta","Phyllodocida","Nereididae","[""marine""]"
"Rubus armeniacus Focke","species","Plantae","alien","null","present","Italy","ITA","Rubus armeniacus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Punica granatum L.","species","Plantae","alien","null","present","Italy","ITA","Punica granatum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","[""terrestrial""]"
"Ambrosia trifida L.","species","Plantae","alien","null","present","Italy","ITA","Ambrosia trifida","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Gazania linearis Druce","species","Plantae","alien","null","present","Italy","ITA","Gazania linearis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Apodemus sylvaticus (Linnaeus, 1758)","species","Animalia","native|alien","null","present","Italy","ITA","Apodemus sylvaticus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Rudbeckia hirta L.","species","Plantae","alien","null","present","Italy","ITA","Rudbeckia hirta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Dichanthelium clandestinum (L.) Gould","species","Plantae","alien","null","present","Italy","ITA","Panicum clandestinum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Hemidactylus turcicus (Linnaeus, 1758)","species","Animalia","native|alien","null","present","Italy","ITA","Hemidactylus turcicus","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","[""terrestrial""]"
