"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Cyanthillium cinereum (L.) H.Rob.","species","Plantae","alien","null","present","Jamaica","JAM","Cyanthillium cinereum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Aleurites moluccanus Willd.","species","Plantae","alien","null","present","Jamaica","JAM","Aleurites moluccanus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Sanchezia speciosa Leonard","species","Plantae","alien","null","present","Jamaica","JAM","Sanchezia speciosa","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]"
"Rhododendron arboreum Sm.","species","Plantae","alien","null","present","Jamaica","JAM","Rhododendron arboreum","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","[""terrestrial""]"
"Abrus precatorius L.","species","Plantae","alien","null","present","Jamaica","JAM","Abrus precatorius","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Syzygium jambos (L.) Alston","species","Plantae","alien","invasive","present","Jamaica","JAM","Syzygium jambos","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Allamanda cathartica L.","species","Plantae","alien","null","present","Jamaica","JAM","Allamanda cathartica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Ricinus communis L.","species","Plantae","alien","null","present","Jamaica","JAM","Ricinus communis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Phallusia nigra Savigny, 1816","species","Animalia","alien","null","present","Jamaica","JAM","Phallusia nigra","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","[""marine""]"
"Ambrosia polystachya DC.","species","Plantae","alien","null","present","Jamaica","JAM","Ambrosia polystachya","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Mangifera indica L.","species","Plantae","alien","null","present","Jamaica","JAM","Mangifera indica","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]"
"Physalis peruviana L.","species","Plantae","alien","null","present","Jamaica","JAM","Physalis peruviana","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Haematoxylum campechianum L.","species","Plantae","alien","invasive","present","Jamaica","JAM","Haematoxylum campechianum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Leucaena leucocephala (Lam.) de Wit","species","Plantae","alien","invasive","present","Jamaica","JAM","Leucaena leucocephala","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Indigofera tinctoria L.","species","Plantae","alien","null","present","Jamaica","JAM","Indigofera tinctoria","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Ficus religiosa L.","species","Plantae","alien","null","present","Jamaica","JAM","Ficus religiosa","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Cyperus rotundus L.","species","Plantae","alien","null","present","Jamaica","JAM","Cyperus rotundus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Solenopsis invicta Buren, 1972","species","Animalia","alien","invasive","present","Jamaica","JAM","Solenopsis invicta","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
