"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Columba livia Gmelin, 1789","species","Animalia","alien","invasive","present","Japan","JPN","Columba livia","Animalia","Chordata","Aves","Columbiformes","Columbidae","[""terrestrial""]",
"Vicia villosa Roth","species","Plantae","alien","invasive","present","Japan","JPN","Vicia villosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Megabalanus coccopoma (Darwin, 1854)","species","Animalia","alien","null","present","Japan","JPN","Megabalanus coccopoma","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","[""marine""]",
"Peridroma saucia (Hubner, 1808)","species","Animalia","alien","null","present","Japan","JPN","Peridroma saucia","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","[""terrestrial""]",
"Dienerella argus (Reitter, 1884)","species","Animalia","alien","null","present","Japan","JPN","Dienerella argus","Animalia","Arthropoda","Insecta","Coleoptera","Latridiidae","[""terrestrial""]",
"Carthamus lanatus L.","species","Plantae","alien","null","present","Japan","JPN","Carthamus lanatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Passiflora foetida L.","species","Plantae","alien","invasive","present","Japan","JPN","Passiflora foetida","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Ceroplastes rubens Maskell, 1893","species","Animalia","alien","null","present","Japan","JPN","Ceroplastes rubens","Animalia","Arthropoda","Insecta","Hemiptera","Coccidae","[""host""]",
"Microhyla okinavensis Stejneger, 1901","species","Animalia","native|alien","invasive","present","Japan","JPN","Microhyla okinavensis","Animalia","Chordata","Amphibia","Anura","Microhylidae","[""terrestrial"",""freshwater""]",
"Rubus armeniacus Focke","species","Plantae","alien","null","present","Japan","JPN","Rubus armeniacus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]",
"Cyperus odoratus L.","species","Plantae","alien","null","present","Japan","JPN","Cyperus odoratus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
