"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Hypophthalmichthys molitrix (Valenciennes, 1844)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Hypophthalmichthys molitrix","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Liza aurata (Risso, 1810)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Chelon auratus","Animalia","Chordata","Actinopterygii","Mugiliformes","Mugilidae","[""freshwater"",""brackish"",""marine""]"
"Morus nigra L.","species","Plantae","alien","null","present","Kazakhstan","KAZ","Morus nigra","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Acer negundo L.","species","Plantae","alien","null","present","Kazakhstan","KAZ","Acer negundo","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]"
"Sinanodonta lauta","species","Animalia","alien","null","present","Kazakhstan","KAZ","Sinanodonta lauta","Animalia","Mollusca","Bivalvia","Unionida","Unionidae","[""freshwater""]"
"Palaemon elegans Rathke, 1837","species","Animalia","alien","null","present","Kazakhstan","KAZ","Palaemon elegans","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","[""marine""]"
"Cuscuta pentagona Engelm.","species","Plantae","alien","null","present","Kazakhstan","KAZ","Cuscuta pentagona","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""host""]"
"Perccottus glenii Dybowski, 1877","species","Animalia","alien","null","present","Kazakhstan","KAZ","Perccottus glenii","Animalia","Chordata","Actinopterygii","Perciformes","Odontobutidae","[""freshwater"",""brackish""]"
"Bunias orientalis L.","species","Plantae","alien","null","present","Kazakhstan","KAZ","Bunias orientalis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Rutilus rutilus (Linnaeus, 1758)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Rutilus rutilus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Carduus acanthoides L.","species","Plantae","alien","null","present","Kazakhstan","KAZ","Carduus acanthoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Hyphantria cunea (Drury, 1773)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Hyphantria cunea","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","[""terrestrial""]"
"Atriplex gardneri var. aptera (A.Nelson) S.L.Welsh & C.Crompton","variety","Plantae","alien","null","present","Kazakhstan","KAZ","Atriplex aptera","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Lumbricus rubellus Hoffmeister, 1843","species","Animalia","alien","null","present","Kazakhstan","KAZ","Lumbricus rubellus","Animalia","Annelida","Clitellata","Crassiclitellata","Lumbricidae","[""terrestrial""]"
"Pseudogobio rivularis (Basilewsky, 1855)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Abbottina rivularis","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Xanthogaleruca luteola (Müller, 1766)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Xanthogaleruca luteola","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","[""terrestrial""]"
"Abutilon theophrasti Medik.","species","Plantae","alien","null","present","Kazakhstan","KAZ","Abutilon theophrasti","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Mnemiopsis leidyi A.Agassiz, 1865","species","Animalia","alien","null","present","Kazakhstan","KAZ","Mnemiopsis leidyi","Animalia","Ctenophora","Tentaculata","Lobata","Bolinopsidae","[""freshwater"",""brackish"",""marine""]"
"Rhinogobius similis Gill, 1859","species","Animalia","alien","null","present","Kazakhstan","KAZ","Rhinogobius similis","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","[""freshwater""]"
"Cardamine hirsuta L.","species","Plantae","alien","null","present","Kazakhstan","KAZ","Cardamine hirsuta","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Acinos arvensis (Lam.) Dandy","species","Plantae","alien","null","present","Kazakhstan","KAZ","Clinopodium acinos","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Knipowitschia caucasica (Berg, 1916)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Knipowitschia caucasica","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","[""freshwater"",""brackish"",""marine""]"
"Neogobius fluviatilis (Pallas, 1814)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Neogobius fluviatilis","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","[""freshwater"",""brackish"",""marine""]"
"Macrobrachium nipponense (De Haan, 1849)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Macrobrachium nipponense","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","[""freshwater""]"
"Oryzias sinensis Chen, Uwa & Chu, 1989","species","Animalia","alien","null","present","Kazakhstan","KAZ","Oryzias sinensis","Animalia","Chordata","Actinopterygii","Beloniformes","Adrianichthyidae","[""freshwater""]"
"Hemiculter lucidus (Dybowski, 1872)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Hemiculter lucidus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Gambusia affinis (Baird & Girard, 1853)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Gambusia affinis","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Xanthium spinosum L.","species","Plantae","alien","null","present","Kazakhstan","KAZ","Xanthium spinosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Neovison vison (Schreber, 1777)","species","Animalia","alien","invasive","present","Kazakhstan","KAZ","Neovison vison","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","[""terrestrial"",""freshwater""]"
"Silurus glanis Linnaeus, 1758","species","Animalia","alien","null","present","Kazakhstan","KAZ","Silurus glanis","Animalia","Chordata","Actinopterygii","Siluriformes","Siluridae","[""freshwater"",""brackish""]"
"Hemiculter leucisculus (Basilewsky, 1855)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Hemiculter leucisculus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Liza saliens (Risso, 1810)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Chelon saliens","Animalia","Chordata","Actinopterygii","Mugiliformes","Mugilidae","[""brackish"",""marine""]"
"Channa argus (Cantor, 1842)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Channa argus","Animalia","Chordata","Actinopterygii","Perciformes","Channidae","[""freshwater""]"
"Rhithropanopeus harrisii (Gould, 1841)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Rhithropanopeus harrisii","Animalia","Arthropoda","Malacostraca","Decapoda","Panopeidae","[""marine""]"
"Taraxacum campylodes G.E.Haglund","species","Plantae","alien","null","present","Kazakhstan","KAZ","Taraxacum campylodes","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Silene cserei Baumg.","species","Plantae","alien","null","present","Kazakhstan","KAZ","Silene cserei","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Oryzias latipes (Temminck & Schlegel, 1846)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Oryzias latipes","Animalia","Chordata","Actinopterygii","Beloniformes","Adrianichthyidae","[""freshwater"",""brackish""]"
"Turcogammarus aralensis (Uljanin, 1875)","species","Animalia","alien","null","present","Kazakhstan","KAZ","Turcogammarus aralensis","Animalia","Arthropoda","Malacostraca","Amphipoda","Pontogammaridae","[""freshwater""]"
"Cyprinus carpio Linnaeus, 1758","species","Animalia","alien","null","present","Kazakhstan","KAZ","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Salmo ischchan Kessler, 1877","species","Animalia","alien","null","present","Kazakhstan","KAZ","Salmo ischchan","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater""]"
"Solanum rostratum Dun.","species","Plantae","alien","null","present","Kazakhstan","KAZ","Solanum angustifolium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
