"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Castilla elastica Sessé","species","Plantae","alien","null","present","Kenya","KEN","Castilla elastica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Myiopsitta monachus (Boddaert, 1783)","species","Animalia","alien","null","present","Kenya","KEN","Myiopsitta monachus","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","[""terrestrial""]"
"Salvia coccinea Buc'hoz ex Etl.","species","Plantae","alien","invasive","present","Kenya","KEN","Salvia coccinea","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Farfantepenaeus notialis (Pérez Farfante, 1967)","species","Animalia","alien","null","present","Kenya","KEN","Farfantepenaeus notialis","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","[""marine""]"
"Albizia saman (Jacq.) Merr.","species","Plantae","alien","null","present","Kenya","KEN","Albizia saman","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Maesopsis eminii Engl.","species","Plantae","alien","null","present","Kenya","KEN","Maesopsis eminii","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","[""terrestrial""]"
"Azadirachta indica A.Juss.","species","Plantae","alien","invasive","present","Kenya","KEN","Azadirachta indica","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Pistia stratiotes L.","species","Plantae","alien","invasive","present","Kenya","KEN","Pistia stratiotes","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""freshwater""]"
"Cordia alliodora (Ruiz & Pav.) Oken","species","Plantae","alien","null","present","Kenya","KEN","Cordia alliodora","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Ehretiaceae","[""terrestrial""]"
"Albizia lebbeck (L.) Benth.","species","Plantae","alien","null","present","Kenya","KEN","Albizia lebbeck","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Psittacula krameri (Scopoli, 1769)","species","Animalia","alien","null","present","Kenya","KEN","Psittacula krameri","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","[""terrestrial""]"
"Jatropha curcas L.","species","Plantae","alien","invasive","present","Kenya","KEN","Jatropha curcas","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Acrocarpus fraxinifolius Wight & Arn.","species","Plantae","alien","invasive","present","Kenya","KEN","Acrocarpus fraxinifolius","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Agave celsii Hook.","species","Plantae","alien","null","present","Kenya","KEN","Agave mitis","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Camellia sinensis Kuntze","species","Plantae","alien","null","present","Kenya","KEN","Camellia sinensis","Plantae","Tracheophyta","Magnoliopsida","Ericales","Theaceae","[""terrestrial""]"
"Calacarus carinatus (Green, 1890)","species","Animalia","alien","null","present","Kenya","KEN","Calacarus carinatus","Animalia","Arthropoda","Arachnida","Prostigmata","Eriophyidae","[""host""]"
"Datura ferox L.","species","Plantae","alien","invasive","present","Kenya","KEN","Datura ferox","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Datura metel L.","species","Plantae","alien","invasive","present","Kenya","KEN","Datura metel","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Stellaria media (L.) Vill.","species","Plantae","alien","invasive","present","Kenya","KEN","Stellaria media","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Hevea brasiliensis (Willd. ex A.Juss.) Müll.Arg.","species","Plantae","alien","null","present","Kenya","KEN","Hevea brasiliensis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Thevetia peruviana (Pers.) K.Schum.","species","Plantae","alien","invasive","present","Kenya","KEN","Cascabela thevetia","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Rubus steudneri Schweinf.","species","Plantae","alien","null","present","Kenya","KEN","Rubus steudneri","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Tephrosia vogelii Hook.f.","species","Plantae","alien","invasive","present","Kenya","KEN","Tephrosia vogelii","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Oreochromis macrochir (Boulenger, 1912)","species","Animalia","alien","null","present","Kenya","KEN","Oreochromis macrochir","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater""]"
"Nicotiana glauca Graham","species","Plantae","alien","invasive","present","Kenya","KEN","Nicotiana glauca","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Psidium cattleianum Sabine","species","Plantae","alien","null","present","Kenya","KEN","Psidium cattleianum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Agave angustifolia Haw.","species","Plantae","alien","invasive","present","Kenya","KEN","Agave angustifolia","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Opuntia stricta (Haw.) Haw.","species","Plantae","alien","invasive","present","Kenya","KEN","Opuntia stricta","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Ramphotyphlops braminus Daudin, 1803","species","Animalia","alien","null","present","Kenya","KEN","Ramphotyphlops braminus","Animalia","Chordata","Reptilia","Squamata","Typhlopidae","[""terrestrial""]"
"Cryptostegia madagascariensis Bojer","species","Plantae","alien","null","present","Kenya","KEN","Cryptostegia madagascariensis","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Echium plantagineum L.","species","Plantae","alien","invasive","present","Kenya","KEN","Echium plantagineum","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Terminalia catappa L.","species","Plantae","alien","null","present","Kenya","KEN","Terminalia catappa","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae","[""terrestrial""]"
"Agave attenuata Salm-Dyck","species","Plantae","alien","null","present","Kenya","KEN","Agave attenuata","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Furcraea foetida Haw.","species","Plantae","alien","invasive","present","Kenya","KEN","Furcraea foetida","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Calotropis gigantea (L.) W.T.Aiton","species","Plantae","alien","invasive","present","Kenya","KEN","Calotropis gigantea","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Mimosa pudica L.","species","Plantae","alien","invasive","present","Kenya","KEN","Mimosa pudica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Passiflora suberosa L.","species","Plantae","alien","invasive","present","Kenya","KEN","Passiflora suberosa","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]"
"Egeria densa Planch.","species","Plantae","alien","null","present","Kenya","KEN","Egeria densa","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Passer domesticus (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Kenya","KEN","Passer domesticus","Animalia","Chordata","Aves","Passeriformes","Passeridae","[""terrestrial""]"
"Striga asiatica (L.) Kuntze","species","Plantae","alien","invasive","present","Kenya","KEN","Striga asiatica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]"
"Peltophorum pterocarpum (DC.) Backer ex K.Heyne","species","Plantae","alien","null","present","Kenya","KEN","Peltophorum pterocarpum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Rubus rosifolius Sm.","species","Plantae","alien","null","present","Kenya","KEN","Rubus rosifolius","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Acacia podalyriifolia Cunn. ex Don","species","Plantae","alien","invasive","present","Kenya","KEN","Acacia podalyriifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Senna bicapsularis (L.) Roxb.","species","Plantae","alien","invasive","present","Kenya","KEN","Senna bicapsularis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Cestrum elegans (Brongn. ex Neumann) Schltdl.","species","Plantae","alien","null","present","Kenya","KEN","Cestrum elegans","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Bryophyllum proliferum Bowie ex Hook.","species","Plantae","alien","invasive","present","Kenya","KEN","Kalanchoe prolifera","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]"
"Cestrum nocturnum L.","species","Plantae","alien","null","present","Kenya","KEN","Cestrum nocturnum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Rubus niveus Thunb.","species","Plantae","alien","invasive","present","Kenya","KEN","Rubus niveus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Salvelinus fontinalis (Mitchill, 1814)","species","Animalia","alien","null","present","Kenya","KEN","Salvelinus fontinalis","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Argemone ochroleuca Sweet","species","Plantae","alien","invasive","present","Kenya","KEN","Argemone ochroleuca","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Euryops chrysanthemoides (DC.) B.Nord.","species","Plantae","alien","invasive","present","Kenya","KEN","Euryops chrysanthemoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Brillantaisia lamium Benth.","species","Plantae","alien","invasive","present","Kenya","KEN","Brillantaisia lamium","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]"
"Clarias gariepinus (Burchell, 1822)","species","Animalia","alien","invasive","present","Kenya","KEN","Clarias gariepinus","Animalia","Chordata","Actinopterygii","Siluriformes","Clariidae","[""freshwater""]"
"Ageratum houstonianum Mill.","species","Plantae","alien","invasive","present","Kenya","KEN","Ageratum houstonianum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cereus jamacaru DC.","species","Plantae","alien","invasive","present","Kenya","KEN","Cereus jamacaru","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Frankliniella occidentalis (Pergande, 1895)","species","Animalia","alien","invasive","present","Kenya","KEN","Frankliniella occidentalis","Animalia","Arthropoda","Insecta","Thysanoptera","Thripidae","[""terrestrial""]"
"Cestrum laevigatum Schltdl.","species","Plantae","alien","invasive","present","Kenya","KEN","Cestrum laevigatum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Psidium guajava L.","species","Plantae","alien","invasive","present","Kenya","KEN","Psidium guajava","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Agave sisalana Perrine","species","Plantae","alien","invasive","present","Kenya","KEN","Agave sisalana","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Bauhinia monandra Kurz","species","Plantae","alien","null","present","Kenya","KEN","Bauhinia monandra","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Jacaranda mimosifolia D.Don","species","Plantae","alien","invasive","present","Kenya","KEN","Jacaranda mimosifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]"
"Crassula sarmentosa Harv.","species","Plantae","alien","invasive","present","Kenya","KEN","Crassula sarmentosa","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]"
"Ageratina adenophora (Spreng.) R.M.King & H.Rob.","species","Plantae","alien","invasive","present","Kenya","KEN","Ageratina adenophora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cyprinus carpio Linnaeus, 1758","species","Animalia","alien","invasive","present","Kenya","KEN","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Senna siamea (Lamarck) H.S.Irwin & Barneby","species","Plantae","alien","invasive","present","Kenya","KEN","Senna siamea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Lissachatina fulica (Férussac, 1821)","species","Animalia","alien","null","present","Kenya","KEN","Lissachatina fulica","Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","[""terrestrial""]"
"Gambusia holbrooki Girard, 1859","species","Animalia","alien","null","present","Kenya","KEN","Gambusia holbrooki","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Mycosphaerella fijiensis M.Morelet","species","Fungi","alien","null","present","Kenya","KEN","Mycosphaerella fijiensis","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","[""host""]"
"Oreochromis leucostictus (Trewavas, 1933)","species","Animalia","alien","null","present","Kenya","KEN","Oreochromis leucostictus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater""]"
"Prostephanus truncatus (Horn, 1878)","species","Animalia","alien","invasive","present","Kenya","KEN","Prostephanus truncatus","Animalia","Arthropoda","Insecta","Coleoptera","Bostrichidae","[""terrestrial""]"
"Buddleja madagascariensis Lam.","species","Plantae","alien","null","present","Kenya","KEN","Buddleja madagascariensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","[""terrestrial""]"
"Areca catechu L.","species","Plantae","alien","null","present","Kenya","KEN","Areca catechu","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]"
"Solanum seaforthianum Andrews","species","Plantae","alien","invasive","present","Kenya","KEN","Solanum seaforthianum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Oncorhynchus mykiss (Walbaum, 1792)","species","Animalia","alien","null","present","Kenya","KEN","Oncorhynchus mykiss","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Ipomoea carnea Jacq.","species","Plantae","alien","invasive","present","Kenya","KEN","Ipomoea carnea","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Gonipterus scutellatus Gyllenhal, 1833","species","Animalia","alien","invasive","present","Kenya","KEN","Gonipterus scutellatus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Catharanthus roseus G.Don","species","Plantae","alien","invasive","present","Kenya","KEN","Catharanthus roseus","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Dovyalis caffra Warb.","species","Plantae","alien","invasive","present","Kenya","KEN","Dovyalis caffra","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]"
"Tradescantia zebrina Bosse","species","Plantae","alien","invasive","present","Kenya","KEN","Tradescantia zebrina","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Poecilia reticulata Peters, 1859","species","Animalia","alien","null","present","Kenya","KEN","Poecilia reticulata","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Xanthium strumarium L.","species","Plantae","alien","invasive","present","Kenya","KEN","Xanthium strumarium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Opuntia monacantha Haw.","species","Plantae","alien","invasive","present","Kenya","KEN","Opuntia monacantha","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Thunbergia grandiflora Roxb.","species","Plantae","alien","null","present","Kenya","KEN","Thunbergia grandiflora","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]"
"Bryophyllum fedtschenkoi (Hamet & Perr.) Lauzac-Marchal","species","Plantae","alien","invasive","present","Kenya","KEN","Kalanchoe fedtschenkoi","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]"
"Galinsoga parviflora Cav.","species","Plantae","alien","invasive","present","Kenya","KEN","Galinsoga parviflora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Sphagneticola trilobata (L.) Pruski","species","Plantae","alien","invasive","present","Kenya","KEN","Sphagneticola trilobata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Hedychium gardnerianum Ker Gawl.","species","Plantae","alien","null","present","Kenya","KEN","Hedychium gardnerianum","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]"
"Solanum campylacanthum Hochst. ex A.Rich.","species","Plantae","alien","invasive","present","Kenya","KEN","Solanum campylacanthum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Solanaceae","[""terrestrial""]"
"Tithonia diversifolia A.Gray","species","Plantae","alien","invasive","present","Kenya","KEN","Tithonia diversifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Gambusia affinis (Baird & Girard, 1853)","species","Animalia","alien","null","present","Kenya","KEN","Gambusia affinis","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Erigeron karvinskianus DC.","species","Plantae","alien","null","present","Kenya","KEN","Erigeron karvinskianus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Pinus caribaea Morelet","species","Plantae","alien","null","present","Kenya","KEN","Pinus caribaea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Jatropha gossypiifolia L.","species","Plantae","alien","invasive","present","Kenya","KEN","Jatropha gossypiifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Ipomoea nil (L.) Roth","species","Plantae","alien","invasive","present","Kenya","KEN","Ipomoea nil","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Hedychium coronarium J.Koenig","species","Plantae","alien","invasive","present","Kenya","KEN","Hedychium coronarium","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]"
"Harmonia axyridis (Pallas, 1773)","species","Animalia","alien","null","present","Kenya","KEN","Harmonia axyridis","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","[""terrestrial""]"
"Oreochromis mossambicus (Peters, 1852)","species","Animalia","alien","invasive","present","Kenya","KEN","Oreochromis mossambicus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Tradescantia pallida (Rose) D.R.Hunt","species","Plantae","alien","null","present","Kenya","KEN","Tradescantia pallida","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Opuntia stricta var. dillenii L.D.Benson","variety","Plantae","alien","invasive","present","Kenya","KEN","Opuntia stricta","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Melia azedarach L.","species","Plantae","alien","null","present","Kenya","KEN","Melia azedarach","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Canna generalis L.H.Bailey","species","Plantae","alien","invasive","present","Kenya","KEN","Canna generalis","Plantae","Tracheophyta","Liliopsida","Zingiberales","Cannaceae","[""terrestrial""]"
"Hylocereus undatus (Haw.) Britton & Rose","species","Plantae","alien","invasive","present","Kenya","KEN","Hylocereus undatus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Cinara cupressi (Buckton, 1881)","species","Animalia","alien","null","present","Kenya","KEN","Cinara cupressi","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","[""host""]"
"Striga hermonthica (Delile) Benth.","species","Plantae","alien","invasive","present","Kenya","KEN","Striga hermonthica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]"
"Brugmansia suaveolens Bercht. & J.Presl","species","Plantae","alien","invasive","present","Kenya","KEN","Brugmansia suaveolens","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Bryophyllum delagoense (Eckl. & Zeyh.) Schinz","species","Plantae","alien","invasive","present","Kenya","KEN","Kalanchoe delagoensis","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]"
"Opuntia ficus-indica Mill.","species","Plantae","alien","invasive","present","Kenya","KEN","Opuntia ficus-indica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Tecoma capensis Lindl.","species","Plantae","alien","null","present","Kenya","KEN","Tecoma capensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]"
"Penaeus monodon Fabricius, 1798","species","Animalia","alien","null","present","Kenya","KEN","Penaeus monodon","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","[""marine""]"
"Parkinsonia aculeata L.","species","Plantae","alien","invasive","present","Kenya","KEN","Parkinsonia aculeata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Clidemia hirta D.Don","species","Plantae","alien","invasive","present","Kenya","KEN","Clidemia hirta","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","[""terrestrial""]"
"Phyllostachys nigra Munro","species","Plantae","alien","null","present","Kenya","KEN","Phyllostachys nigra","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Argemone mexicana L.","species","Plantae","alien","invasive","present","Kenya","KEN","Argemone mexicana","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Cascabela thevetia (L.) Lippold","species","Plantae","alien","invasive","present","Kenya","KEN","Cascabela thevetia","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Carassius carassius (Linnaeus, 1758)","species","Animalia","alien","null","present","Kenya","KEN","Carassius carassius","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Ipomoea alba L.","species","Plantae","alien","invasive","present","Kenya","KEN","Ipomoea alba","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Lonicera japonica Thunb.","species","Plantae","alien","null","present","Kenya","KEN","Lonicera japonica","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","[""terrestrial""]"
"Artocarpus heterophyllus Lam.","species","Plantae","alien","null","present","Kenya","KEN","Artocarpus heterophyllus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Salmo trutta Linnaeus, 1758","species","Animalia","alien","invasive","present","Kenya","KEN","Salmo trutta","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Nicandra physalodes (L.) Gaertn.","species","Plantae","alien","invasive","present","Kenya","KEN","Nicandra physalodes","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Acacia polyacantha Willd.","species","Plantae","alien","null","present","Kenya","KEN","Senegalia polyacantha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Senna hirsuta (L.) H.S.Irwin & Barneby","species","Plantae","alien","invasive","present","Kenya","KEN","Senna hirsuta","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Xanthium spinosum L.","species","Plantae","alien","null","present","Kenya","KEN","Xanthium spinosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Agapornis personatus Reichenow, 1887","species","Animalia","alien","null","present","Kenya","KEN","Agapornis personatus","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","[""terrestrial""]"
"Dahlia imperialis Roezl","species","Plantae","alien","invasive","present","Kenya","KEN","Dahlia imperialis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Helianthus annuus L.","species","Plantae","alien","invasive","present","Kenya","KEN","Helianthus annuus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Acacia saligna (Labill.) H.L.Wendl.","species","Plantae","alien","null","present","Kenya","KEN","Acacia saligna","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Phenacoccus manihoti Matile-Ferrero, 1977","species","Animalia","alien","invasive","present","Kenya","KEN","Phenacoccus manihoti","Animalia","Arthropoda","Insecta","Hemiptera","Pseudococcidae","[""host""]"
"Cirsium vulgare (Savi) Ten.","species","Plantae","alien","invasive","present","Kenya","KEN","Cirsium vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Pithecellobium dulce (Roxb.) Benth.","species","Plantae","alien","null","present","Kenya","KEN","Pithecellobium dulce","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
