"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Paspalum fimbriatum Kunth","species","Plantae","alien","null","present","Kiribati","KIR","Paspalum fimbriatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Caladium bicolor (Aiton) Vent.","species","Plantae","alien","null","present","Kiribati","KIR","Caladium bicolor","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial""]",
"Pheidole megacephala (Fabricius, 1793)","species","Animalia","alien","null","present","Kiribati","KIR","Pheidole megacephala","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
"Bauhinia monandra Kurz","species","Plantae","alien","null","present","Kiribati","KIR","Bauhinia monandra","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Eragrostis ciliaris (L.) R.Br.","species","Plantae","alien","invasive","present","Kiribati","KIR","Eragrostis ciliaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Mimosa pudica L.","species","Plantae","alien","null","present","Kiribati","KIR","Mimosa pudica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Digitaria henryi Rendle","species","Plantae","alien","null","present","Kiribati","KIR","Digitaria ciliaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Malvastrum coromandelianum (L.) Garcke","species","Plantae","alien","invasive","present","Kiribati","KIR","Malvastrum coromandelianum","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Panicum maximum Jacq.","species","Plantae","alien","null","present","Kiribati","KIR","Panicum maximum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Conocarpus erectus L.","species","Plantae","alien","invasive","present","Kiribati","KIR","Conocarpus erectus","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae","[""terrestrial""]",
"Euphorbia heterophylla L.","species","Plantae","alien","invasive","present","Kiribati","KIR","Euphorbia heterophylla","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Omobranchus obliquus (Garman, 1903)","species","Animalia","alien","null","present","Kiribati","KIR","Omobranchus obliquus","Animalia","Chordata","Actinopterygii","Perciformes","Blenniidae","[""brackish"",""marine""]",
"Crinum asiaticum L.","species","Plantae","alien","invasive","present","Kiribati","KIR","Crinum asiaticum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","[""terrestrial""]",
"Agave sisalana Perrine","species","Plantae","alien","invasive","present","Kiribati","KIR","Agave sisalana","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]",
"Spathodea campanulata P.Beauv.","species","Plantae","alien","null","present","Kiribati","KIR","Spathodea campanulata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]",
"Russelia equisetiformis Schltdl. & Cham.","species","Plantae","alien","invasive","present","Kiribati","KIR","Russelia equisetiformis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]",
"Macroptilium atropurpureum (L.) Urb.","species","Plantae","alien","null","present","Kiribati","KIR","Macroptilium atropurpureum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Lantana camara L.","species","Plantae","alien","null","present","Kiribati","KIR","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Kyllinga brevifolia","species","Plantae","alien","null","present","Kiribati","KIR","Kyllinga brevifolia","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Citrullus lanatus (Thunb.) Matsumura & Nakai","species","Plantae","alien","null","present","Kiribati","KIR","Citrullus lanatus","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]",
"Psidium guajava L.","species","Plantae","alien","null","present","Kiribati","KIR","Psidium guajava","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Nicotiana tabacum L.","species","Plantae","alien","null","present","Kiribati","KIR","Nicotiana tabacum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Phyllanthus amarus Schumach. & Thonn.","species","Plantae","alien","invasive","present","Kiribati","KIR","Phyllanthus amarus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","[""terrestrial""]",
"Solanum torvum Sw.","species","Plantae","alien","null","present","Kiribati","KIR","Solanum torvum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Epipremnum pinnatum cv. aureum","species","Plantae","alien","null","present","Kiribati","KIR","Epipremnum pinnatum","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial""]",
"Setaria verticillata (L.) P.Beauv.","species","Plantae","alien","null","present","Kiribati","KIR","Setaria verticillata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Colocasia esculenta (L.) Schott","species","Plantae","alien","null","present","Kiribati","KIR","Colocasia esculenta","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]",
"Asclepias curassavica L.","species","Plantae","alien","invasive","present","Kiribati","KIR","Asclepias curassavica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Euphorbia thymifolia L.","species","Plantae","alien","null","present","Kiribati","KIR","Euphorbia thymifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Mangifera indica L.","species","Plantae","alien","null","present","Kiribati","KIR","Mangifera indica","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]",
"Caesalpinia pulcherrima (L.) Sw.","species","Plantae","alien","null","present","Kiribati","KIR","Caesalpinia pulcherrima","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Anoplolepis gracilipes (Smith, 1857)","species","Animalia","alien","null","present","Kiribati","KIR","Anoplolepis gracilipes","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
"Phoenix dactylifera L.","species","Plantae","alien","null","present","Kiribati","KIR","Phoenix dactylifera","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]",
