"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Sargassum boveanum J.Agardh, 1848","species","Chromista","alien","null","present","Kuwait","KWT","Sargassum boveanum","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","[""marine""]"
"Aster squamatus Hieron.","species","Plantae","alien","null","present","Kuwait","KWT","Aster squamatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Coronopus didymus (L.) Sm.","species","Plantae","alien","null","present","Kuwait","KWT","Lepidium didymum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Boerhavia diffusa L.","species","Plantae","alien","null","present","Kuwait","KWT","Boerhavia diffusa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]"
"Sparus aurata Linnaeus, 1758","species","Animalia","alien","null","present","Kuwait","KWT","Sparus aurata","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","[""brackish"",""marine""]"
"Prosopis juliflora (Sw.) DC.","species","Plantae","alien","null","present","Kuwait","KWT","Prosopis juliflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Verbena tenuisecta Briq.","species","Plantae","alien","null","present","Kuwait","KWT","Glandularia aristigera","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Rattus rattus (Linnaeus, 1758)","species","Animalia","alien","null","present","Kuwait","KWT","Rattus rattus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Hordeum vulgare L.","species","Plantae","alien","null","present","Kuwait","KWT","Hordeum vulgare","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Sargassum oligocystum Mont.","species","Chromista","alien","null","present","Kuwait","KWT","Sargassum oligocystum","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","[""marine""]"
"Ziziphus mauritiana Lam.","species","Plantae","alien","null","present","Kuwait","KWT","Ziziphus mauritiana","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","[""terrestrial""]"
"Acridotheres tristis (Linnaeus, 1766)","species","Animalia","alien","null","present","Kuwait","KWT","Acridotheres tristis","Animalia","Chordata","Aves","Passeriformes","Sturnidae","[""terrestrial""]"
"Flabellina amabilis Hirano & Kuzirian, 1991","species","Animalia","cryptogenic|uncertain","null","present","Kuwait","KWT","Microchlamylla amabilis","Animalia","Mollusca","Gastropoda","Nudibranchia","Coryphellidae","[""marine""]"
"Hibiscus trionum L.","species","Plantae","alien","null","present","Kuwait","KWT","Hibiscus trionum","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Dactyloctenium aegyptium (L.) Willd.","species","Plantae","alien","null","present","Kuwait","KWT","Dactyloctenium aegyptium","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Melilotus alba Ledeb.","species","Plantae","alien","null","present","Kuwait","KWT","Melilotus albus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Rhopalophthalmus tattersallae Pillai, 1961","species","Animalia","cryptogenic|uncertain","null","present","Kuwait","KWT","Rhopalophthalmus tattersallae","Animalia","Arthropoda","Malacostraca","Mysida","Mysidae","[""marine""]"
"Orobanche ramosa Smith","species","Plantae","alien","null","present","Kuwait","KWT","Phelipanche ramosa","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]"
"Parapholis incurva (L.) C.E.Hubb.","species","Plantae","alien","null","present","Kuwait","KWT","Parapholis incurva","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Eleusine indica (L.) Gaertn.","species","Plantae","alien","null","present","Kuwait","KWT","Eleusine indica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Gnaphalium uliginosum L.","species","Plantae","alien","null","present","Kuwait","KWT","Gnaphalium uliginosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Leptochloa fusca Forssk.","species","Plantae","alien","null","present","Kuwait","KWT","Leptochloa fusca","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Rattus norvegicus (Berkenhout, 1769)","species","Animalia","alien","null","present","Kuwait","KWT","Rattus norvegicus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Herpestes edwardsi (É.Geoffroy Saint-Hilaire, 1818)","species","Animalia","alien","null","present","Kuwait","KWT","Herpestes edwardsi","Animalia","Chordata","Mammalia","Carnivora","Herpestidae","[""terrestrial""]"
"Amandava amandava (Linnaeus, 1758)","species","Animalia","alien","null","present","Kuwait","KWT","Amandava amandava","Animalia","Chordata","Aves","Passeriformes","Estrildidae","[""terrestrial""]"
"Myrionema orbiculare J.Agardh","species","Chromista","cryptogenic|uncertain","null","present","Kuwait","KWT","Ascocyclus orbicularis","Chromista","Ochrophyta","Phaeophyceae","Ectocarpales","Chordariaceae","[""marine""]"
"Heterosigma akashiwo (Hada) Hada ex Hara & Chihara, 1967","species","Chromista","cryptogenic|uncertain","null","present","Kuwait","KWT","Heterosigma akashiwo","Chromista","Ochrophyta","Raphidophyceae","Chattonellales","Chatonellaceae","[""marine""]"
"Eubranchus misakiensis Baba, 1960","species","Animalia","cryptogenic|uncertain","null","present","Kuwait","KWT","Leostyletus misakiensis","Animalia","Mollusca","Gastropoda","Nudibranchia","Eubranchidae","[""freshwater"",""marine""]"
"Ploceus galbula Rüppell, 1840","species","Animalia","alien","null","present","Kuwait","KWT","Ploceus galbula","Animalia","Chordata","Aves","Passeriformes","Ploceidae","[""terrestrial"",""freshwater""]"
"Aerva javanica Juss.","species","Plantae","alien","null","present","Kuwait","KWT","Aerva javanica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Cuthona albocrusta (MacFarland, 1966)","species","Animalia","cryptogenic|uncertain","null","present","Kuwait","KWT","Trinchesia albocrusta","Animalia","Mollusca","Gastropoda","Nudibranchia","Trinchesiidae","[""marine""]"
"Lathyrus aphaca L.","species","Plantae","alien","null","present","Kuwait","KWT","Lathyrus aphaca","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Capsella bursa-pastoris (L.) Medik.","species","Plantae","alien","null","present","Kuwait","KWT","Capsella bursa-pastoris","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Imperata cylindrica (L.) P.Beauv.","species","Plantae","alien","null","present","Kuwait","KWT","Imperata cylindrica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Medicago polymorpha var. vulgaris (Benth.) Shinners","variety","Plantae","alien","null","present","Kuwait","KWT","Medicago polymorpha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Pycnonotus cafer (Linnaeus, 1766)","species","Animalia","alien","null","present","Kuwait","KWT","Pycnonotus cafer","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","[""terrestrial""]"
"Ziziphus xylopyrus Hochst. ex A.Rich.","species","Plantae","alien","null","present","Kuwait","KWT","Ziziphus xylopyrus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","[""terrestrial""]"
"Psittacula krameri (Scopoli, 1769)","species","Animalia","alien","null","present","Kuwait","KWT","Psittacula krameri","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","[""terrestrial""]"
"Acridotheres ginginianus (Latham, 1790)","species","Animalia","alien","null","present","Kuwait","KWT","Acridotheres ginginianus","Animalia","Chordata","Aves","Passeriformes","Sturnidae","[""terrestrial""]"
"Sargassum angustifolium (Turner) Agardh","species","Chromista","alien","null","present","Kuwait","KWT","Sargassum angustifolium","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","[""marine""]"
"Lasiurus scindicus Henrard","species","Plantae","alien","null","present","Kuwait","KWT","Lasiurus scindicus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Ploceus manyar (Horsfield, 1821)","species","Animalia","alien","null","present","Kuwait","KWT","Ploceus manyar","Animalia","Chordata","Aves","Passeriformes","Ploceidae","[""terrestrial"",""freshwater""]"
"Mus musculus Linnaeus, 1758","species","Animalia","alien","null","present","Kuwait","KWT","Mus musculus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Streptopelia roseogrisea (Sundevall, 1857)","species","Animalia","alien","null","present","Kuwait","KWT","Streptopelia roseogrisea","Animalia","Chordata","Aves","Columbiformes","Columbidae","[""terrestrial""]"
"Crassula alata (Viv.) A.Berger","species","Plantae","alien","null","present","Kuwait","KWT","Crassula alata","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]"
"Sargassum aquifolium (Turner) C.Agardh, 1820","species","Chromista","alien","null","present","Kuwait","KWT","Sargassum aquifolium","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","[""marine""]"
"Grateloupia filicina (J.V.Lamour.) C.Agardh","species","Plantae","cryptogenic|uncertain","null","present","Kuwait","KWT","Grateloupia filicina","Plantae","Rhodophyta","Florideophyceae","Halymeniales","Halymeniaceae","[""marine""]"
"Echinochloa colona (L.) Link","species","Plantae","alien","null","present","Kuwait","KWT","Echinochloa colona","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
