"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Abutilon theophrasti Medik.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Abutilon theophrasti","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Prunus dulcis (Mill.) D.A.Webb","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Prunus dulcis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Impatiens glandulifera Royle","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Impatiens glandulifera","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","[""terrestrial""]"
"Sanguisorba minor Scop.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Poterium sanguisorba","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Chenopodiastrum murale (L.) S.Fuentes, Uotila & Borsch","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Chenopodiastrum murale","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Agrostemma githago L.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Agrostemma githago","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Sorghum halepense Pers.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Sorghum halepense","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Lathyrus hirsutus L.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Lathyrus hirsutus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Brassica campestris L.","species","Plantae","alien","invasive","present","Kyrgyzstan","KGZ","Brassica rapa","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Oenothera biennis L.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Oenothera biennis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Sisymbrium altissimum L.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Sisymbrium altissimum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Artemisia verlotiorum Lamotte","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Artemisia verlotiorum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Chaerophyllum bulbosum L.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Chaerophyllum bulbosum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Torilis leptophylla Rchb.f.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Torilis leptophylla","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Euphorbia helioscopia L.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Euphorbia helioscopia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Atriplex oblongifolia Waldst. & Kit.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Atriplex oblongifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Artemisia annua L.","species","Plantae","alien","invasive","present","Kyrgyzstan","KGZ","Artemisia annua","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Axyris amaranthoides L.","species","Plantae","alien","invasive","present","Kyrgyzstan","KGZ","Axyris amaranthoides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Amaranthus albus L.","species","Plantae","alien","invasive","present","Kyrgyzstan","KGZ","Amaranthus albus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Chelidonium majus L.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Chelidonium majus","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Lathyrus sativus L.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Lathyrus sativus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Vicia peregrina L.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Vicia peregrina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Vicia ervilia Willd.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Vicia ervilia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Amaranthus blitoides S.Watson","species","Plantae","alien","invasive","present","Kyrgyzstan","KGZ","Amaranthus blitoides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Ranunculus arvensis L.","species","Plantae","alien","invasive","present","Kyrgyzstan","KGZ","Ranunculus arvensis","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","[""terrestrial""]"
"Xanthium spinosum L.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Xanthium spinosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Lolium multiflorum Lam.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Lolium multiflorum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Thladiantha dubia Bunge","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Thladiantha dubia","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]"
"Carduus acanthoides L.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Carduus acanthoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Vaccaria hispanica (Miller) Rauschert","species","Plantae","alien","invasive","present","Kyrgyzstan","KGZ","Vaccaria hispanica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Bellis perennis L.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Bellis perennis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Ballota nigra L.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Ballota nigra","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Euclidium syriacum (L.) W.T.Aiton","species","Plantae","alien","invasive","present","Kyrgyzstan","KGZ","Euclidium syriacum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Adonis aestivalis L.","species","Plantae","alien","invasive","present","Kyrgyzstan","KGZ","Adonis aestivalis","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","[""terrestrial""]"
"Kickxia elatine (L.) Dumort.","species","Plantae","alien","invasive","present","Kyrgyzstan","KGZ","Kickxia elatine","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Tripleurospermum inodorum (L.) Sch.Bip.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Tripleurospermum inodorum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Arctium tomentosum Mill.","species","Plantae","alien","null","present","Kyrgyzstan","KGZ","Arctium tomentosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
