"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Manihot esculenta Crantz","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Manihot esculenta","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Eucalyptus camaldulensis Dehnh.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Eucalyptus camaldulensis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Acacia auriculiformis Benth.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Acacia auriculiformis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Diospyros kaki L.f.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Diospyros kaki","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ebenaceae","[""terrestrial""]"
"Hibiscus sabdariffa L.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Hibiscus sabdariffa","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Casuarina junghuhniana Miq.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Casuarina junghuhniana","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]"
"Pistia stratiotes L.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Pistia stratiotes","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""freshwater""]"
"Cassia javanica L.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Cassia javanica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Decaspermum fruticosum J.R.Forst.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Decaspermum fruticosum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Adenanthera pavonina L.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Adenanthera pavonina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Cuminum cyminum L.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Cuminum cyminum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Eleusine indica (L.) Gaertn.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Eleusine indica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Gambusia holbrooki Girard, 1859","species","Animalia","alien","invasive","present","Lao People's Democratic Republic","LAO","Gambusia holbrooki","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Agave tuberosa (L.) Thiede & Eggli","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Polianthes tuberosa","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Pseudorasbora parva (Temminck & Schlegel, 1846)","species","Animalia","alien","invasive","present","Lao People's Democratic Republic","LAO","Pseudorasbora parva","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Lantana camara L.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Megathyrsus maximus (Jacq.) B.K.Simon & S.W.L.Jacobs","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Panicum maximum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Couroupita guianensis Aubl.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Couroupita guianensis","Plantae","Tracheophyta","Magnoliopsida","Ericales","Lecythidaceae","[""terrestrial""]"
"Pisum arvense L.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Pisum sativum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Dioscorea nummularia Lam.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Dioscorea nummularia","Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","[""terrestrial""]"
"Mentha javanica Span.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Mentha javanica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Abelmoschus manihot var. pungens (Roxb.) Hochr.","variety","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Abelmoschus manihot","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Asparagus officinalis L.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Asparagus officinalis","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Sphaeranthus senegalensis DC.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Sphaeranthus senegalensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cryptomeria japonica D.Don","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Cryptomeria japonica","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","[""terrestrial""]"
"Ficus asperifolia Hook. ex Miq.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Ficus asperifolia","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Helichrysum bracteatum (Vent.) Andrews","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Xerochrysum bracteatum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Hibiscus cannabinus L.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Hibiscus cannabinus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Oreochromis niloticus (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Lao People's Democratic Republic","LAO","Oreochromis niloticus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Leucaena leucocephala (Lam.) de Wit","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Leucaena leucocephala","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Michelia figo (Lour.) Spreng.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Magnolia figo","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Magnoliaceae","[""terrestrial""]"
"Barleria prionitis L.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Barleria prionitis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]"
"Lactuca indica L.","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Lactuca indica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Aegle marmelos Corrêa","species","Plantae","alien","null","present","Lao People's Democratic Republic","LAO","Aegle marmelos","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","[""terrestrial""]"
