"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Chenopodium schraderianum Roem. ex Schult.","species","Plantae","alien","null","present","Latvia","LVA","Dysphania schraderiana","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Oxalis dillenii Jacq.","species","Plantae","alien","null","present","Latvia","LVA","Oxalis dillenii","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]"
"Parthenocissus inserta (A.Kerner) Fritsch","species","Plantae","alien","null","present","Latvia","LVA","Parthenocissus vitacea","Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","[""terrestrial""]"
"Achillea micrantha Willd.","species","Plantae","alien","null","present","Latvia","LVA","Achillea micrantha","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Corticeus pini (Panzer, 1799)","species","Animalia","alien","invasive","present","Latvia","LVA","Corticeus pini","Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","[""terrestrial""]"
"Acipenser gueldenstaedtii Brandt & Ratzeburg, 1831","species","Animalia","alien","null","present","Latvia","LVA","Acipenser gueldenstaedtii","Animalia","Chordata","Actinopterygii","Acipenseriformes","Acipenseridae","[""freshwater"",""brackish"",""marine""]"
"Ambrosia psilostachya DC.","species","Plantae","alien","null","present","Latvia","LVA","Ambrosia psilostachya","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Chamaecytisus ratisbonensis (Schaeff.) Rothm.","species","Plantae","alien","null","present","Latvia","LVA","Cytisus ratisbonensis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Chenopodium capitatum (L.) Ascherson","species","Plantae","alien","null","present","Latvia","LVA","Blitum capitatum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Aconogonon divaricatum (L.) Nakai","species","Plantae","alien","null","present","Latvia","LVA","Koenigia divaricata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Eragrostis cilianensis (All.) Vignolo ex Janch.","species","Plantae","alien","null","present","Latvia","LVA","Eragrostis cilianensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Rosa gorinkensis Besser","species","Plantae","alien","invasive","present","Latvia","LVA","Rosa gorenkensis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Bruchus pisorum (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Latvia","LVA","Bruchus pisorum","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","[""terrestrial""]"
"Commelina communis L.","species","Plantae","alien","null","present","Latvia","LVA","Commelina communis","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Beckmannia eruciformis Host","species","Plantae","alien","null","present","Latvia","LVA","Phalaris eruciformis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Dianthus barbatus L.","species","Plantae","alien","null","present","Latvia","LVA","Dianthus barbatus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Malus baccata (L.) Borkh.","species","Plantae","alien","null","present","Latvia","LVA","Malus baccata","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Agropyron fragile (Roth) P.Candargy","species","Plantae","alien","null","present","Latvia","LVA","Agropyron fragile","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Neovison vison (Schreber, 1777)","species","Animalia","alien","invasive","present","Latvia","LVA","Neovison vison","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","[""terrestrial"",""freshwater""]"
"Bupleurum rotundifolium L.","species","Plantae","alien","null","present","Latvia","LVA","Bupleurum rotundifolium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Potentilla supina L.","species","Plantae","alien","null","present","Latvia","LVA","Potentilla supina","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Aquilegia vulgaris L.","species","Plantae","alien","null","present","Latvia","LVA","Aquilegia vulgaris","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","[""terrestrial""]"
"Conringia orientalis Dumort.","species","Plantae","alien","null","present","Latvia","LVA","Brassica orientalis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Poa chaixii Vill.","species","Plantae","alien","null","present","Latvia","LVA","Plantago arenaria","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Artemisia scoparia Waldst. & Kit.","species","Plantae","alien","null","present","Latvia","LVA","Artemisia scoparia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cyclachaena xanthiifolia Fresen.","species","Plantae","alien","null","present","Latvia","LVA","Iva xanthiifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Prunus spinosa L.","species","Plantae","native|alien","null","present","Latvia","LVA","Prunus spinosa","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Gonotropis dorsalis (Thunberg, 1796)","species","Animalia","alien","null","present","Latvia","LVA","Gonotropis dorsalis","Animalia","Arthropoda","Insecta","Coleoptera","Anthribidae","[""terrestrial""]"
"Salvelinus alpinus (Linnaeus, 1758)","species","Animalia","alien","null","present","Latvia","LVA","Salvelinus alpinus","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Suaeda corniculata Bunge","species","Plantae","alien","null","present","Latvia","LVA","Suaeda corniculata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Anthoxanthum aristatum Boiss.","species","Plantae","alien","null","present","Latvia","LVA","Anthoxanthum aristatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Artemisia abrotanum L.","species","Plantae","alien","null","present","Latvia","LVA","Artemisia abrotanum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Abies alba Mill.","species","Plantae","alien","null","present","Latvia","LVA","Abies alba","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Agropyron desertorum Schult.","species","Plantae","alien","null","present","Latvia","LVA","Agropyron desertorum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Phalaris canariensis L.","species","Plantae","alien","null","present","Latvia","LVA","Phalaris canariensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Tribolium destructor Uyttenboogaart, 1934","species","Animalia","alien","invasive","present","Latvia","LVA","Tribolium destructor","Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","[""terrestrial""]"
"Rudbeckia hirta L.","species","Plantae","alien","null","present","Latvia","LVA","Rudbeckia hirta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Chaiturus marrubiastrum (L.) Ehrh. ex Rchb.","species","Plantae","alien","null","present","Latvia","LVA","Chaiturus marrubiastrum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Pelodiscus sinensis (Wiegmann, 1835)","species","Animalia","alien","invasive","present","Latvia","LVA","Pelodiscus sinensis","Animalia","Chordata","Reptilia","Testudines","Trionychidae","[""terrestrial"",""freshwater""]"
"Stipa capillata L.","species","Plantae","alien","null","present","Latvia","LVA","Stipa capillata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Salvia verticillata L.","species","Plantae","alien","null","present","Latvia","LVA","Salvia verticillata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Hyssopus officinalis L.","species","Plantae","alien","null","present","Latvia","LVA","Hyssopus officinalis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Trifolium expansum Waldst. & Kit.","species","Plantae","alien","null","present","Latvia","LVA","Trifolium expansum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Senecio sarracenicus L.","species","Plantae","alien","null","present","Latvia","LVA","Senecio fluviatilis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Malva verticillata L.","species","Plantae","alien","null","present","Latvia","LVA","Malva verticillata","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Rubus odoratus L.","species","Plantae","alien","null","present","Latvia","LVA","Rubus odoratus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Nigella sativa L.","species","Plantae","alien","null","present","Latvia","LVA","Nigella sativa","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","[""terrestrial""]"
"Geranium sibiricum L.","species","Plantae","alien","null","present","Latvia","LVA","Geranium sibiricum","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","[""terrestrial""]"
"Crypsis schoenoides (L.) Lam.","species","Plantae","alien","null","present","Latvia","LVA","Sporobolus schoenoides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Fraxinus angustifolia Vahl","species","Plantae","alien","null","present","Latvia","LVA","Fraxinus angustifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]"
"Ocys quinquestriatus (Gyllenhal, 1810)","species","Animalia","alien","null","present","Latvia","LVA","Ocys quinquestriatus","Animalia","Arthropoda","Insecta","Coleoptera","Carabidae","[""terrestrial""]"
"Cotoneaster multiflorus Bunge","species","Plantae","alien","null","present","Latvia","LVA","Cotoneaster multiflorus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Hyoscyamus niger L.","species","Plantae","alien","null","present","Latvia","LVA","Hyoscyamus niger","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Bifora radians M.Bieb.","species","Plantae","alien","null","present","Latvia","LVA","Bifora radians","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Erodium ciconium (L.) L'Hér.","species","Plantae","alien","null","present","Latvia","LVA","Geranium ciconium","Plantae","Tracheophyta","Magnoliopsida","Geraniales","Geraniaceae","[""terrestrial""]"
"Rumex confertus Willd.","species","Plantae","alien","invasive","present","Latvia","LVA","Rumex confertus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Sedum hispanicum L.","species","Plantae","alien","null","present","Latvia","LVA","Sedum hispanicum","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]"
"Ulmus minor Mill.","species","Plantae","alien","null","present","Latvia","LVA","Ulmus minor","Plantae","Tracheophyta","Magnoliopsida","Rosales","Ulmaceae","[""terrestrial""]"
"Arabis alpina L.","species","Plantae","alien","null","present","Latvia","LVA","Arabis alpina","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Malva sylvestris L.","species","Plantae","alien","null","present","Latvia","LVA","Malva sylvestris","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
