"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Oculina patagonica (de Angelis, 1908)","species","Animalia","alien","null","present","Lebanon","LBN","Oculina patagonica","Animalia","Cnidaria","Anthozoa","Scleractinia","Oculinidae","[""marine""]"
"Dussumieria elopsoides Bleeker, 1849","species","Animalia","alien","null","present","Lebanon","LBN","Dussumieria elopsoides","Animalia","Chordata","Actinopterygii","Clupeiformes","Dussumieriidae","[""marine""]"
"Acteocina mucronata (Philippi, 1849)","species","Animalia","alien","null","present","Lebanon","LBN","Acteocina mucronata","Animalia","Mollusca","Gastropoda","Cephalaspidea","Tornatinidae","[""marine""]"
"Codium parvulum (Bory de Saint Vincent ex Audouin) P.C.Silva, 2003","species","Plantae","alien","null","present","Lebanon","LBN","Codium parvulum","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Codiaceae","[""marine""]"
"Halimede tyche (Herbst, 1801)","species","Animalia","alien","null","present","Lebanon","LBN","Halimede tyche","Animalia","Arthropoda","Malacostraca","Decapoda","Galenidae","[""marine""]"
"Amaranthus caudatus L.","species","Plantae","alien","null","present","Lebanon","LBN","Amaranthus caudatus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Ailanthus altissima (Miller) Swingle","species","Plantae","alien","invasive","present","Lebanon","LBN","Ailanthus altissima","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae","[""terrestrial""]"
"Fulvia fragilis (Forsskål in Niebuhr, 1775)","species","Animalia","alien","null","present","Lebanon","LBN","Fulvia fragilis","Animalia","Mollusca","Bivalvia","Cardiida","Cardiidae","[""marine""]"
"Siganus rivulatus Forsskål, 1775","species","Animalia","alien","null","present","Lebanon","LBN","Siganus rivulatus","Animalia","Chordata","Actinopterygii","Perciformes","Siganidae","[""brackish"",""marine""]"
"Rhodosoma turcicum (Savigny, 1816)","species","Animalia","alien","null","present","Lebanon","LBN","Rhodosoma turcicum","Animalia","Chordata","Ascidiacea","Phlebobranchia","Corellidae","[""marine""]"
