"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Linaria maroccana Hook.f.","species","Plantae","alien","null","present","Lesotho","LSO","Linaria maroccana","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Striga asiatica (L.) Kuntze","species","Plantae","alien","invasive","present","Lesotho","LSO","Striga asiatica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]"
"Zonocerus elegans (Thunberg, 1815)","species","Animalia","alien","invasive","present","Lesotho","LSO","Zonocerus elegans","Animalia","Arthropoda","Insecta","Orthoptera","Pyrgomorphidae","[""terrestrial""]"
"Cuscuta suaveolens Ser.","species","Plantae","alien","null","present","Lesotho","LSO","Cuscuta suaveolens","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""host""]"
"Azolla filiculoides Lam.","species","Plantae","alien","invasive","present","Lesotho","LSO","Azolla filiculoides","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","[""freshwater""]"
"Populus alba L.","species","Plantae","alien","invasive","present","Lesotho","LSO","Populus alba","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]"
"Morus alba L.","species","Plantae","alien","null","present","Lesotho","LSO","Morus alba","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Plantago lanceolata L.","species","Plantae","alien","null","present","Lesotho","LSO","Plantago lanceolata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Agave americana L.","species","Plantae","alien","invasive","present","Lesotho","LSO","Agave americana","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Argemone ochroleuca Sweet","species","Plantae","alien","invasive","present","Lesotho","LSO","Argemone ochroleuca","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Ricinus communis L.","species","Plantae","alien","null","present","Lesotho","LSO","Ricinus communis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Pyracantha coccinea M.Roem.","species","Plantae","alien","null","present","Lesotho","LSO","Pyracantha coccinea","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Oncorhynchus mykiss (Walbaum, 1792)","species","Animalia","alien","invasive","present","Lesotho","LSO","Oncorhynchus mykiss","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Datura ferox L.","species","Plantae","alien","invasive","present","Lesotho","LSO","Datura ferox","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Hypophthalmichthys molitrix (Valenciennes, 1844)","species","Animalia","alien","null","present","Lesotho","LSO","Hypophthalmichthys molitrix","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Ipomoea purpurea (L.) Roth","species","Plantae","alien","null","present","Lesotho","LSO","Ipomoea purpurea","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Atriplex semibaccata R.Br.","species","Plantae","alien","null","present","Lesotho","LSO","Atriplex semibaccata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Pinus radiata D.Don","species","Plantae","alien","null","present","Lesotho","LSO","Pinus radiata","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
