"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Prunus laurocerasus L.","species","Plantae","alien","null","present","Libya","LBY","Prunus laurocerasus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Ricinus communis L.","species","Plantae","alien","invasive","present","Libya","LBY","Ricinus communis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Plumeria acutifolia Poir.","species","Plantae","alien","null","present","Libya","LBY","Plumeria rubra","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Melaleuca pubescens Schauer","species","Plantae","alien","null","present","Libya","LBY","Melaleuca lanceolata","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Schinus molle L.","species","Plantae","alien","null","present","Libya","LBY","Schinus molle","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]"
"Eucalyptus salubris F.Muell.","species","Plantae","alien","null","present","Libya","LBY","Eucalyptus salubris","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Lagocephalus sceleratus (Gmelin, 1789)","species","Animalia","alien","null","present","Libya","LBY","Lagocephalus sceleratus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","[""marine""]"
"Elaeagnus angustifolia L.","species","Plantae","alien","null","present","Libya","LBY","Elaeagnus angustifolia","Plantae","Tracheophyta","Magnoliopsida","Rosales","Elaeagnaceae","[""terrestrial""]"
"Buxus sempervirens L.","species","Plantae","alien","null","present","Libya","LBY","Buxus sempervirens","Plantae","Tracheophyta","Magnoliopsida","Buxales","Buxaceae","[""terrestrial""]"
"Tamarix gallica L.","species","Plantae","alien","null","present","Libya","LBY","Tamarix gallica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Tamaricaceae","[""terrestrial""]"
"Prunus cerasifera Ehrh.","species","Plantae","alien","null","present","Libya","LBY","Prunus cerasifera","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Herklotsichthys punctatus (Rüppell, 1837)","species","Animalia","alien","null","present","Libya","LBY","Herklotsichthys punctatus","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","[""marine""]"
"Prunus persica (L.) Siebold & Zucc.","species","Plantae","alien","null","present","Libya","LBY","Prunus persica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Pinctada imbricata radiata (Leach, 1814)","subspecies","Animalia","alien","invasive","present","Libya","LBY","Pinctada imbricata","Animalia","Mollusca","Bivalvia","Ostreida","Pteriidae","[""marine""]"
"Cupressus funebris Endl.","species","Plantae","alien","null","present","Libya","LBY","Cupressus funebris","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","[""terrestrial""]"
"Monetaria annulus (Linnaeus, 1758)","species","Animalia","alien","null","present","Libya","LBY","Monetaria annulus","Animalia","Mollusca","Gastropoda","Littorinimorpha","Cypraeidae","[""marine""]"
"Bougainvillea salvatore Allegra","species","Plantae","alien","null","present","Libya","LBY","Bougainvillea salvatore","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]"
"Cercis siliquastrum L.","species","Plantae","alien","null","present","Libya","LBY","Cercis siliquastrum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Siganus luridus (Rüppell, 1829)","species","Animalia","alien","invasive","present","Libya","LBY","Siganus luridus","Animalia","Chordata","Actinopterygii","Perciformes","Siganidae","[""marine""]"
"Ficus lucida Hort.Berol. ex Kunth & Bouche","species","Plantae","alien","null","present","Libya","LBY","Ficus lucida","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Chondria coerulescens (J.Agardh) Falkenb.","species","Plantae","cryptogenic|uncertain","null","present","Libya","LBY","Chondria coerulescens","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","[""marine""]"
"Oreodoxa oleracea (Jacq.) Mart.","species","Plantae","alien","null","present","Libya","LBY","Roystonea oleracea","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]"
"Torquigener flavimaculosus Hardy & Randall, 1983","species","Animalia","alien","null","present","Libya","LBY","Torquigener flavimaculosus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","[""marine""]"
"Carduncellus caeruleus (L.) C.Presl","species","Plantae","alien","null","present","Libya","LBY","Carduncellus caeruleus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Lagerstroemia indica L.","species","Plantae","alien","null","present","Libya","LBY","Lagerstroemia indica","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","[""terrestrial""]"
"Artemisia absinthium L.","species","Plantae","alien","null","present","Libya","LBY","Artemisia absinthium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cynara scolymus L.","species","Plantae","alien","null","present","Libya","LBY","Cynara scolymus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Eucalyptus leucoxylon F.Muell.","species","Plantae","alien","null","present","Libya","LBY","Eucalyptus leucoxylon","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Hedera helix L.","species","Plantae","alien","null","present","Libya","LBY","Hedera helix","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","[""terrestrial""]"
"Cinnamomum camphora (L.) Nees & Ebermaier","species","Plantae","alien","null","present","Libya","LBY","Cinnamomum camphora","Plantae","Tracheophyta","Magnoliopsida","Laurales","Lauraceae","[""terrestrial""]"
"Chamaerops excelsa Thunb.","species","Plantae","alien","null","present","Libya","LBY","Rhapis excelsa","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]"
"Brachychiton populneus R.Br.","species","Plantae","alien","null","present","Libya","LBY","Brachychiton populneus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Saurida undosquamis (Richardson, 1848)","species","Animalia","alien","null","present","Libya","LBY","Saurida undosquamis","Animalia","Chordata","Actinopterygii","Aulopiformes","Synodontidae","[""marine""]"
"Symphyotrichum subulatum (Michx.) G.L.Nesom","species","Plantae","alien","invasive","present","Libya","LBY","Symphyotrichum subulatum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Lawsonia inermis L.","species","Plantae","alien","null","present","Libya","LBY","Lawsonia inermis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","[""terrestrial""]"
"Solanum wendlandii Hook.f.","species","Plantae","alien","null","present","Libya","LBY","Solanum wendlandii","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Citrus medica L.","species","Plantae","alien","null","present","Libya","LBY","Citrus medica","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","[""terrestrial""]"
"Codium fragile subsp. fragile","subspecies","Plantae","alien","null","present","Libya","LBY","Codium fragile","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Codiaceae","[""marine""]"
"Aralia elegantissima H.J.Veitch ex Mast.","species","Plantae","alien","null","present","Libya","LBY","Plerandra elegantissima","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","[""terrestrial""]"
"Grapsus granulosus H.Milne Edwards, 1853","species","Animalia","alien","null","present","Libya","LBY","Grapsus granulosus","Animalia","Arthropoda","Malacostraca","Decapoda","Grapsidae","[""marine""]"
"Cassia absus L.","species","Plantae","alien","null","present","Libya","LBY","Chamaecrista absus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Portulaca grandiflora Hook.","species","Plantae","alien","null","present","Libya","LBY","Portulaca grandiflora","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Portulacaceae","[""terrestrial""]"
"Sphyraena chrysotaenia Klunzinger, 1884","species","Animalia","alien","null","present","Libya","LBY","Sphyraena chrysotaenia","Animalia","Chordata","Actinopterygii","Perciformes","Sphyraenidae","[""marine""]"
"Scolymus maculatus L.","species","Plantae","alien","null","present","Libya","LBY","Scolymus maculatus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Stenocalyx pitanga Berg","species","Plantae","alien","null","present","Libya","LBY","Eugenia pitanga","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Hibiscus arnottianus A.Gray","species","Plantae","alien","null","present","Libya","LBY","Hibiscus arnottianus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Heterodendrum oleifolium Desf.","species","Plantae","alien","null","present","Libya","LBY","Alectryon oleifolius","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]"
"Anthemis frutescens Hort.","species","Plantae","alien","null","present","Libya","LBY","Anthemis frutescens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Caesalpinia tinctoria DC.","species","Plantae","alien","null","present","Libya","LBY","Caesalpinia spinosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Rosa centifolia L.","species","Plantae","alien","null","present","Libya","LBY","Rosa centifolia","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Cyperus esculentus var. sativus Boeckeler","variety","Plantae","alien","null","present","Libya","LBY","Cyperus esculentus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Feijoa sellowiana (O.Berg) O.Berg","species","Plantae","alien","null","present","Libya","LBY","Acca sellowiana","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Prosopis juliflora (Sw.) DC.","species","Plantae","alien","null","present","Libya","LBY","Prosopis juliflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Ficus benjamina L.","species","Plantae","alien","null","present","Libya","LBY","Ficus benjamina","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Jacaranda cuspidifolia Mart.","species","Plantae","alien","null","present","Libya","LBY","Jacaranda cuspidifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]"
"Tecoma stans Juss.","species","Plantae","alien","null","present","Libya","LBY","Tecoma stans","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]"
"Acanthophora nayadiformis (Delile) Papenf., 1968","species","Plantae","cryptogenic|uncertain","null","present","Libya","LBY","Acanthophora nayadiformis","Plantae","Rhodophyta","Florideophyceae","Ceramiales","Rhodomelaceae","[""marine""]"
"Acacia floribunda (Vent.) Willd.","species","Plantae","alien","null","present","Libya","LBY","Acacia floribunda","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Ophiocoma scolopendrina (Lamarck, 1816)","species","Animalia","alien","null","present","Libya","LBY","Ophiocoma scolopendrina","Animalia","Echinodermata","Ophiuroidea","Ophiacanthida","Ophiocomidae","[""marine""]"
"Datura candida (Pers.) Saff.","species","Plantae","alien","null","present","Libya","LBY","Brugmansia arborea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Rheedia brasiliensis (C.Martius) Planchon & Triana","species","Plantae","alien","null","present","Libya","LBY","Garcinia brasiliensis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Clusiaceae","[""terrestrial""]"
"Brassica nigra (L.) W.D.J.Koch","species","Plantae","alien","null","present","Libya","LBY","Brassica nigra","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Halophila stipulacea Asch.","species","Plantae","alien","null","present","Libya","LBY","Halophila stipulacea","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""marine""]"
