"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Veronica peregrina L.","species","Plantae","alien","null","present","Liechtenstein","LIE","Veronica peregrina","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Juncus tenuis Willd.","species","Plantae","alien","null","present","Liechtenstein","LIE","Juncus tenuis","Plantae","Tracheophyta","Liliopsida","Poales","Juncaceae","[""terrestrial"",""freshwater""]"
"Oenothera biennis L.","species","Plantae","alien","null","present","Liechtenstein","LIE","Oenothera biennis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Lycium barbarum L.","species","Plantae","alien","null","present","Liechtenstein","LIE","Lycium barbarum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Sisyrinchium bermudiana L.","species","Plantae","alien","null","present","Liechtenstein","LIE","Sisyrinchium bermudiana","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]"
"Polygonum polystachyum Meisn.","species","Plantae","alien","null","present","Liechtenstein","LIE","Polygonum polystachyum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Senecio inaequidens DC.","species","Plantae","alien","invasive","present","Liechtenstein","LIE","Senecio inaequidens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Hypericum androsaemum L.","species","Plantae","alien","null","present","Liechtenstein","LIE","Hypericum androsaemum","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Hypericaceae","[""terrestrial""]"
"Heracleum mantegazzianum Sommier & Levier","species","Plantae","alien","invasive","present","Liechtenstein","LIE","Heracleum mantegazzianum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Pelophylax ridibundus (Pallas, 1771)","species","Animalia","alien","null","present","Liechtenstein","LIE","Pelophylax ridibundus","Animalia","Chordata","Amphibia","Anura","Ranidae","[""terrestrial"",""freshwater""]"
"Harmonia axyridis (Pallas, 1773)","species","Animalia","alien","null","present","Liechtenstein","LIE","Harmonia axyridis","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","[""terrestrial""]"
"Aedes japonicus japonicus","subspecies","Animalia","alien","null","present","Liechtenstein","LIE","Aedes japonicus","Animalia","Arthropoda","Insecta","Diptera","Culicidae","[""terrestrial"",""freshwater""]"
"Papaver somniferum L.","species","Plantae","cryptogenic|uncertain","null","present","Liechtenstein","LIE","Papaver somniferum","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Datura stramonium L.","species","Plantae","alien","null","present","Liechtenstein","LIE","Datura stramonium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Erophila praecox (Steven) DC.","species","Plantae","alien","null","present","Liechtenstein","LIE","Erophila praecox","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Quercus rubra L.","species","Plantae","alien","null","present","Liechtenstein","LIE","Quercus rubra","Plantae","Tracheophyta","Magnoliopsida","Fagales","Fagaceae","[""terrestrial""]"
"Leucocoprinus birnbaumii (Corda) Singer","species","Fungi","alien","null","present","Liechtenstein","LIE","Leucocoprinus birnbaumii","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Agaricaceae","[""host""]"
"Ondatra zibethicus (Linnaeus, 1766)","species","Animalia","alien","null","present","Liechtenstein","LIE","Ondatra zibethicus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","[""terrestrial"",""freshwater""]"
"Fallopia aubertii (Louis Henry) J.Holub","species","Plantae","alien","null","present","Liechtenstein","LIE","Fallopia baldschuanica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Rubus phoenicolasius Maxim.","species","Plantae","alien","null","present","Liechtenstein","LIE","Rubus phoenicolasius","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Euphorbia maculata L.","species","Plantae","alien","null","present","Liechtenstein","LIE","Euphorbia maculata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Rudbeckia hirta L.","species","Plantae","alien","null","present","Liechtenstein","LIE","Rudbeckia hirta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Tadorna ferruginea (Pallas, 1764)","species","Animalia","alien","null","present","Liechtenstein","LIE","Tadorna ferruginea","Animalia","Chordata","Aves","Anseriformes","Anatidae","[""terrestrial"",""freshwater""]"
"Hesperis matronalis L.","species","Plantae","alien","null","present","Liechtenstein","LIE","Hesperis matronalis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Sedum spurium Bieb.","species","Plantae","alien","null","present","Liechtenstein","LIE","Sedum spurium","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]"
"Salix fragilis L.","species","Plantae","alien","null","present","Liechtenstein","LIE","Salix fragilis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]"
"Bunias orientalis L.","species","Plantae","alien","invasive","present","Liechtenstein","LIE","Bunias orientalis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Impatiens parviflora DC.","species","Plantae","alien","invasive","present","Liechtenstein","LIE","Impatiens parviflora","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","[""terrestrial""]"
"Platanus hispanica Ten.","species","Plantae","cryptogenic|uncertain","null","present","Liechtenstein","LIE","Platanus hispanica","Plantae","Tracheophyta","Magnoliopsida","Proteales","Platanaceae","[""terrestrial""]"
"Sisymbrium altissimum L.","species","Plantae","alien","null","present","Liechtenstein","LIE","Sisymbrium altissimum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Hymenoscyphus fraxineus (T.Kowalski) Baral, Queloz & Hosoya, 2014","species","Fungi","alien","null","present","Liechtenstein","LIE","Hymenoscyphus fraxineus","Fungi","Ascomycota","Leotiomycetes","Helotiales","Helotiaceae","[""host""]"
"Veronica persica hort. ex Poir.","species","Plantae","alien","null","present","Liechtenstein","LIE","Veronica persica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
