"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Senecio vernalis Waldst. & Kit.","species","Plantae","alien","invasive","present","Lithuania","LTU","Senecio vernalis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Brassica juncea (L.) Czern.","species","Plantae","alien","null","present","Lithuania","LTU","Brassica juncea","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Phalaris minor Retz.","species","Plantae","alien","null","present","Lithuania","LTU","Phalaris minor","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Fraxinus americana L.","species","Plantae","alien","null","present","Lithuania","LTU","Fraxinus americana","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]"
"Lactuca sativa L.","species","Plantae","alien","null","present","Lithuania","LTU","Lactuca sativa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Lunaria annua subsp. pachyrhiza (Borbás) Hayek","subspecies","Plantae","alien","null","present","Lithuania","LTU","Lunaria annua","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Cardaria pubescens (C.A.Mey.) Jarm.","species","Plantae","alien","null","present","Lithuania","LTU","Lepidium appelianum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Bergenia crassifolia Fritsch","species","Plantae","alien","null","present","Lithuania","LTU","Bergenia crassifolia","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","[""terrestrial""]"
"Malus domestica Borkh.","species","Plantae","alien","null","present","Lithuania","LTU","Malus pumila","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Padus serotina (Ehrh.) Borkh.","species","Plantae","alien","invasive","present","Lithuania","LTU","Prunus serotina","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Lonicera tatarica L.","species","Plantae","alien","null","present","Lithuania","LTU","Lonicera tatarica","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","[""terrestrial""]"
"Polypogon monspeliensis Desf.","species","Plantae","alien","null","present","Lithuania","LTU","Polypogon monspeliensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Streptopelia decaocto (Frivaldszky, 1838)","species","Animalia","alien","null","present","Lithuania","LTU","Streptopelia decaocto","Animalia","Chordata","Aves","Columbiformes","Columbidae","[""terrestrial""]"
"Digitaria pectiniformis (Henrard) Tzvelev","species","Plantae","alien","null","present","Lithuania","LTU","Digitaria sanguinalis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Chenopodium vulvaria L.","species","Plantae","alien","null","present","Lithuania","LTU","Chenopodium vulvaria","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Lythrum hyssopifolia L.","species","Plantae","alien","null","present","Lithuania","LTU","Lythrum hyssopifolia","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","[""terrestrial"",""freshwater""]"
"Gronops inaequalis Boheman, 1842","species","Animalia","alien","invasive","present","Lithuania","LTU","Gronops inaequalis","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
