"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Rhus typhina L.","species","Plantae","alien","invasive","present","Luxembourg","LUX","Rhus typhina","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]"
"Lupinus polyphyllus Lindl.","species","Plantae","alien","null","present","Luxembourg","LUX","Lupinus polyphyllus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Phyllonorycter leucographella (Zeller, 1850)","species","Animalia","alien","null","present","Luxembourg","LUX","Phyllonorycter leucographella","Animalia","Arthropoda","Insecta","Lepidoptera","Gracillariidae","[""terrestrial""]"
"Dicranopalpus ramosus (E.Simon, 1909)","species","Animalia","alien","null","present","Luxembourg","LUX","Dicranopalpus ramosus","Animalia","Arthropoda","Arachnida","Opiliones","Phalangiidae","[""terrestrial""]"
"Castor canadensis Kuhl, 1820","species","Animalia","alien","null","present","Luxembourg","LUX","Castor canadensis","Animalia","Chordata","Mammalia","Rodentia","Castoridae","[""terrestrial"",""freshwater""]"
"Mahonia aquifolium (Pursh) Nutt.","species","Plantae","alien","invasive","present","Luxembourg","LUX","Berberis aquifolium","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","[""terrestrial""]"
"Spirodela polyrhiza (L.) Schleid.","species","Plantae","alien","invasive","present","Luxembourg","LUX","Spirodela polyrhiza","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""freshwater""]"
"Bunias orientalis L.","species","Plantae","alien","null","present","Luxembourg","LUX","Bunias orientalis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Harmonia axyridis (Pallas, 1773)","species","Animalia","alien","null","present","Luxembourg","LUX","Harmonia axyridis","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","[""terrestrial""]"
"Neogobius melanostomus (Pallas, 1814)","species","Animalia","alien","null","present","Luxembourg","LUX","Neogobius melanostomus","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","[""freshwater"",""brackish"",""marine""]"
"Cameraria ohridella Deschka & Dimic, 1986","species","Animalia","alien","null","present","Luxembourg","LUX","Cameraria ohridella","Animalia","Arthropoda","Insecta","Lepidoptera","Gracillariidae","[""terrestrial""]"
"Neogobius kessleri (Günther, 1861)","species","Animalia","alien","null","present","Luxembourg","LUX","Ponticola kessleri","Animalia","Chordata","Actinopterygii","Perciformes","Gobiidae","[""freshwater"",""brackish""]"
"Spiraea alba Duroi","species","Plantae","alien","null","present","Luxembourg","LUX","Spiraea alba","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Cornus sericea L.","species","Plantae","alien","null","present","Luxembourg","LUX","Cornus sericea","Plantae","Tracheophyta","Magnoliopsida","Cornales","Cornaceae","[""terrestrial""]"
"Lemna minuta Kunth","species","Plantae","alien","null","present","Luxembourg","LUX","Lemna minuta","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""freshwater""]"
"Leiobunum Koch, 1839","genus","Animalia","alien","null","present","Luxembourg","LUX","Leiobunum sp.","Animalia","Arthropoda","Arachnida","Opiliones","Sclerosomatidae","[""terrestrial""]"
"Brigittea civica (Lucas, 1850)","species","Animalia","alien","null","present","Luxembourg","LUX","Brigittea civica","Animalia","Arthropoda","Arachnida","Araneae","Dictynidae","[""terrestrial""]"
"Impatiens parviflora DC.","species","Plantae","alien","invasive","present","Luxembourg","LUX","Impatiens parviflora","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","[""terrestrial""]"
"Trachemys scripta elegans (Wied, 1838)","subspecies","Animalia","alien","null","present","Luxembourg","LUX","Trachemys scripta","Animalia","Chordata","Reptilia","Testudines","Emydidae","[""terrestrial"",""freshwater""]"
"Aster lanceolatus (Hook.) Kuntze","species","Plantae","alien","null","present","Luxembourg","LUX","Symphyotrichum lanceolatum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Elodea nuttallii St.John","species","Plantae","alien","invasive","present","Luxembourg","LUX","Elodea nuttallii","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Phyllonorycter platani (Staudinger, 1870)","species","Animalia","alien","null","present","Luxembourg","LUX","Phyllonorycter platani","Animalia","Arthropoda","Insecta","Lepidoptera","Gracillariidae","[""terrestrial""]"
"Carassius gibelio (Bloch, 1782)","species","Animalia","alien","null","present","Luxembourg","LUX","Carassius gibelio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Graphocephala fennahi Young, 1977","species","Animalia","alien","null","present","Luxembourg","LUX","Graphocephala fennahi","Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","[""host""]"
"Meconema meridionale Costa & A., 1860","species","Animalia","alien","null","present","Luxembourg","LUX","Meconema meridionale","Animalia","Arthropoda","Insecta","Orthoptera","Tettigoniidae","[""terrestrial""]"
"Varroa destructor Anderson & Trueman, 2000","species","Animalia","alien","null","present","Luxembourg","LUX","Varroa destructor","Animalia","Arthropoda","Arachnida","Mesostigmata","Varroidae","[""host""]"
"Robinia pseudoacacia L.","species","Plantae","alien","invasive","present","Luxembourg","LUX","Robinia pseudoacacia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Opilio canestrinii (Thorell, 1876)","species","Animalia","alien","null","present","Luxembourg","LUX","Opilio canestrinii","Animalia","Arthropoda","Arachnida","Opiliones","Phalangiidae","[""terrestrial""]"
"Myriophyllum aquaticum Verdc.","species","Plantae","alien","invasive","present","Luxembourg","LUX","Myriophyllum aquaticum","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Haloragaceae","[""freshwater""]"
"Bidens frondosa L.","species","Plantae","alien","null","present","Luxembourg","LUX","Bidens frondosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Impatiens glandulifera Royle","species","Plantae","alien","invasive","present","Luxembourg","LUX","Impatiens glandulifera","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","[""terrestrial""]"
"Acer negundo L.","species","Plantae","alien","null","present","Luxembourg","LUX","Acer negundo","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]"
"Mimulus guttatus DC.","species","Plantae","alien","null","present","Luxembourg","LUX","Mimulus guttatus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Phrymaceae","[""terrestrial""]"
"Argiope bruennichi (Scopoli, 1772)","species","Animalia","alien","null","present","Luxembourg","LUX","Argiope bruennichi","Animalia","Arthropoda","Arachnida","Araneae","Araneidae","[""terrestrial""]"
"Hyphantria cunea (Drury, 1773)","species","Animalia","alien","null","present","Luxembourg","LUX","Hyphantria cunea","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","[""terrestrial""]"
"Fallopia x bohemica","hybrid_formula","Plantae","alien","invasive","present","Luxembourg","LUX","Reynoutria bohemica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Amelanchier lamarckii F.G.Schroed.","species","Plantae","alien","null","present","Luxembourg","LUX","Amelanchier lamarckii","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Ondatra zibethicus (Linnaeus, 1766)","species","Animalia","alien","null","present","Luxembourg","LUX","Ondatra zibethicus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","[""terrestrial"",""freshwater""]"
"Fallopia japonica (Houtt.) Ronse Decraene","species","Plantae","alien","invasive","present","Luxembourg","LUX","Reynoutria japonica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial"",""freshwater""]"
"Fallopia sachalinensis (Friedrich Schmidt Petrop.) Ronse Decraene","species","Plantae","alien","invasive","present","Luxembourg","LUX","Reynoutria sachalinensis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Helianthus tuberosus L.","species","Plantae","alien","invasive","present","Luxembourg","LUX","Helianthus tuberosus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Parthenocissus quinquefolia (L.) Planch.","species","Plantae","alien","null","present","Luxembourg","LUX","Parthenocissus quinquefolia","Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","[""terrestrial""]"
"Phyllonorycter robiniella (Clemens, 1859)","species","Animalia","alien","null","present","Luxembourg","LUX","Phyllonorycter robiniella","Animalia","Arthropoda","Insecta","Lepidoptera","Gracillariidae","[""terrestrial""]"
"Stictocephala bisonia Kopp & Yonke, 1977","species","Animalia","alien","null","present","Luxembourg","LUX","Stictocephala bisonia","Animalia","Arthropoda","Insecta","Hemiptera","Membracidae","[""terrestrial""]"
"Aster novi-belgii L.","species","Plantae","alien","null","present","Luxembourg","LUX","Symphyotrichum novi-belgii","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Sceliphron curvatum (F.Smith, 1870)","species","Animalia","alien","null","present","Luxembourg","LUX","Sceliphron curvatum","Animalia","Arthropoda","Insecta","Hymenoptera","Sphecidae","[""terrestrial""]"
"Lepomis gibbosus (Linnaeus, 1758)","species","Animalia","alien","null","present","Luxembourg","LUX","Lepomis gibbosus","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","[""freshwater"",""brackish""]"
"Gammarus tigrinus Sexton, 1939","species","Animalia","alien","null","present","Luxembourg","LUX","Gammarus tigrinus","Animalia","Arthropoda","Malacostraca","Amphipoda","Gammaridae","[""marine""]"
"Spiraea x billiardii H‚rincq","hybrid_formula","Plantae","alien","null","present","Luxembourg","LUX","Spiraea billiardii","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Pseudorasbora parva (Temminck & Schlegel, 1846)","species","Animalia","alien","null","present","Luxembourg","LUX","Pseudorasbora parva","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Epilobium ciliatum Raf.","species","Plantae","alien","invasive","present","Luxembourg","LUX","Epilobium ciliatum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Parthenocissus inserta (A.Kerner) Fritsch","species","Plantae","alien","null","present","Luxembourg","LUX","Parthenocissus vitacea","Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","[""terrestrial""]"
"Leptinotarsa decemlineata (Say, 1824)","species","Animalia","alien","null","present","Luxembourg","LUX","Leptinotarsa decemlineata","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","[""terrestrial""]"
"Conyza canadensis (L.) Cronq.","species","Plantae","alien","invasive","present","Luxembourg","LUX","Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Epimedium alpinum L.","species","Plantae","alien","null","present","Luxembourg","LUX","Epimedium alpinum","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","[""terrestrial""]"
"Ailanthus altissima Swingle","species","Plantae","alien","null","present","Luxembourg","LUX","Ailanthus altissima","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae","[""terrestrial""]"
"Cervus nippon Temminck, 1838","species","Animalia","alien","null","present","Luxembourg","LUX","Cervus nippon","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","[""terrestrial""]"
"Drosophila suzukii (Matsumura, 1931)","species","Animalia","alien","null","present","Luxembourg","LUX","Drosophila suzukii","Animalia","Arthropoda","Insecta","Diptera","Drosophilidae","[""terrestrial""]"
