"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Desmodium velutinum DC.","species","Plantae","alien","null","present","Madagascar","MDG","Desmodium velutinum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Anagallis arvensis L.","species","Plantae","alien","null","present","Madagascar","MDG","Lysimachia arvensis","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","[""terrestrial""]",
"Callitriche peploides Nutt.","species","Plantae","alien","null","present","Madagascar","MDG","Callitriche peploides","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""freshwater""]",
"Peltophorum dasyrrhachis (Miq.) Kurz","species","Plantae","alien","null","present","Madagascar","MDG","Peltophorum dasyrrhachis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Ipomoea trifida (Kunth) G.Don","species","Plantae","alien","null","present","Madagascar","MDG","Ipomoea trifida","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Cyperus difformis L.","species","Plantae","alien","null","present","Madagascar","MDG","Cyperus difformis","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Cyathea arborescens Copel.","species","Plantae","alien","null","present","Madagascar","MDG","Alsophila caudata","Plantae","Tracheophyta","Polypodiopsida","Cyatheales","Cyatheaceae","[""terrestrial""]",
"Abelmoschus esculentus Moench","species","Plantae","alien","null","present","Madagascar","MDG","Abelmoschus esculentus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Pseudognaphalium luteoalbum (L.) O.M.Hilliard & B.L.Burtt","species","Plantae","alien","null","present","Madagascar","MDG","Helichrysum luteoalbum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Sphenoclea zeylanica Gaertn.","species","Plantae","alien","null","present","Madagascar","MDG","Sphenoclea zeylanica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Sphenocleaceae","[""terrestrial""]",
"Rhamphicarpa fistulosa Benth.","species","Plantae","alien","null","present","Madagascar","MDG","Rhamphicarpa fistulosa","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]",
"Rubus moluccanus L.","species","Plantae","alien","null","present","Madagascar","MDG","Rubus moluccanus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]",
"Alternanthera philoxeroides (Mart.) Griseb.","species","Plantae","alien","null","present","Madagascar","MDG","Alternanthera philoxeroides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial"",""freshwater""]",
"Aleurites moluccanus Willd.","species","Plantae","alien","null","present","Madagascar","MDG","Aleurites moluccanus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Ceratopteris thalictroides (L.) Brongn.","species","Plantae","alien","null","present","Madagascar","MDG","Ceratopteris thalictroides","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","[""terrestrial""]",
"Opuntia ficus-indica (L.) Mill.","species","Plantae","alien","null","present","Madagascar","MDG","Opuntia ficus-indica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]",
"Leonurus sibiricus L.","species","Plantae","alien","null","present","Madagascar","MDG","Leonurus sibiricus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Scoparia dulcis L.","species","Plantae","alien","null","present","Madagascar","MDG","Scoparia dulcis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]",
"Plantago lanceolata L.","species","Plantae","alien","null","present","Madagascar","MDG","Plantago lanceolata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]",
"Datura innoxia Mill.","species","Plantae","alien","null","present","Madagascar","MDG","Datura innoxia","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Cyathula prostrata (L.) Blume","species","Plantae","alien","null","present","Madagascar","MDG","Cyathula prostrata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Abrus precatorius L.","species","Plantae","alien","null","present","Madagascar","MDG","Abrus precatorius","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Flueggea virosa (Willd.) Voigt","species","Plantae","alien","null","present","Madagascar","MDG","Flueggea virosa","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","[""terrestrial""]",
"Tagetes erecta L.","species","Plantae","alien","null","present","Madagascar","MDG","Tagetes erecta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Acacia crassicarpa Benth.","species","Plantae","alien","invasive","present","Madagascar","MDG","Acacia crassicarpa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Arivela viscosa Raf.","species","Plantae","alien","null","present","Madagascar","MDG","Arivela viscosa","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Cleomaceae","[""terrestrial""]",
"Desmodium ospriostreblum Chiov.","species","Plantae","alien","null","present","Madagascar","MDG","Desmodium ospriostreblum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Phyllanthus niruroides Müll.Arg.","species","Plantae","alien","null","present","Madagascar","MDG","Phyllanthus niruroides","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","[""terrestrial""]",
"Cleome viscosa L.","species","Plantae","alien","null","present","Madagascar","MDG","Arivela viscosa","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Cleomaceae","[""terrestrial""]",
"Leucas martinicensis (Jacq.) R.Br.","species","Plantae","alien","null","present","Madagascar","MDG","Leucas martinicensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Struchium sparganophorum (L.) Kuntze","species","Plantae","alien","null","present","Madagascar","MDG","Struchium sparganophorum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial"",""freshwater""]",
"Stenotaphrum micranthum (Desv.) C.E.Hubb.","species","Plantae","alien","null","present","Madagascar","MDG","Stenotaphrum micranthum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Ambrosia tenuifolia Spreng.","species","Plantae","alien","null","present","Madagascar","MDG","Ambrosia tenuifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Curcuma longa L.","species","Plantae","alien","null","present","Madagascar","MDG","Curcuma longa","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]",
"Acanthospermum hispidum DC.","species","Plantae","alien","null","present","Madagascar","MDG","Acanthospermum hispidum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Ipomoea triloba L.","species","Plantae","alien","null","present","Madagascar","MDG","Ipomoea triloba","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Blumea crispata (Vahl) H.Merxmüller","species","Plantae","alien","null","present","Madagascar","MDG","Laggera crispata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Indigofera hendecaphylla Jacq.","species","Plantae","alien","null","present","Madagascar","MDG","Indigofera hendecaphylla","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Urochloa arrecta (Hack.) Morrone & Zuloaga","species","Plantae","alien","null","present","Madagascar","MDG","Brachiaria arrecta","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Penaeus monodon Fabricius, 1798","species","Animalia","alien","null","present","Madagascar","MDG","Penaeus monodon","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","[""marine""]",
"Zehneria maysorensis (Wight & Arn.) Arn.","species","Plantae","alien","null","present","Madagascar","MDG","Zehneria maysorensis","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]",
"Hydrocotyle bonariensis Lam.","species","Plantae","alien","null","present","Madagascar","MDG","Hydrocotyle bonariensis","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial"",""freshwater""]",
"Azolla pinnata R.Br.","species","Plantae","alien","null","present","Madagascar","MDG","Azolla pinnata","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","[""freshwater""]",
"Sphagneticola trilobata (L.) Pruski","species","Plantae","alien","null","present","Madagascar","MDG","Sphagneticola trilobata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Pycreus polystachyos (Rottb.) P.Beauv.","species","Plantae","alien","null","present","Madagascar","MDG","Cyperus polystachyos","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Chromolaena odorata (L.) R.M.King & H.Rob.","species","Plantae","alien","invasive","present","Madagascar","MDG","Chromolaena odorata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Cajanus cajan (L.) Huth","species","Plantae","alien","null","present","Madagascar","MDG","Cajanus cajan","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Abutilon indicum (L.) Sweet","species","Plantae","alien","null","present","Madagascar","MDG","Abutilon indicum","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Enteropogon prieurii (Kunth) Clayton","species","Plantae","alien","null","present","Madagascar","MDG","Enteropogon prieurii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Sesbania bispinosa (Jacq.) W.Wight","species","Plantae","alien","null","present","Madagascar","MDG","Sesbania bispinosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Lipocarpha chinensis (Osbeck) J.Kern","species","Plantae","alien","null","present","Madagascar","MDG","Cyperus albescens","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Drymaria cordata (L.) Roem. & Schult.","species","Plantae","alien","null","present","Madagascar","MDG","Drymaria cordata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]",
"Rhynchosia viscosa DC.","species","Plantae","alien","null","present","Madagascar","MDG","Rhynchosia viscosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Senna petersiana (Bolle) Lock","species","Plantae","alien","null","present","Madagascar","MDG","Senna petersiana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Corchorus fascicularis Lam.","species","Plantae","alien","null","present","Madagascar","MDG","Corchorus fascicularis","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Cleome rutidosperma DC.","species","Plantae","alien","null","present","Madagascar","MDG","Sieruela rutidosperma","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Cleomaceae","[""terrestrial""]",
"Elephantopus carolinianus var. mollis (Kunth) Beurlin","variety","Plantae","alien","invasive","present","Madagascar","MDG","Elephantopus mollis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Olyra latifolia L.","species","Plantae","alien","null","present","Madagascar","MDG","Olyra latifolia","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Cleome hirta (KI.) Oliv.","species","Plantae","alien","invasive","present","Madagascar","MDG","Sieruela hirta","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Cleomaceae","[""terrestrial""]",
"Salvinia hastata Desv.","species","Plantae","alien","null","present","Madagascar","MDG","Salvinia hastata","Plantae","Tracheophyta","Polypodiopsida","Salviniales","Salviniaceae","[""freshwater""]",
"Pennisetum polystachyum (L.) Schult.","species","Plantae","alien","null","present","Madagascar","MDG","Cenchrus polystachios","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Schoenoplectiella juncoides (Roxb.) Lye","species","Plantae","alien","null","present","Madagascar","MDG","Schoenoplectiella juncoides","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Pereskia aculeata Mill.","species","Plantae","alien","null","present","Madagascar","MDG","Pereskia aculeata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]",
"Paspalum distichum L.","species","Plantae","alien","null","present","Madagascar","MDG","Paspalum distichum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Oenothera glazioviana Micheli","species","Plantae","alien","null","present","Madagascar","MDG","Oenothera glazioviana","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]",
"Cissus quadrangularis L.","species","Plantae","alien","null","present","Madagascar","MDG","Cissus quadrangularis","Plantae","Tracheophyta","Magnoliopsida","Vitales","Vitaceae","[""terrestrial""]",
"Oldenlandia corymbosa L.","species","Plantae","alien","null","present","Madagascar","MDG","Oldenlandia corymbosa","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Panicum repens L.","species","Plantae","alien","null","present","Madagascar","MDG","Panicum repens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Alysicarpus bupleurifolius (L.) A.DC.","species","Plantae","alien","null","present","Madagascar","MDG","Alysicarpus bupleurifolius","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Solanum lycopersicoides Dunal","species","Plantae","alien","null","present","Madagascar","MDG","Solanum lycopersicoides","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Casuarina cunninghamiana Miq.","species","Plantae","alien","null","present","Madagascar","MDG","Casuarina cunninghamiana","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]",
"Lonicera japonica Thunb.","species","Plantae","alien","null","present","Madagascar","MDG","Lonicera japonica","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","[""terrestrial""]",
"Ischaemum aristatum L.","species","Plantae","alien","null","present","Madagascar","MDG","Ischaemum aristatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Oryza sativa L.","species","Plantae","alien","null","present","Madagascar","MDG","Oryza sativa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]",
"Ocimum africanum Lour.","species","Plantae","alien","null","present","Madagascar","MDG","Ocimum africanum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Kalanchoe delagoensis Eckl. & Zeyh.","species","Plantae","alien","null","present","Madagascar","MDG","Kalanchoe delagoensis","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]",
"Persicaria mitis (Schrank) Assenov","species","Plantae","alien","null","present","Madagascar","MDG","Persicaria mitis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]",
"Osphronemus goramy Lacépède, 1801","species","Animalia","alien","invasive","present","Madagascar","MDG","Osphronemus goramy","Animalia","Chordata","Actinopterygii","Perciformes","Osphronemidae","[""freshwater"",""brackish""]",
