"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Orthezia insignis Browne, 1887","species","Animalia","alien","invasive","present","Malawi","MWI","Orthezia insignis","Animalia","Arthropoda","Insecta","Hemiptera","Ortheziidae","[""host""]"
"Rubus niveus Thunb.","species","Plantae","alien","invasive","present","Malawi","MWI","Rubus niveus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Heteropsylla cubana Crawford, 1914","species","Animalia","alien","invasive","present","Malawi","MWI","Heteropsylla cubana","Animalia","Arthropoda","Insecta","Hemiptera","Psyllidae","[""host""]"
"Bryophyllum delagoense (Eckl. & Zeyh.) Schinz","species","Plantae","alien","null","present","Malawi","MWI","Kalanchoe delagoensis","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]"
"Ipomoea indica (Burm.) Merr.","species","Plantae","alien","null","present","Malawi","MWI","Ipomoea indica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Agave angustifolia Haw.","species","Plantae","alien","invasive","present","Malawi","MWI","Agave angustifolia","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Nidorella auriculata DC.","species","Plantae","alien","null","present","Malawi","MWI","Nidorella auriculata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Eichhornia crassipes (Mart.) Solms","species","Plantae","alien","invasive","present","Malawi","MWI","Eichhornia crassipes","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]"
"Tectona grandis L.f.","species","Plantae","alien","null","present","Malawi","MWI","Tectona grandis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Pteridium aquilinum","species","Plantae","alien","invasive","present","Malawi","MWI","Pteridium aquilinum","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Dennstaedtiaceae","[""terrestrial""]"
"Arthropteris monocarpa (Cordem.) C.Chr.","species","Plantae","alien","null","present","Malawi","MWI","Arthropteris monocarpa","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Tectariaceae","[""terrestrial""]"
"Rubus apetalus var. apetalus","variety","Plantae","alien","null","present","Malawi","MWI","Rubus apetalus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Opuntia microdasys (Lehm.) Lehm. ex Pfeiff.","species","Plantae","alien","null","present","Malawi","MWI","Opuntia microdasys","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Anredera cordifolia (Ten.) Steenis","species","Plantae","alien","invasive","present","Malawi","MWI","Anredera cordifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Basellaceae","[""terrestrial""]"
"Columba livia Gmelin, 1789","species","Animalia","alien","null","present","Malawi","MWI","Columba livia","Animalia","Chordata","Aves","Columbiformes","Columbidae","[""terrestrial""]"
"Solanum campylacanthum Hochst. ex A.Rich.","species","Plantae","alien","null","present","Malawi","MWI","Solanum campylacanthum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Solanaceae","[""terrestrial""]"
"Axonopus fissifolius (Raddi) Kuhlm.","species","Plantae","alien","null","present","Malawi","MWI","Axonopus fissifolius","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Ageratum conyzoides L.","species","Plantae","alien","invasive","present","Malawi","MWI","Ageratum conyzoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Pontederia cordata L.","species","Plantae","alien","null","present","Malawi","MWI","Pontederia cordata","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""terrestrial"",""freshwater""]"
"Caesalpinia decapetala (Roth) Alston","species","Plantae","alien","invasive","present","Malawi","MWI","Caesalpinia decapetala","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Vibrio cholerae Pacini, 1854","species","Bacteria","alien","null","present","Malawi","MWI","Vibrio cholerae","Bacteria","Proteobacteria","Gammaproteobacteria","Vibrionales","Vibrionaceae","[""host""]"
"Lantana camara L.","species","Plantae","alien","invasive","present","Malawi","MWI","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Cestrum corymbosum Schltdl.","species","Plantae","alien","null","present","Malawi","MWI","Cestrum corymbosum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Cedrela odorata L.","species","Plantae","alien","invasive","present","Malawi","MWI","Cedrela odorata","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Prosopis juliflora (Sw.) DC.","species","Plantae","alien","invasive","present","Malawi","MWI","Prosopis juliflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Tecoma stans (L.) Kunth","species","Plantae","alien","invasive","present","Malawi","MWI","Tecoma stans","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]"
"Thevetia peruviana Merr.","species","Plantae","alien","null","present","Malawi","MWI","Thevetia peruviana","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Ctenopharyngodon idella (Valenciennes, 1844)","species","Animalia","alien","null","present","Malawi","MWI","Ctenopharyngodon idella","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Melia azedarach L.","species","Plantae","alien","null","present","Malawi","MWI","Melia azedarach","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Nicotiana glauca Graham","species","Plantae","alien","null","present","Malawi","MWI","Nicotiana glauca","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Aristolochia littoralis Parodi","species","Plantae","alien","null","present","Malawi","MWI","Aristolochia elegans","Plantae","Tracheophyta","Magnoliopsida","Piperales","Aristolochiaceae","[""terrestrial""]"
"Datura metel L.","species","Plantae","alien","null","present","Malawi","MWI","Datura metel","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Cyprinus carpio Linnaeus, 1758","species","Animalia","alien","invasive","present","Malawi","MWI","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Hedychium flavescens Carey ex Rosc.","species","Plantae","alien","null","present","Malawi","MWI","Hedychium flavescens","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]"
"Agave attenuata Salm-Dyck","species","Plantae","alien","null","present","Malawi","MWI","Agave attenuata","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Ipomoea carnea Jacq.","species","Plantae","alien","null","present","Malawi","MWI","Ipomoea carnea","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Euryops chrysanthemoides (DC.) B.Nord.","species","Plantae","alien","null","present","Malawi","MWI","Euryops chrysanthemoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Ipomoea alpina Rendle","species","Plantae","alien","null","present","Malawi","MWI","Ipomoea linosepala","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Passiflora edulis Sims","species","Plantae","alien","null","present","Malawi","MWI","Passiflora edulis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]"
"Cestrum nocturnum L.","species","Plantae","alien","null","present","Malawi","MWI","Cestrum nocturnum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Hyptis suaveolens (L.) Poit.","species","Plantae","alien","invasive","present","Malawi","MWI","Mesosphaerum suaveolens","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Eucalyptus camaldulensis Dehnh.","species","Plantae","alien","null","present","Malawi","MWI","Eucalyptus camaldulensis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Senna didymobotrya (Fresen.) H.S.Irwin & Barneby","species","Plantae","alien","null","present","Malawi","MWI","Senna didymobotrya","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Calotropis procera (Aiton) W.T.Aiton","species","Plantae","alien","invasive","present","Malawi","MWI","Calotropis procera","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Parkinsonia aculeata L.","species","Plantae","alien","null","present","Malawi","MWI","Parkinsonia aculeata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Oreochromis karongae (Trewavas, 1941)","species","Animalia","alien","null","present","Malawi","MWI","Oreochromis karongae","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater""]"
