"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Stachytarpheta cayennensis (Rich.) J.Vahl","species","Plantae","alien","null","present","Malaysia","MYS","Stachytarpheta cayennensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Asystasia gangetica subsp. gangetica","subspecies","Plantae","alien","null","present","Malaysia","MYS","Asystasia gangetica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Cordia cylindristachya Roem. & Schult.","species","Plantae","alien","null","present","Malaysia","MYS","Cordia cylindristachya","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Ehretiaceae","[""terrestrial""]",
"Alternanthera bettzichiana (Regel) Voss","species","Plantae","alien","null","present","Malaysia","MYS","Alternanthera ficoidea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Rivina humilis L.","species","Plantae","alien","null","present","Malaysia","MYS","Rivina humilis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Phytolaccaceae","[""terrestrial""]",
"Macroptilium lathyroides (L.) Urb.","species","Plantae","alien","null","present","Malaysia","MYS","Macroptilium lathyroides","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Kappaphycus spp.","genus","Plantae","alien","null","present","Malaysia","MYS","Kappaphycus sp.","Plantae","Rhodophyta","Florideophyceae","Gigartinales","Solieriaceae","[""marine""]",
"Crassocephalum crepidioides S.Moore","species","Plantae","alien","null","present","Malaysia","MYS","Crassocephalum crepidioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Phyllanthus debilis Willd.","species","Plantae","alien","null","present","Malaysia","MYS","Phyllanthus debilis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","[""terrestrial""]",
"Acanthospermum australe Kuntze","species","Plantae","alien","null","present","Malaysia","MYS","Acanthospermum australe","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Lithobates catesbeianus (Shaw, 1802)","species","Animalia","alien","null","present","Malaysia","MYS","Lithobates catesbeianus","Animalia","Chordata","Amphibia","Anura","Ranidae","[""terrestrial"",""freshwater""]",
"Solenopsis invicta Buren, 1972","species","Animalia","alien","null","present","Malaysia","MYS","Solenopsis invicta","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
"Physalis peruviana L.","species","Plantae","alien","null","present","Malaysia","MYS","Physalis peruviana","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Sonchus oleraceus L.","species","Plantae","alien","null","present","Malaysia","MYS","Sonchus oleraceus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Paspalum conjugatum P.J.Bergius","species","Plantae","alien","null","present","Malaysia","MYS","Paspalum conjugatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Cuscuta campestris Yunck.","species","Plantae","alien","null","present","Malaysia","MYS","Cuscuta pentagona","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""host""]",
"Lygodium japonicum (Thunb.) Sw.","species","Plantae","alien","null","present","Malaysia","MYS","Lygodium japonicum","Plantae","Tracheophyta","Polypodiopsida","Schizaeales","Lygodiaceae","[""terrestrial""]",
"Mimosa pigra L.","species","Plantae","alien","invasive","present","Malaysia","MYS","Mimosa pigra","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Mimosa pudica L.","species","Plantae","alien","null","present","Malaysia","MYS","Mimosa pudica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Diodia ocymifolia (Willd.) Bremek.","species","Plantae","alien","null","present","Malaysia","MYS","Spermacoce ocymifolia","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Crotalaria pallida Aiton","species","Plantae","alien","null","present","Malaysia","MYS","Crotalaria pallida","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Catla catla (Hamilton, 1822)","species","Animalia","alien","null","present","Malaysia","MYS","Gibelion catla","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]",
"Horsfieldia parviflora (Roxb.) J.Sinclair","species","Plantae","alien","null","present","Malaysia","MYS","Horsfieldia parviflora","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Myristicaceae","[""terrestrial""]",
"Etroplus suratensis (Bloch, 1790)","species","Animalia","alien","null","present","Malaysia","MYS","Etroplus suratensis","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""brackish""]",
"Tapinoma melanocephalum (Fabricius, 1793)","species","Animalia","alien","invasive","present","Malaysia","MYS","Tapinoma melanocephalum","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
"Solanum mammosum L.","species","Plantae","alien","null","present","Malaysia","MYS","Solanum mammosum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Eichhornia crassipes Solms","species","Plantae","alien","invasive","present","Malaysia","MYS","Eichhornia crassipes","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]",
"Cyperus sphacelatus Rottb.","species","Plantae","alien","null","present","Malaysia","MYS","Cyperus sphacelatus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]",
"Pelodiscus sinensis (Wiegmann, 1835)","species","Animalia","alien","null","present","Malaysia","MYS","Pelodiscus sinensis","Animalia","Chordata","Reptilia","Testudines","Trionychidae","[""terrestrial"",""freshwater""]",
"Uncaria gambir (W.Hunter) Roxb.","species","Plantae","alien","null","present","Malaysia","MYS","Uncaria gambir","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Trachemys scripta elegans (Wied, 1838)","subspecies","Animalia","alien","null","present","Malaysia","MYS","Trachemys scripta","Animalia","Chordata","Reptilia","Testudines","Emydidae","[""terrestrial"",""freshwater""]",
"Clerodendrum chinense (Osb.) Mabb.","species","Plantae","alien","null","present","Malaysia","MYS","Clerodendrum chinense","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Oxalis corniculata L.","species","Plantae","alien","invasive","present","Malaysia","MYS","Oxalis corniculata","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]",
"Pennisetum polystachyum (L.) Schult.","species","Plantae","alien","invasive","present","Malaysia","MYS","Cenchrus polystachios","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Clarias macrocephalus Günther, 1864","species","Animalia","alien","null","present","Malaysia","MYS","Clarias macrocephalus","Animalia","Chordata","Actinopterygii","Siluriformes","Clariidae","[""freshwater"",""brackish""]",
"Aeschynomene americana L.","species","Plantae","alien","null","present","Malaysia","MYS","Aeschynomene americana","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Poecilia reticulata Peters, 1859","species","Animalia","alien","invasive","present","Malaysia","MYS","Poecilia reticulata","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]",
"Typha angustifolia L.","species","Plantae","alien","null","present","Malaysia","MYS","Typha angustifolia","Plantae","Tracheophyta","Liliopsida","Poales","Typhaceae","[""terrestrial"",""freshwater""]",
"Rumex crispus L.","species","Plantae","alien","null","present","Malaysia","MYS","Rumex crispus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]",
"Panicum maximum Jacq.","species","Plantae","alien","null","present","Malaysia","MYS","Panicum maximum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Aristichthys nobilis (Richardson, 1845)","species","Animalia","alien","null","present","Malaysia","MYS","Hypophthalmichthys nobilis","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]",
"Anacardium occidentale L.","species","Plantae","alien","null","present","Malaysia","MYS","Anacardium occidentale","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]",
"Chrysopogon zizanioides (L.) Roberty","species","Plantae","alien","null","present","Malaysia","MYS","Chrysopogon zizanioides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Alternanthera philoxeroides Griseb.","species","Plantae","alien","null","present","Malaysia","MYS","Alternanthera philoxeroides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial"",""freshwater""]",
"Litopenaeus vannamei (Boone, 1931)","species","Animalia","alien","null","present","Malaysia","MYS","Litopenaeus vannamei","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","[""brackish"",""marine""]",
"Leonotis nepetifolia (L.) R.Br.","species","Plantae","alien","null","present","Malaysia","MYS","Leonotis nepetifolia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Melaleuca quinquenervia (Cav.) S.T.Blake","species","Plantae","alien","null","present","Malaysia","MYS","Melaleuca quinquenervia","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Jatropha gossypiifolia L.","species","Plantae","alien","null","present","Malaysia","MYS","Jatropha gossypiifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Oxalis barrelieri L.","species","Plantae","alien","null","present","Malaysia","MYS","Oxalis barrelieri","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]",
"Corvus splendens Vieillot, 1817","species","Animalia","alien","invasive","present","Malaysia","MYS","Corvus splendens","Animalia","Chordata","Aves","Passeriformes","Corvidae","[""terrestrial""]",
"Digitaria sanguinalis (L.) Scop.","species","Plantae","alien","null","present","Malaysia","MYS","Digitaria sanguinalis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Achatina fulica (Férussac, 1821)","species","Animalia","alien","invasive","present","Malaysia","MYS","Lissachatina fulica","Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","[""terrestrial""]",
"Tilapia zillii (Gervais, 1848)","species","Animalia","alien","null","present","Malaysia","MYS","Coptodon zillii","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]",
