"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Melopsittacus undulatus (Shaw, 1805)","species","Animalia","alien","null","present","Maldives","MDV","Melopsittacus undulatus","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","[""terrestrial""]",
"Plumeria obtusa L.","species","Plantae","alien","null","present","Maldives","MDV","Plumeria obtusa","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Indigofera longiracemosa Baill.","species","Plantae","alien","null","present","Maldives","MDV","Indigofera longiracemosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Tithonia diversifolia A.Gray","species","Plantae","alien","null","present","Maldives","MDV","Tithonia diversifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Millingtonia hortensis L.f.","species","Plantae","alien","null","present","Maldives","MDV","Millingtonia hortensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]",
"Senna alata (L.) Roxb.","species","Plantae","alien","null","present","Maldives","MDV","Senna alata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Syzygium samarangense (Blume) Merr. & L.M.Perry","species","Plantae","alien","null","present","Maldives","MDV","Syzygium samarangense","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Derris trifoliata Lour.","species","Plantae","alien","null","present","Maldives","MDV","Derris trifoliata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Annona glabra L.","species","Plantae","alien","null","present","Maldives","MDV","Annona glabra","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Annonaceae","[""terrestrial""]",
"Oldenlandia umbellata L.","species","Plantae","alien","null","present","Maldives","MDV","Oldenlandia umbellata","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Amaranthus caudatus L.","species","Plantae","alien","null","present","Maldives","MDV","Amaranthus caudatus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Catharanthus roseus G.Don","species","Plantae","alien","invasive","present","Maldives","MDV","Catharanthus roseus","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Passiflora suberosa L.","species","Plantae","alien","invasive","present","Maldives","MDV","Passiflora suberosa","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Scaevola sericea Vahl","species","Plantae","alien","null","present","Maldives","MDV","Scaevola sericea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Goodeniaceae","[""terrestrial""]",
"Sesbania grandiflora (L.) Pers.","species","Plantae","alien","null","present","Maldives","MDV","Sesbania grandiflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
