"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Xanthium spinosum L.","species","Plantae","alien","null","present","Malta","MLT","Xanthium spinosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Colpomenia peregrina Sauv.","species","Chromista","alien","null","present","Malta","MLT","Colpomenia peregrina","Chromista","Ochrophyta","Phaeophyceae","Scytosiphonales","Scytosiphonaceae","[""marine""]"
"Maritigrella fuscopunctata (Prudhoe, 1978)","species","Animalia","alien","null","present","Malta","MLT","Maritigrella fuscopunctata","Animalia","Platyhelminthes","NOT ASSIGNED","Polycladida","Euryleptidae","[""host""]"
"Asparagus officinalis L.","species","Plantae","alien","null","present","Malta","MLT","Asparagus officinalis","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Lagocephalus sceleratus (Gmelin, 1789)","species","Animalia","alien","null","present","Malta","MLT","Lagocephalus sceleratus","Animalia","Chordata","Actinopterygii","Tetraodontiformes","Tetraodontidae","[""marine""]"
"Nothoscordum borbonicum Kunth","species","Plantae","alien","invasive","present","Malta","MLT","Nothoscordum borbonicum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","[""terrestrial""]"
"Freesia alba hort. ex Baker","species","Plantae","alien","invasive","present","Malta","MLT","Freesia alba","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]"
"Celleporaria brunnea (Hincks, 1884)","species","Animalia","alien","null","present","Malta","MLT","Celleporaria brunnea","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Lepraliellidae","[""marine""]"
"Cardiospermum hirsutum L.","species","Plantae","alien","invasive","present","Malta","MLT","Cardiospermum hirsutum","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]"
"Cyperus eragrostis Lam.","species","Plantae","alien","null","present","Malta","MLT","Cyperus eragrostis","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
