"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Paropeas achatinaceum (Pfeiffer, 1846)","species","Animalia","alien","null","present","Marshall Islands","MHL","Paropeas achatinaceum","Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","[""terrestrial""]",
"Pluchea syphytifolia","species","Plantae","alien","invasive","present","Marshall Islands","MHL","Pluchea syphytifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Clerodendrum quadriloculare (Blanco) Merr.","species","Plantae","alien","null","present","Marshall Islands","MHL","Clerodendrum quadriloculare","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Rhoeo spathacea (Sw.) Stearn","species","Plantae","alien","invasive","present","Marshall Islands","MHL","Tradescantia spathacea","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]",
"Phoenix dactylifera L.","species","Plantae","alien","null","present","Marshall Islands","MHL","Phoenix dactylifera","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]",
"Vernonia cinerea (L.) Less.","species","Plantae","alien","invasive","present","Marshall Islands","MHL","Cyanthillium cinereum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Malvaviscus arboreus Cav.","species","Plantae","alien","null","present","Marshall Islands","MHL","Malvaviscus arboreus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Paspalum setaceum Michx.","species","Plantae","alien","invasive","present","Marshall Islands","MHL","Paspalum setaceum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Pseuderanthemum carruthersii (Seem.) Guillaumin","species","Plantae","alien","null","present","Marshall Islands","MHL","Pseuderanthemum carruthersii","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Setaria parviflora (Poir.) Kerguélen","species","Plantae","alien","null","present","Marshall Islands","MHL","Setaria parviflora","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Pluchea indica (L.) Less.","species","Plantae","alien","invasive","present","Marshall Islands","MHL","Pluchea indica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Canis lupus Linnaeus, 1758","species","Animalia","alien","invasive","present","Marshall Islands","MHL","Canis lupus","Animalia","Chordata","Mammalia","Carnivora","Canidae","[""terrestrial""]",
"Clusia rosea Jacq.","species","Plantae","alien","null","present","Marshall Islands","MHL","Clusia rosea","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Clusiaceae","[""terrestrial""]",
"Youngia japonica (L.) DC.","species","Plantae","alien","null","present","Marshall Islands","MHL","Youngia japonica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Ipomoea triloba L.","species","Plantae","alien","invasive","present","Marshall Islands","MHL","Ipomoea triloba","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Thuja orientalis L.","species","Plantae","alien","null","present","Marshall Islands","MHL","Platycladus orientalis","Plantae","Tracheophyta","Pinopsida","Pinales","Cupressaceae","[""terrestrial""]",
"Allamanda hendersonii W.Bull ex Tombrain","species","Plantae","alien","invasive","present","Marshall Islands","MHL","Allamanda cathartica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Gehyra oceanica (Lesson, 1830)","species","Animalia","alien","null","present","Marshall Islands","MHL","Gehyra oceanica","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","[""terrestrial""]",
"Caladium bicolor (Aiton) Vent.","species","Plantae","alien","null","present","Marshall Islands","MHL","Caladium bicolor","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial""]",
"Suncus murinus (Linnaeus, 1766)","species","Animalia","alien","null","present","Marshall Islands","MHL","Suncus murinus","Animalia","Chordata","Mammalia","Soricomorpha","Soricidae","[""terrestrial""]",
"Alternanthera brasiliana Kuntze","species","Plantae","alien","null","present","Marshall Islands","MHL","Alternanthera brasiliana","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Eugenia uniflora L.","species","Plantae","alien","invasive","present","Marshall Islands","MHL","Eugenia uniflora","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
