"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Microgramma mauritiana (Willd.) Tardieu","species","Plantae","alien","null","present","Mauritius","MUS","Microgramma mauritiana","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Polypodiaceae","[""terrestrial""]"
"Leonurus japonicus Houtt.","species","Plantae","alien","null","present","Mauritius","MUS","Leonurus japonicus","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Euphorbia tirucalli L.","species","Plantae","alien","null","present","Mauritius","MUS","Euphorbia tirucalli","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Grevillea robusta A.Cunn. ex R.Br.","species","Plantae","alien","null","present","Mauritius","MUS","Grevillea robusta","Plantae","Tracheophyta","Magnoliopsida","Proteales","Proteaceae","[""terrestrial""]"
"Lepomis cyanellus Rafinesque, 1819","species","Animalia","alien","null","present","Mauritius","MUS","Lepomis cyanellus","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","[""freshwater""]"
"Torenia crustacea Cham. & Schltdl.","species","Plantae","alien","null","present","Mauritius","MUS","Torenia crustacea","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Linderniaceae","[""terrestrial"",""freshwater""]"
"Eichhornia crassipes Solms","species","Plantae","alien","invasive","present","Mauritius","MUS","Eichhornia crassipes","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]"
"Chromolaena odorata (L.) R.M.King & H.Rob.","species","Plantae","alien","invasive","present","Mauritius","MUS","Chromolaena odorata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Crassocephalum crepidioides S.Moore","species","Plantae","alien","null","present","Mauritius","MUS","Crassocephalum crepidioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Oxalis latifolia Kunth","species","Plantae","alien","invasive","present","Mauritius","MUS","Oxalis latifolia","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]"
"Commelina benghalensis L.","species","Plantae","alien","null","present","Mauritius","MUS","Commelina benghalensis","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Rumex crispus L.","species","Plantae","alien","null","present","Mauritius","MUS","Rumex crispus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Thysanolaena maxima Roxb. ex Hornem.","species","Plantae","alien","null","present","Mauritius","MUS","Thysanolaena maxima","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Fimbristylis ovata (Burm.f.) J.Kern","species","Plantae","alien","null","present","Mauritius","MUS","Fimbristylis ovata","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
