"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Sinapis arvensis L.","species","Plantae","alien","null","present","Mexico","MEX","Sinapis arvensis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Bankia zeteki Bartsch, 1921","species","Animalia","alien","invasive","present","Mexico","MEX","Bankia zeteki","Animalia","Mollusca","Bivalvia","Myida","Teredinidae","[""brackish"",""marine""]"
"Mastrevirus Switchgrass mosaic-associated virus","species","Viruses","alien","null","present","Mexico","MEX","Mastrevirus Switchgrass mosaic-associated virus","Viruses","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Geminiviridae","[""host""]"
"Sciaenochromis fryeri Konings, 1993","species","Animalia","alien","null","present","Mexico","MEX","Sciaenochromis fryeri","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater""]"
"Cenchrus setaceus (Forssk.) Morrone","species","Plantae","alien","invasive","present","Mexico","MEX","Cenchrus setaceus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Pterygoplichthys gibbiceps (Kner, 1854)","species","Animalia","alien","null","present","Mexico","MEX","Pterygoplichthys gibbiceps","Animalia","Chordata","Actinopterygii","Siluriformes","Loricariidae","[""freshwater""]"
"Cardamine hirsuta L.","species","Plantae","alien","invasive","present","Mexico","MEX","Cardamine hirsuta","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Gehyra mutilata (Wiegmann, 1834)","species","Animalia","alien","null","present","Mexico","MEX","Gehyra mutilata","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","[""terrestrial""]"
"Acanthophis praelongus Ramsay, 1877","species","Animalia","alien","invasive","present","Mexico","MEX","Acanthophis praelongus","Animalia","Chordata","Reptilia","Squamata","Elapidae","[""terrestrial""]"
"Coolia monotis Meunier","species","Chromista","alien","null","present","Mexico","MEX","Coolia monotis","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Ostreopsidaceae","[""marine""]"
"Comandra umbellata Nutt.","species","Plantae","alien","null","present","Mexico","MEX","Comandra umbellata","Plantae","Tracheophyta","Magnoliopsida","Santalales","Santalaceae","[""terrestrial""]"
"Solanum viarum Dunal","species","Plantae","alien","null","present","Mexico","MEX","Solanum viarum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Chlamydophila psittaci (Lillie, 1930) Everett & al., 1999","species","Bacteria","alien","invasive","present","Mexico","MEX","Chlamydophila psittaci","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Chlamydiaceae","[""host""]"
"Bromus inermis Leyss.","species","Plantae","alien","null","present","Mexico","MEX","Bromus inermis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Varanus salvator (Laurenti, 1768)","species","Animalia","alien","invasive","present","Mexico","MEX","Varanus salvator","Animalia","Chordata","Reptilia","Squamata","Varanidae","[""terrestrial""]"
"Eragrostis unioloides Nees ex Steud.","species","Plantae","alien","null","present","Mexico","MEX","Eragrostis unioloides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Eragrostis superba Peyr.","species","Plantae","alien","null","present","Mexico","MEX","Eragrostis superba","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Koelreuteria paniculata Laxm.","species","Plantae","alien","null","present","Mexico","MEX","Koelreuteria paniculata","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]"
"Comandra umbellata subsp. pallida (A.DC.) Piehl","subspecies","Plantae","alien","null","present","Mexico","MEX","Comandra umbellata","Plantae","Tracheophyta","Magnoliopsida","Santalales","Santalaceae","[""terrestrial""]"
"Fenneropenaeus chinensis (Osbeck, 1765)","species","Animalia","alien","null","present","Mexico","MEX","Fenneropenaeus chinensis","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","[""marine""]"
"Boccardiella ligerica (Ferronnière, 1898)","species","Animalia","alien","null","present","Mexico","MEX","Boccardiella ligerica","Animalia","Annelida","Polychaeta","Spionida","Spionidae","[""terrestrial""]"
"Raphanus raphanistrum L.","species","Plantae","alien","null","present","Mexico","MEX","Raphanus raphanistrum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Tilapia rendalli (Boulenger, 1897)","species","Animalia","alien","invasive","present","Mexico","MEX","Coptodon rendalli","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Lampranthus coccineus N.E.Br.","species","Plantae","alien","null","present","Mexico","MEX","Lampranthus coccineus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","[""terrestrial""]"
"Poa nemoralis L.","species","Plantae","alien","null","present","Mexico","MEX","Poa nemoralis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Monomorium pharaonis (Linnaeus, 1758)","species","Animalia","alien","null","present","Mexico","MEX","Monomorium pharaonis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Lactuca serriola L.","species","Plantae","alien","null","present","Mexico","MEX","Lactuca serriola","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Guizotia abyssinica Cass.","species","Plantae","alien","invasive","present","Mexico","MEX","Guizotia abyssinica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
