"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Hypoestes phyllostachya Baker","species","Plantae","alien","null","present","Micronesia (Federated States of)","FSM","Hypoestes phyllostachya","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Ipomoea carnea subsp. fistulosa (Choisy) D.F.Austin","subspecies","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Ipomoea carnea","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Rubus moluccanus L.","species","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Rubus moluccanus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]",
"Derris elliptica Benth.","species","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Derris elliptica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Sida acuta Burm.f.","species","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Sida acuta","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Ipomoea aquatica Forssk.","species","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Ipomoea aquatica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial"",""freshwater""]",
"Pennisetum purpureum Schumach.","species","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Cenchrus purpureus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Persicaria minor Opiz","species","Plantae","alien","null","present","Micronesia (Federated States of)","FSM","Persicaria minor","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]",
"Leucaena leucocephala (Lam.) de Wit","species","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Leucaena leucocephala","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Acalypha lanceolata Willd.","species","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Acalypha lanceolata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Achyranthes aspera L.","species","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Achyranthes aspera","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Gliricidia sepium (Jacq.) Walp.","species","Plantae","alien","null","present","Micronesia (Federated States of)","FSM","Gliricidia sepium","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Bambusa Schreb.","genus","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Bambusa sp.","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Oreochromis niloticus (Linnaeus, 1758)","species","Animalia","alien","null","present","Micronesia (Federated States of)","FSM","Oreochromis niloticus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]",
"Paspalum scrobiculatum L.","species","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Paspalum scrobiculatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Euphorbia heterophylla L.","species","Plantae","alien","null","present","Micronesia (Federated States of)","FSM","Euphorbia heterophylla","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Melastoma malabathricum L.","species","Plantae","alien","null","present","Micronesia (Federated States of)","FSM","Melastoma malabathricum","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Melastomataceae","[""terrestrial""]",
"Aleurites moluccanus Willd.","species","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Aleurites moluccanus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Lantana camara L.","species","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Syngonium angustatum Schott","species","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Syngonium angustatum","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial""]",
"Acacia decurrens Willd.","species","Plantae","alien","null","present","Micronesia (Federated States of)","FSM","Acacia decurrens","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Aedes albopictus Skuse, 1894","species","Animalia","alien","invasive","present","Micronesia (Federated States of)","FSM","Aedes albopictus","Animalia","Arthropoda","Insecta","Diptera","Culicidae","[""terrestrial"",""freshwater""]",
"Tagetes erecta L.","species","Plantae","alien","null","present","Micronesia (Federated States of)","FSM","Tagetes erecta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Chamaecrista mimosoides (L.) Greene","species","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Chamaecrista mimosoides","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Heliotropium indicum L.","species","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Heliotropium indicum","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Heliotropiaceae","[""terrestrial""]",
"Solanum lycopersicum L.","species","Plantae","alien","null","present","Micronesia (Federated States of)","FSM","Solanum lycopersicum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Sonchus asper Hill","species","Plantae","alien","invasive","present","Micronesia (Federated States of)","FSM","Sonchus asper","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Annona muricata L.","species","Plantae","alien","null","present","Micronesia (Federated States of)","FSM","Annona muricata","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Annonaceae","[""terrestrial""]",
