"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Caulerpa racemosa (Forssk.) J.Agardh","species","Plantae","alien","invasive","present","Monaco","MCO","Caulerpa racemosa","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","[""marine""]"
"Caulerpa taxifolia (M.Vahl) C.Agardh","species","Plantae","alien","invasive","present","Monaco","MCO","Caulerpa taxifolia","Plantae","Chlorophyta","Ulvophyceae","Bryopsidales","Caulerpaceae","[""marine""]"
"Crisicoccus pini (Kuwana, 1902)","species","Animalia","alien","null","present","Monaco","MCO","Crisicoccus pini","Animalia","Arthropoda","Insecta","Hemiptera","Pseudococcidae","[""host""]"
"Corythauma ayyari (Drake, 1933)","species","Animalia","alien","null","present","Monaco","MCO","Corythauma ayyari","Animalia","Arthropoda","Insecta","Hemiptera","Tingidae","[""host""]"
"Aedes albopictus Skuse, 1894","species","Animalia","alien","null","present","Monaco","MCO","Aedes albopictus","Animalia","Arthropoda","Insecta","Diptera","Culicidae","[""terrestrial"",""freshwater""]"
"Acanthoscelides pallidipennis (Motschulsky, 1874)","species","Animalia","alien","null","present","Monaco","MCO","Dactylispa pallidipennis","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","[""terrestrial""]"
"Leptoglossus occidentalis Heidemann, 1910","species","Animalia","alien","null","present","Monaco","MCO","Leptoglossus occidentalis","Animalia","Arthropoda","Insecta","Hemiptera","Coreidae","[""host""]"
"Phenacoccus peruvianus Granara de Willink, 2007","species","Animalia","alien","null","present","Monaco","MCO","Phenacoccus peruvianus","Animalia","Arthropoda","Insecta","Hemiptera","Pseudococcidae","[""host""]"
"Trachyphloeosoma advena Zimmerman, 1956","species","Animalia","alien","null","present","Monaco","MCO","Trachyphloeosoma advena","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Phasianus colchicus Linnaeus, 1758","species","Animalia","alien","null","present","Monaco","MCO","Phasianus colchicus","Animalia","Chordata","Aves","Galliformes","Phasianidae","[""terrestrial""]"
"Xylosandrus compactus Eichhoff, 1875","species","Animalia","alien","null","present","Monaco","MCO","Xylosandrus compactus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
