"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Oryzaephilus surinamensis (Linnaeus, 1758)","species","Animalia","alien","null","present","Mongolia","MNG","Oryzaephilus surinamensis","Animalia","Arthropoda","Insecta","Coleoptera","Silvanidae","[""terrestrial""]"
"Sitotroga cerealella Olivier, 1789","species","Animalia","alien","null","present","Mongolia","MNG","Sitotroga cerealella","Animalia","Arthropoda","Insecta","Lepidoptera","Gelechiidae","[""terrestrial""]"
"Conium maculatum Linnaeus","species","Plantae","alien","null","present","Mongolia","MNG","Conium maculatum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Coregonus peled (Gmelin, 1789)","species","Animalia","alien","null","present","Mongolia","MNG","Coregonus peled","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Thlaspi arvense L.","species","Plantae","alien","null","present","Mongolia","MNG","Sinapis arvensis","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Satureja hortensis L.","species","Plantae","alien","null","present","Mongolia","MNG","Satureja hortensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Sitophilus oryzae (Linnaeus, 1763) Linnaeus, 1763","species","Animalia","alien","null","present","Mongolia","MNG","Sitophilus oryzae","Animalia","Arthropoda","Insecta","Coleoptera","Dryophthoridae","[""terrestrial""]"
"Orobanche cernua Loefl.","species","Plantae","alien","null","present","Mongolia","MNG","Orobanche cernua","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]"
"Ondatra zibethicus (Linnaeus, 1766)","species","Animalia","alien","null","present","Mongolia","MNG","Ondatra zibethicus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","[""terrestrial"",""freshwater""]"
"Setaria viridis (L.) P.Beauv.","species","Plantae","alien","null","present","Mongolia","MNG","Setaria viridis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Oryza sativa L.","species","Plantae","alien","null","present","Mongolia","MNG","Oryza sativa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Tyrophagus putrescentiae (Schrank, 1781)","species","Animalia","alien","null","present","Mongolia","MNG","Tyrophagus putrescentiae","Animalia","Arthropoda","Arachnida","Astigmata","Acaridae","[""host""]"
"Bruchus pisorum (Linnaeus, 1758)","species","Animalia","alien","null","present","Mongolia","MNG","Bruchus pisorum","Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","[""terrestrial""]"
"Chenopodium album L.","species","Plantae","alien","null","present","Mongolia","MNG","Chenopodium album","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Gnathopogon strigatus (Regan, 1908)","species","Animalia","alien","null","present","Mongolia","MNG","Gnathopogon strigatus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater""]"
"Polygonum convolvulus L.","species","Plantae","alien","null","present","Mongolia","MNG","Fallopia convolvulus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Coriandrum sativum L.","species","Plantae","alien","null","present","Mongolia","MNG","Coriandrum sativum","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Lens culinaris Medik.","species","Plantae","alien","null","present","Mongolia","MNG","Lens culinaris","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Sitophilus granarius (Linnaeus, 1758) Linnaeus, 1758","species","Animalia","alien","null","present","Mongolia","MNG","Sitophilus granarius","Animalia","Arthropoda","Insecta","Coleoptera","Dryophthoridae","[""terrestrial""]"
"Foeniculum vulgare Mill.","species","Plantae","alien","null","present","Mongolia","MNG","Foeniculum vulgare","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Senecio vulgaris L.","species","Plantae","alien","null","present","Mongolia","MNG","Senecio vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Tenebrio molitor Linnaeus, 1758","species","Animalia","alien","null","present","Mongolia","MNG","Tenebrio molitor","Animalia","Arthropoda","Insecta","Coleoptera","Tenebrionidae","[""terrestrial""]"
