"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Herpestes auropunctatus (Hodgson, 1836)","species","Animalia","alien","null","present","Montenegro","MNE","Herpestes javanicus","Animalia","Chordata","Mammalia","Carnivora","Herpestidae","[""terrestrial""]"
"Sporobolus vaginiflorus (Torr. ex A.Gray) Alph.Wood","species","Plantae","alien","null","present","Montenegro","MNE","Sporobolus vaginiflorus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Bidens subalternans DC.","species","Plantae","alien","invasive","present","Montenegro","MNE","Bidens subalternans","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Xanthium echinatum subsp. italicum (Moretti) O.de Bolòs & J.Vigo","subspecies","Plantae","alien","null","present","Montenegro","MNE","Xanthium orientale","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Tinocallis kahawaluokalani (Kirkaldy, 1906)","species","Animalia","alien","null","present","Montenegro","MNE","Sarucallis kahawaluokalani","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","[""host""]"
"Narcissus polyanthos Loisel.","species","Plantae","alien","null","present","Montenegro","MNE","Narcissus papyraceus","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","[""terrestrial""]"
"Bidens frondosa L.","species","Plantae","alien","null","present","Montenegro","MNE","Bidens frondosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Sporobolus poiretii (Roem. & Schult.) Hitchc.","species","Plantae","alien","null","present","Montenegro","MNE","Sporobolus junceus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Callinectes sapidus Rathbun, 1896","species","Animalia","alien","invasive","present","Montenegro","MNE","Callinectes sapidus","Animalia","Arthropoda","Malacostraca","Decapoda","Potamidae","[""marine""]"
"Veronica persica Poir.","species","Plantae","alien","null","present","Montenegro","MNE","Veronica persica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Salvelinus fontinalis (Mitchill, 1814)","species","Animalia","alien","null","present","Montenegro","MNE","Salvelinus fontinalis","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Aphis illinoisensis Shimer, 1866","species","Animalia","alien","null","present","Montenegro","MNE","Aphis illinoisensis","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","[""host""]"
"Ctenopharyngodon idella (Valenciennes, 1844)","species","Animalia","alien","null","present","Montenegro","MNE","Ctenopharyngodon idella","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Helianthus x laetiflorus","hybrid_formula","Plantae","alien","null","present","Montenegro","MNE","Helianthus laetiflorus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Coreopsis tinctoria Nutt.","species","Plantae","alien","null","present","Montenegro","MNE","Coreopsis tinctoria","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Penaeus aztecus Ives, 1891","species","Animalia","alien","invasive","present","Montenegro","MNE","Farfantepenaeus aztecus","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","[""marine""]"
"Paspalum paspalodes (Michx.) Scribn.","species","Plantae","alien","null","present","Montenegro","MNE","Paspalum distichum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Oncorhynchus mykiss (Walbaum, 1792)","species","Animalia","alien","null","present","Montenegro","MNE","Oncorhynchus mykiss","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Portulaca oleracea L.","species","Plantae","alien","null","present","Montenegro","MNE","Portulaca oleracea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Portulacaceae","[""terrestrial""]"
"Euphorbia maculata L.","species","Plantae","alien","null","present","Montenegro","MNE","Euphorbia maculata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Xanthium strumarium subsp. italicum (Moretti) D.Löve","subspecies","Plantae","alien","null","present","Montenegro","MNE","Xanthium orientale","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Alcea rosea L.","species","Plantae","alien","null","present","Montenegro","MNE","Alcea rosea","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Ipomoea indica (Burm.) Merr.","species","Plantae","alien","null","present","Montenegro","MNE","Ipomoea indica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Paspalum distichum L.","species","Plantae","alien","invasive","present","Montenegro","MNE","Paspalum distichum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
