"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Panicum capillare L.","species","Plantae","alien","null","present","Morocco","MAR","Panicum capillare","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Nylanderia jaegerskioeldi Mayr, 1904","species","Animalia","alien","null","present","Morocco","MAR","Nylanderia jaegerskioeldi","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Paspalum distichum L.","species","Plantae","alien","null","present","Morocco","MAR","Paspalum distichum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Trifolium alexandrinum L.","species","Plantae","alien","null","present","Morocco","MAR","Trifolium alexandrinum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Favorinus ghanensis Edmunds, 1968","species","Animalia","alien","null","present","Morocco","MAR","Favorinus ghanensis","Animalia","Mollusca","Gastropoda","Nudibranchia","Facelinidae","[""marine""]"
"Verbesina encelioides subsp. exauriculata (B.L.Rob. & Greenm.) N.Coleman","subspecies","Plantae","alien","null","present","Morocco","MAR","Verbesina encelioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Paspalum vaginatum Sw.","species","Plantae","alien","null","present","Morocco","MAR","Paspalum vaginatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""brackish""]"
"Acacia karroo Hayne","species","Plantae","alien","null","present","Morocco","MAR","Acacia karroo","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Chloris gayana Kunth","species","Plantae","alien","null","present","Morocco","MAR","Chloris gayana","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Lampranthus multiradiatus N.E.Br.","species","Plantae","alien","null","present","Morocco","MAR","Lampranthus multiradiatus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","[""terrestrial""]"
"Tetramorium bicarinatum (Nylander, 1846)","species","Animalia","alien","null","present","Morocco","MAR","Tetramorium bicarinatum","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Colocasia esculenta (L.) Schott","species","Plantae","alien","null","present","Morocco","MAR","Colocasia esculenta","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]"
"Amaranthus albus L.","species","Plantae","alien","null","present","Morocco","MAR","Amaranthus albus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Cyprinus carpio Linnaeus, 1758","species","Animalia","alien","null","present","Morocco","MAR","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Melilotus officinalis Pall.","species","Plantae","alien","null","present","Morocco","MAR","Melilotus officinalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
