"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Neojeffreya decurrens (L.) Cabrera","species","Plantae","alien","null","present","Mozambique","MOZ","Neojeffreya decurrens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Tribulus terrestris L.","species","Plantae","alien","null","present","Mozambique","MOZ","Tribulus terrestris","Plantae","Tracheophyta","Magnoliopsida","Zygophyllales","Zygophyllaceae","[""terrestrial""]"
"Gonipterus scutellatus Gyllenhal, 1833","species","Animalia","alien","invasive","present","Mozambique","MOZ","Gonipterus scutellatus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Acanthospermum hispidum DC.","species","Plantae","alien","invasive","present","Mozambique","MOZ","Acanthospermum hispidum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Peltophorum pterocarpum (DC.) Backer ex K.Heyne","species","Plantae","alien","null","present","Mozambique","MOZ","Peltophorum pterocarpum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Chenopodium album L.","species","Plantae","alien","null","present","Mozambique","MOZ","Chenopodium album","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Eucalyptus cladocalyx F.Muell.","species","Plantae","alien","null","present","Mozambique","MOZ","Eucalyptus cladocalyx","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Dalbergia sissoo DC.","species","Plantae","alien","null","present","Mozambique","MOZ","Dalbergia sissoo","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Chenopodium ambrosioides L.","species","Plantae","alien","null","present","Mozambique","MOZ","Dysphania ambrosioides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Richardia brasiliensis Gomez","species","Plantae","alien","null","present","Mozambique","MOZ","Richardia brasiliensis","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]"
"Raphanus raphanistrum L.","species","Plantae","alien","null","present","Mozambique","MOZ","Raphanus raphanistrum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Thunbergia alata Sims","species","Plantae","alien","null","present","Mozambique","MOZ","Thunbergia alata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]"
"Dioscorea alata L.","species","Plantae","alien","null","present","Mozambique","MOZ","Dioscorea alata","Plantae","Tracheophyta","Liliopsida","Dioscoreales","Dioscoreaceae","[""terrestrial""]"
"Phoracantha semipunctata (Fabricius, 1775)","species","Animalia","alien","null","present","Mozambique","MOZ","Phoracantha semipunctata","Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","[""terrestrial""]"
"Oncorhynchus mykiss (Walbaum, 1792)","species","Animalia","alien","null","present","Mozambique","MOZ","Oncorhynchus mykiss","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Ctenopharyngodon idella (Valenciennes, 1844)","species","Animalia","alien","null","present","Mozambique","MOZ","Ctenopharyngodon idella","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Senecio vulgaris L.","species","Plantae","alien","null","present","Mozambique","MOZ","Senecio vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Sida cordifolia subsp. maculata (Cav.) Marais","species","Plantae","cryptogenic|uncertain","null","present","Mozambique","MOZ","Sida maculata","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Ramphotyphlops braminus Daudin, 1803","species","Animalia","alien","null","present","Mozambique","MOZ","Ramphotyphlops braminus","Animalia","Chordata","Reptilia","Squamata","Typhlopidae","[""terrestrial""]"
"Theba pisana (Müller, 1774)","species","Animalia","alien","null","present","Mozambique","MOZ","Theba pisana","Animalia","Mollusca","Gastropoda","Stylommatophora","Helicidae","[""terrestrial""]"
"Lantana camara L.","species","Plantae","alien","invasive","present","Mozambique","MOZ","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Kalanchoe pinnata Pers.","species","Plantae","alien","null","present","Mozambique","MOZ","Kalanchoe pinnata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Euphorbia prostrata Ait.","species","Plantae","alien","null","present","Mozambique","MOZ","Euphorbia prostrata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Acanthaster planci (Linnaeus, 1758)","species","Animalia","alien","null","present","Mozambique","MOZ","Acanthaster planci","Animalia","Echinodermata","Asteroidea","Valvatida","Acanthasteridae","[""marine""]"
"Adenanthera pavonina L.","species","Plantae","alien","null","present","Mozambique","MOZ","Adenanthera pavonina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Tribulus cistoides L.","species","Plantae","alien","null","present","Mozambique","MOZ","Tribulus cistoides","Plantae","Tracheophyta","Magnoliopsida","Zygophyllales","Zygophyllaceae","[""terrestrial""]"
"Commelina benghalensis L.","species","Plantae","alien","null","present","Mozambique","MOZ","Commelina benghalensis","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Pinus patula Schiede & Deppe ex Schltdl.","species","Plantae","alien","invasive","present","Mozambique","MOZ","Pinus patula","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Micropterus salmoides (Lacepède, 1802)","species","Animalia","alien","null","present","Mozambique","MOZ","Micropterus salmoides","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","[""freshwater""]"
"Anethum graveolens L.","species","Plantae","alien","null","present","Mozambique","MOZ","Anethum graveolens","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Canna generalis L.H.Bailey","species","Plantae","alien","null","present","Mozambique","MOZ","Canna generalis","Plantae","Tracheophyta","Liliopsida","Zingiberales","Cannaceae","[""terrestrial""]"
"Datura innoxia Mill.","species","Plantae","alien","null","present","Mozambique","MOZ","Datura innoxia","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Oreochromis spilurus (Günther, 1894)","species","Animalia","alien","null","present","Mozambique","MOZ","Oreochromis spilurus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Physalis angulata L.","species","Plantae","alien","null","present","Mozambique","MOZ","Physalis angulata","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Hyptis suaveolens (L.) Poit.","species","Plantae","alien","null","present","Mozambique","MOZ","Mesosphaerum suaveolens","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Euphorbia tirucalli L.","species","Plantae","alien","null","present","Mozambique","MOZ","Euphorbia tirucalli","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Emex australis Steinh.","species","Plantae","alien","null","present","Mozambique","MOZ","Emex australis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Argemone ochroleuca Sweet","species","Plantae","alien","null","present","Mozambique","MOZ","Argemone ochroleuca","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Sacciolepis indica Chase","species","Plantae","alien","null","present","Mozambique","MOZ","Sacciolepis indica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Argemone mexicana L.","species","Plantae","alien","null","present","Mozambique","MOZ","Argemone mexicana","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Tithonia diversifolia A.Gray","species","Plantae","alien","invasive","present","Mozambique","MOZ","Tithonia diversifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Psidium guajava L.","species","Plantae","alien","invasive","present","Mozambique","MOZ","Psidium guajava","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Raphionacme utilis N.E.Br. & Stapf","species","Plantae","alien","null","present","Mozambique","MOZ","Raphionacme utilis","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Tithonia rotundifolia S.F.Blake","species","Plantae","alien","null","present","Mozambique","MOZ","Tithonia rotundifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Caesalpinia decapetala (Roth) Alston","species","Plantae","alien","null","present","Mozambique","MOZ","Caesalpinia decapetala","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Acacia saligna (Labill.) H.L.Wendl.","species","Plantae","alien","null","present","Mozambique","MOZ","Acacia saligna","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Sorghum halepense Pers.","species","Plantae","alien","null","present","Mozambique","MOZ","Sorghum halepense","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Cyperus compressus L.","species","Plantae","alien","null","present","Mozambique","MOZ","Cyperus compressus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Mimosa diplotricha C.Wright ex Sauvalle","species","Plantae","alien","null","present","Mozambique","MOZ","Mimosa diplotricha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Capsicum frutescens L.","species","Plantae","alien","null","present","Mozambique","MOZ","Capsicum frutescens","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Perna perna (Linnaeus, 1758)","species","Animalia","alien","null","present","Mozambique","MOZ","Perna perna","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","[""marine""]"
"Pisonia aculeata L.","species","Plantae","alien","null","present","Mozambique","MOZ","Pisonia aculeata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]"
"Crotalaria retusa L.","species","Plantae","alien","null","present","Mozambique","MOZ","Crotalaria retusa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Rattus rattus (Linnaeus, 1758)","species","Animalia","alien","null","present","Mozambique","MOZ","Rattus rattus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Melanoides tuberculata (O.F.Müller, 1774)","species","Animalia","alien","null","present","Mozambique","MOZ","Melanoides tuberculata","Animalia","Mollusca","Gastropoda","Neotaenioglossa","Thiaridae","[""freshwater""]"
"Oryza longistaminata A.Chev. & Roehrich","species","Plantae","alien","null","present","Mozambique","MOZ","Oryza longistaminata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Microcosmus squamiger Michaelsen, 1927","species","Animalia","alien","null","present","Mozambique","MOZ","Microcosmus squamiger","Animalia","Chordata","Ascidiacea","Stolidobranchia","Pyuridae","[""marine""]"
"Banana bunchy top virus (BBTV)","species","Viruses","alien","null","present","Mozambique","MOZ","Banana bunchy top virus (BBTV)","Viruses","Cressdnaviricota","Arfiviricetes","Mulpavirales","Nanoviridae","[""host""]"
"Acacia dealbata Link","species","Plantae","alien","null","present","Mozambique","MOZ","Acacia dealbata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Pityrogramma calomelanos var. calomelanos","variety","Plantae","alien","null","present","Mozambique","MOZ","Pityrogramma calomelanos","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Pteridaceae","[""terrestrial""]"
"Heliotropium indicum L.","species","Plantae","alien","null","present","Mozambique","MOZ","Heliotropium indicum","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Heliotropiaceae","[""terrestrial""]"
"Passiflora foetida L.","species","Plantae","alien","null","present","Mozambique","MOZ","Passiflora foetida","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]"
"Datura stramonium L.","species","Plantae","alien","null","present","Mozambique","MOZ","Datura stramonium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Asclepias curassavica L.","species","Plantae","alien","invasive","present","Mozambique","MOZ","Asclepias curassavica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Desmodium uncinatum (Jacq.) DC.","species","Plantae","alien","null","present","Mozambique","MOZ","Desmodium uncinatum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Paspalum urvillei Steud.","species","Plantae","alien","null","present","Mozambique","MOZ","Paspalum urvillei","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Alternanthera sessilis (L.) DC.","species","Plantae","alien","null","present","Mozambique","MOZ","Alternanthera sessilis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial"",""freshwater""]"
"Pinus caribaea Morelet","species","Plantae","alien","invasive","present","Mozambique","MOZ","Pinus caribaea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Pithecellobium dulce (Roxb.) Benth.","species","Plantae","alien","null","present","Mozambique","MOZ","Pithecellobium dulce","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
