"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Euphorbia hirta L.","species","Plantae","alien","invasive","present","Myanmar","MMR","Euphorbia hirta","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Echinochloa crus-galli (L.) P.Beauv.","species","Plantae","alien","invasive","present","Myanmar","MMR","Echinochloa crus-galli","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Eichhornia crassipes (Mart.) Solms","species","Plantae","alien","invasive","present","Myanmar","MMR","Eichhornia crassipes","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]"
"Bambusa vulgaris Schrad.","species","Plantae","alien","null","present","Myanmar","MMR","Bambusa vulgaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Cyperus difformis L.","species","Plantae","alien","null","present","Myanmar","MMR","Cyperus difformis","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Bidens pilosa L.","species","Plantae","alien","invasive","present","Myanmar","MMR","Bidens pilosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Hyparrhenia rufa (Nees) Stapf","species","Plantae","alien","null","present","Myanmar","MMR","Hyparrhenia rufa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Ludwigia octovalvis (Jacq.) Raven","species","Plantae","alien","null","present","Myanmar","MMR","Ludwigia octovalvis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Tubastraea coccinea Lesson, 1829","species","Animalia","alien","null","present","Myanmar","MMR","Tubastraea coccinea","Animalia","Cnidaria","Anthozoa","Scleractinia","Dendrophylliidae","[""marine""]"
"Penaeus stylirostris Stimpson, 1874","species","Animalia","alien","null","present","Myanmar","MMR","Litopenaeus stylirostris","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","[""brackish"",""marine""]"
"Emilia sonchifolia (L.) DC.","species","Plantae","alien","null","present","Myanmar","MMR","Emilia sonchifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Acanthospermum hispidum DC.","species","Plantae","alien","null","present","Myanmar","MMR","Acanthospermum hispidum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Saccharum spontaneum L.","species","Plantae","alien","invasive","present","Myanmar","MMR","Saccharum spontaneum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Culex quinquefasciatus Say, 1823","species","Animalia","alien","null","present","Myanmar","MMR","Culex quinquefasciatus","Animalia","Arthropoda","Insecta","Diptera","Culicidae","[""terrestrial"",""freshwater""]"
"Mimosa diplotricha Sauvalle","species","Plantae","alien","invasive","present","Myanmar","MMR","Mimosa diplotricha","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Syzygium jambos (L.) Alston","species","Plantae","alien","null","present","Myanmar","MMR","Syzygium jambos","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Anser indicus (Latham, 1790)","species","Animalia","alien","null","present","Myanmar","MMR","Anser indicus","Animalia","Chordata","Aves","Anseriformes","Anatidae","[""terrestrial"",""freshwater""]"
"Teredo Linnaeus, 1758","species","Animalia","alien","invasive","present","Myanmar","MMR","Teredo sp.","Animalia","Mollusca","Bivalvia","Myoida","Teredinidae","[""marine""]"
"Oreochromis niloticus (Linnaeus, 1758)","species","Animalia","alien","invasive","present","Myanmar","MMR","Oreochromis niloticus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Limnocharis flava (L.) Buchenau","species","Plantae","alien","invasive","present","Myanmar","MMR","Limnocharis flava","Plantae","Tracheophyta","Liliopsida","Alismatales","Alismataceae","[""terrestrial"",""freshwater""]"
"Papilio demoleus Linnaeus, 1758","species","Animalia","alien","null","present","Myanmar","MMR","Papilio demoleus","Animalia","Arthropoda","Insecta","Lepidoptera","Papilionidae","[""terrestrial""]"
"Abbottina rivularis (Basilewsky, 1855)","species","Animalia","alien","null","present","Myanmar","MMR","Abbottina rivularis","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Osphronemus goramy Lacepède, 1801","species","Animalia","alien","null","present","Myanmar","MMR","Osphronemus goramy","Animalia","Chordata","Actinopterygii","Perciformes","Osphronemidae","[""freshwater"",""brackish""]"
"Desmostachya bipinnata (L.) Stapf","species","Plantae","alien","invasive","present","Myanmar","MMR","Desmostachya bipinnata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Dactyloctenium aegyptium (L.) Willd.","species","Plantae","alien","null","present","Myanmar","MMR","Dactyloctenium aegyptium","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Cyperus compressus L.","species","Plantae","alien","null","present","Myanmar","MMR","Cyperus compressus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Oryza rufipogon Griff.","species","Plantae","alien","null","present","Myanmar","MMR","Oryza rufipogon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
