"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Amaranthus hybridus subsp. cruentus (L.) Thell.","species","Plantae","alien","null","present","Namibia","NAM","Amaranthus cruentus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Alternanthera pungens Kunth","species","Plantae","alien","invasive","present","Namibia","NAM","Alternanthera pungens","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Rattus norvegicus (Berkenhout, 1769)","species","Animalia","alien","invasive","present","Namibia","NAM","Rattus norvegicus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Phoenix dactylifera L.","species","Plantae","alien","null","present","Namibia","NAM","Phoenix dactylifera","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]"
"Schkuhria pinnata (Lam.) Kuntze ex Thell.","species","Plantae","alien","invasive","present","Namibia","NAM","Schkuhria pinnata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Oreochromis mossambicus (Peters, 1852)","species","Animalia","alien","invasive","present","Namibia","NAM","Oreochromis mossambicus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Melanthera scandens subsp. madagascariensis (Bak.) Wild","subspecies","Plantae","alien","null","present","Namibia","NAM","Lipotriche scandens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Digitaria sanguinalis (L.) Scop.","species","Plantae","alien","null","present","Namibia","NAM","Digitaria sanguinalis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Arundo donax L.","species","Plantae","alien","invasive","present","Namibia","NAM","Arundo donax","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Argemone subfusiformis G.B.Ownbey","species","Plantae","alien","invasive","present","Namibia","NAM","Argemone subfusiformis","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Opuntia ficus-indica (L.) Mill.","species","Plantae","alien","invasive","present","Namibia","NAM","Opuntia ficus-indica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Amaranthus hybridus subsp. hybridus","subspecies","Plantae","alien","null","present","Namibia","NAM","Amaranthus hybridus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Malva verticillata var. verticillata","variety","Plantae","alien","null","present","Namibia","NAM","Malva verticillata","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Parkinsonia aculeata L.","species","Plantae","alien","invasive","present","Namibia","NAM","Parkinsonia aculeata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Boerhavia erecta L.","species","Plantae","alien","null","present","Namibia","NAM","Boerhavia erecta","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]"
"Schoenoplectus tabernaemontani (C.C.Gmel.) Palla","species","Plantae","alien","null","present","Namibia","NAM","Schoenoplectus tabernaemontani","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Atriplex lindleyi Moq.","species","Plantae","alien","null","present","Namibia","NAM","Atriplex lindleyi","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Senna didymobotrya (Fresen.) H.S.Irwin & Barneby","species","Plantae","alien","null","present","Namibia","NAM","Senna didymobotrya","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Ipomoea nil (L.) Roth","species","Plantae","alien","null","present","Namibia","NAM","Ipomoea nil","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Atriplex nummularia Lindl.","species","Plantae","alien","invasive","present","Namibia","NAM","Atriplex nummularia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Landoltia punctata (G.Mey.) Les & D.J.Crawford","species","Plantae","alien","null","present","Namibia","NAM","Spirodela punctata","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""freshwater""]"
"Barbus anoplus Weber, 1897","species","Animalia","alien","invasive","present","Namibia","NAM","Enteromius anoplus","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Glinus lotoides var. lotoides","variety","Plantae","alien","null","present","Namibia","NAM","Glinus lotoides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Molluginaceae","[""terrestrial""]"
"Cherax quadricarinatus (von Martins, 1868)","species","Animalia","alien","invasive","present","Namibia","NAM","Cherax quadricarinatus","Animalia","Arthropoda","Malacostraca","Decapoda","Parastacidae","[""freshwater""]"
"Polypogon monspeliensis Desf.","species","Plantae","alien","null","present","Namibia","NAM","Polypogon monspeliensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Boerhavia cordobensis Kuntze","species","Plantae","alien","null","present","Namibia","NAM","Boerhavia cordobensis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]"
"Polygonum aviculare L.","species","Plantae","alien","null","present","Namibia","NAM","Polygonum aviculare","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Equus caballus Linnaeus, 1758","species","Animalia","alien","invasive","present","Namibia","NAM","Equus caballus","Animalia","Chordata","Mammalia","Perissodactyla","Equidae","[""terrestrial""]"
"Lantana camara L.","species","Plantae","alien","invasive","present","Namibia","NAM","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Melia azedarach L.","species","Plantae","alien","invasive","present","Namibia","NAM","Melia azedarach","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Salsola kali L.","species","Plantae","alien","invasive","present","Namibia","NAM","Kali turgida","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Opuntia sulphurea G.Don ex Loudon","species","Plantae","alien","invasive","present","Namibia","NAM","Opuntia sulphurea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Opuntia aurantiaca Lindl.","species","Plantae","alien","invasive","present","Namibia","NAM","Opuntia aurantiaca","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]"
"Flaveria bidentis (L.) Kuntze","species","Plantae","alien","invasive","present","Namibia","NAM","Flaveria bidentis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Persicaria limbata (Meisn.) Hara","species","Plantae","alien","null","present","Namibia","NAM","Persicaria limbata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Medicago laciniata var. laciniata","variety","Plantae","alien","null","present","Namibia","NAM","Medicago laciniata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Dovyalis caffra Warb.","species","Plantae","alien","null","present","Namibia","NAM","Dovyalis caffra","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]"
"Mirabilis jalapa L.","species","Plantae","alien","null","present","Namibia","NAM","Mirabilis jalapa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]"
"Oenothera parodiana subsp. parodiana","species","Plantae","alien","null","present","Namibia","NAM","Oenothera parodiana","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]"
"Luffa cylindrica M.Roem.","species","Plantae","alien","null","present","Namibia","NAM","Luffa aegyptiaca","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]"
"Euphorbia cyathophora Murray","species","Plantae","alien","null","present","Namibia","NAM","Euphorbia heterophylla","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Sorghum halepense Pers.","species","Plantae","alien","invasive","present","Namibia","NAM","Sorghum halepense","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Echinochloa colona (L.) Link","species","Plantae","alien","null","present","Namibia","NAM","Echinochloa colona","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Senna obtusifolia (L.) H.S.Irwin & Barneby","species","Plantae","alien","null","present","Namibia","NAM","Senna obtusifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Malva pusilla Sm.","species","Plantae","alien","null","present","Namibia","NAM","Malva pusilla","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
