"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Desmodium triflorum (L.) DC.","species","Plantae","alien","invasive","present","Nauru","NRU","Desmodium triflorum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Phyllanthus amarus Schumach. & Thonn.","species","Plantae","alien","invasive","present","Nauru","NRU","Phyllanthus amarus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","[""terrestrial""]",
"Pentas lanceolata (Forssk.) Defl.","species","Plantae","alien","null","present","Nauru","NRU","Pentas lanceolata","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Epipremnum pinnatum cv. aureum","species","Plantae","alien","null","present","Nauru","NRU","Epipremnum pinnatum","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial""]",
"Cyanthillium cinereum (L.) H.Rob.","species","Plantae","alien","invasive","present","Nauru","NRU","Cyanthillium cinereum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Passiflora foetida L.","species","Plantae","alien","invasive","present","Nauru","NRU","Passiflora foetida","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Canis lupus familiaris Linnaeus, 1758","subspecies","Animalia","alien","null","present","Nauru","NRU","Canis lupus","Animalia","Chordata","Mammalia","Carnivora","Canidae","[""terrestrial""]",
"Furcraea foetida Haw.","species","Plantae","alien","null","present","Nauru","NRU","Furcraea foetida","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]",
"Spathoglottis plicata Blume","species","Plantae","alien","null","present","Nauru","NRU","Spathoglottis plicata","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","[""terrestrial""]",
"Chloris barbata Sw.","species","Plantae","alien","invasive","present","Nauru","NRU","Chloris barbata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Physalis minima L.","species","Plantae","alien","invasive","present","Nauru","NRU","Physalis lagascae","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Spathodea campanulata P.Beauv.","species","Plantae","alien","null","present","Nauru","NRU","Spathodea campanulata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]",
"Synedrella nodiflora Gaertn.","species","Plantae","alien","invasive","present","Nauru","NRU",,,,,,,,
"Cynodon dactylon (L.) Pers.","species","Plantae","alien","invasive","present","Nauru","NRU","Cynodon dactylon","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Triumfetta semitriloba Jacq.","species","Plantae","alien","null","present","Nauru","NRU","Triumfetta semitriloba","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Mus musculus Linnaeus, 1758","species","Animalia","alien","invasive","present","Nauru","NRU","Mus musculus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]",
