"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Apanteles subandinus Blanchard, 1947","species","Animalia","alien","null","present","Nepal","NPL","Apanteles subandinus","Animalia","Arthropoda","Insecta","Hymenoptera","Braconidae","[""host""]",
"Ipomoea nil (L.) Roth","species","Plantae","alien","null","present","Nepal","NPL","Ipomoea nil","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Eriosoma lanigerum (Hausmann, 1802) Hausmann, 1802","species","Animalia","alien","null","present","Nepal","NPL","Eriosoma lanigerum","Animalia","Arthropoda","Insecta","Hemiptera","Aphididae","[""host""]",
"Ageratina adenophora (Spreng.) R.M.King & H.Rob.","species","Plantae","alien","invasive","present","Nepal","NPL","Ageratina adenophora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Myriophyllum aquaticum (Vellozo) Verdcourt","species","Plantae","alien","invasive","present","Nepal","NPL","Myriophyllum aquaticum","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Haloragaceae","[""freshwater""]",
"Peperomia pellucida (L.) Kunth","species","Plantae","alien","null","present","Nepal","NPL","Peperomia pellucida","Plantae","Tracheophyta","Magnoliopsida","Piperales","Piperaceae","[""terrestrial""]",
"Gomphrena celosioides Mart.","species","Plantae","alien","null","present","Nepal","NPL","Gomphrena celosioides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Solanum erianthum D.Don","species","Plantae","alien","null","present","Nepal","NPL","Solanum erianthum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Ipomoea hederifolia L.","species","Plantae","alien","null","present","Nepal","NPL","Ipomoea hederifolia","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Taraxacum campylodes G.E.Haglund","species","Plantae","alien","null","present","Nepal","NPL","Taraxacum campylodes","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Filopaludina sumatrensis Dunker, 1852","species","Animalia","alien","null","present","Nepal","NPL","Filopaludina sumatrensis","Animalia","Mollusca","Gastropoda","NOT ASSIGNED","Viviparidae","[""freshwater""]",
"Adenostemma lavenia (L.) Kuntze","species","Plantae","alien","null","present","Nepal","NPL","Adenophyllum cooperi","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Tridax procumbens L.","species","Plantae","alien","null","present","Nepal","NPL","Tridax procumbens","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Anagallis arvensis L.","species","Plantae","alien","null","present","Nepal","NPL","Anagallis arvensis","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","[""terrestrial""]",
"Digera arvensis Forssk.","species","Plantae","alien","null","present","Nepal","NPL","Digera muricata","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Erigeron annuus (L.) Pers.","species","Plantae","alien","null","present","Nepal","NPL","Erigeron annuus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Ageratum conyzoides Sieber ex Sieber ex Steudel","species","Plantae","alien","invasive","present","Nepal","NPL","Chromolaena corymbosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Ludwigia hyssopifolia (G. Don) Exell","species","Plantae","alien","null","present","Nepal","NPL","Ludwigia hyssopifolia","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial""]",
"Medicago sativa L.","species","Plantae","alien","null","present","Nepal","NPL","Medicago sativa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Euphorbia prostrata Aiton","species","Plantae","alien","null","present","Nepal","NPL","Euphorbia prostrata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Acacia nilotica Schumach. & Thonn.","species","Plantae","alien","null","present","Nepal","NPL","Acacia nilotica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Eclipta prostrata Lour.","species","Plantae","alien","null","present","Nepal","NPL","Spilanthes acmella","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Eupatorium cannabinum L.","species","Plantae","alien","null","present","Nepal","NPL","Eupatorium cannabinum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Argemone mexicana L.","species","Plantae","alien","invasive","present","Nepal","NPL","Argemone mexicana","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]",
"Pistia stratiotes L.","species","Plantae","alien","invasive","present","Nepal","NPL","Pistia stratiotes","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""freshwater""]",
"Eichhornia crassipes (Mart.) Solms","species","Plantae","alien","invasive","present","Nepal","NPL","Eichhornia crassipes","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]",
"Solanum glaucophyllum Desf.","species","Plantae","alien","null","present","Nepal","NPL","Solanum glaucophyllum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Blainvillea acmella (L.) Philipson","species","Plantae","alien","null","present","Nepal","NPL","Spilanthes acmella","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Hypoestes phyllostachya Baker","species","Plantae","alien","null","present","Nepal","NPL","Hypoestes phyllostachya","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Heteropsylla cubana Crawford, 1914","species","Animalia","alien","null","present","Nepal","NPL","Heteropsylla cubana","Animalia","Arthropoda","Insecta","Hemiptera","Psyllidae","[""host""]",
"Paratrechina longicornis (Latreille, 1802)","species","Animalia","alien","null","present","Nepal","NPL","Paratrechina longicornis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
"Sorghum halepense (L.) Pers.","species","Plantae","alien","null","present","Nepal","NPL","Sorghum halepense","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Phyllanthus amarus Schumach. & Thonn.","species","Plantae","alien","null","present","Nepal","NPL","Phyllanthus amarus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","[""terrestrial""]",
"Sida rhombifolia L.","species","Plantae","alien","null","present","Nepal","NPL","Sida rhombifolia","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Martynia annua L.","species","Plantae","alien","null","present","Nepal","NPL","Martynia annua","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Martyniaceae","[""terrestrial""]",
"Ctenopharyngodon idella (Valenciennes, 1844)","species","Animalia","alien","invasive","present","Nepal","NPL","Ctenopharyngodon idella","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]",
"Euphorbia heterophylla L.","species","Plantae","alien","null","present","Nepal","NPL","Euphorbia heterophylla","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Procecidochares utilis Stone, 1947","species","Animalia","alien","null","present","Nepal","NPL","Procecidochares utilis","Animalia","Arthropoda","Insecta","Diptera","Tephritidae","[""terrestrial""]",
"Zephyranthes carinata Herb.","species","Plantae","alien","null","present","Nepal","NPL","Zephyranthes carinata","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","[""terrestrial""]",
"Conyza bonariensis (L.) Cronquist","species","Plantae","alien","invasive","present","Nepal","NPL","Erigeron bonariensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
