"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Bromus rubens L.","species","Plantae","alien","null","present","Netherlands","NLD","Bromus rubens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Lacerta bilineata Daudin, 1802","species","Animalia","alien","null","present","Netherlands","NLD","Lacerta bilineata","Animalia","Chordata","Reptilia","Squamata","Lacertidae","[""terrestrial""]"
"Heteropoda venatoria (Linnaeus, 1767)","species","Animalia","alien","null","present","Netherlands","NLD","Heteropoda venatoria","Animalia","Arthropoda","Arachnida","Araneae","Sparassidae","[""terrestrial""]"
"Bergenia cordifolia (Haw.) Sternb.","species","Plantae","alien","null","present","Netherlands","NLD","Bergenia crassifolia","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","[""terrestrial""]"
"Laburnum anagyroides Medik.","species","Plantae","alien","null","present","Netherlands","NLD","Laburnum anagyroides","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Ornithopus sativus Brot.","species","Plantae","alien","null","present","Netherlands","NLD","Ornithopus sativus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Alisma subcordatum Raf.","species","Plantae","alien","null","present","Netherlands","NLD","Alisma subcordatum","Plantae","Tracheophyta","Liliopsida","Alismatales","Alismataceae","[""freshwater""]"
"Gastrotheus sumatranus Silvestri, 1916","species","Animalia","alien","null","present","Netherlands","NLD","Gastrotheus sumatranus","Animalia","Arthropoda","Insecta","Zygentoma","Lepismatidae","[""terrestrial""]"
"Romanogobio belingi (Slastenenko, 1934)","species","Animalia","alien","null","present","Netherlands","NLD","Romanogobio belingi","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater""]"
"Ballerus sapa (Pallas, 1814)","species","Animalia","alien","null","present","Netherlands","NLD","Ballerus sapa","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Papaver nudicaule L.","species","Plantae","alien","null","present","Netherlands","NLD","Papaver nudicaule","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Leptopsylla segnis (Schonherr, 1811)","species","Animalia","alien","null","present","Netherlands","NLD","Leptopsylla segnis","Animalia","Arthropoda","Insecta","Siphonaptera","Leptopsyllidae","[""host""]"
"Rattus norvegicus (Berkenhout, 1769)","species","Animalia","alien","invasive","present","Netherlands","NLD","Rattus norvegicus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Dianthus giganteus d'Urv.","species","Plantae","alien","null","present","Netherlands","NLD","Dianthus giganteus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Papaver cambricum L.","species","Plantae","alien","null","present","Netherlands","NLD","Papaver cambricum","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
