"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Buddleja davidii Franch.","species","Plantae","alien","invasive","present","New Zealand","NZL","Buddleja davidii","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","[""terrestrial""]"
"Furcraea foetida Haw.","species","Plantae","alien","invasive","present","New Zealand","NZL","Furcraea foetida","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Populus alba L.","species","Plantae","alien","invasive","present","New Zealand","NZL","Populus alba","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]"
"Cortaderia selloana Asch. & Graebn.","species","Plantae","alien","invasive","present","New Zealand","NZL","Cortaderia selloana","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Ranunculus ficaria L.","species","Plantae","alien","null","present","New Zealand","NZL","Ficaria verna","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","[""terrestrial""]"
"Carduelis carduelis (Linnaeus, 1758)","species","Animalia","alien","null","present","New Zealand","NZL","Carduelis carduelis","Animalia","Chordata","Aves","Passeriformes","Fringillidae","[""terrestrial""]"
"Salix fragilis L.","species","Plantae","alien","invasive","present","New Zealand","NZL","Salix fragilis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]"
"Glebocarcinus amphioetus (Rathbun, 1898)","species","Animalia","alien","null","present","New Zealand","NZL","Glebocarcinus amphioetus","Animalia","Arthropoda","Malacostraca","Decapoda","Cancridae","[""marine""]"
"Artemisia verlotiorum Lamotte","species","Plantae","alien","invasive","present","New Zealand","NZL","Artemisia verlotiorum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Cotoneaster microphyllus","species","Plantae","alien","invasive","present","New Zealand","NZL","Cotoneaster microphyllus","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Imperata cylindrica (L.) P.Beauv.","species","Plantae","alien","invasive","present","New Zealand","NZL","Imperata cylindrica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Hieracium argillaceum Jord.","species","Plantae","alien","null","present","New Zealand","NZL","Hieracium lachenalii","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Pinus uncinata Ramond ex DC.","species","Plantae","alien","null","present","New Zealand","NZL","Pinus uncinata","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Echium vulgare L.","species","Plantae","alien","invasive","present","New Zealand","NZL","Echium vulgare","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Boraginaceae","[""terrestrial""]"
"Ficus microcarpa L.f.","species","Plantae","alien","invasive","present","New Zealand","NZL","Ficus microcarpa","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Idesia polycarpa Maxim.","species","Plantae","alien","invasive","present","New Zealand","NZL","Idesia polycarpa","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Salicaceae","[""terrestrial""]"
"Osteospermum fruticosum (L.) Norl.","species","Plantae","alien","invasive","present","New Zealand","NZL","Osteospermum fruticosum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Plectranthus grandis L.H.Cramer","species","Plantae","alien","invasive","present","New Zealand","NZL","Plectranthus grandis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Austrostipa rudis (Spreng.) S.W.L.Jacobs & J.Everett","species","Plantae","alien","invasive","present","New Zealand","NZL","Austrostipa rudis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Hedychium flavescens Carey ex Rosc.","species","Plantae","alien","invasive","present","New Zealand","NZL","Hedychium flavescens","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]"
"Olea europaea L.","species","Plantae","alien","invasive","present","New Zealand","NZL","Olea europaea","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]"
"Archontophoenix cunninghamiana H.Wendl. & Drude","species","Plantae","alien","invasive","present","New Zealand","NZL","Archontophoenix cunninghamiana","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]"
"Erica vagans L.","species","Plantae","alien","invasive","present","New Zealand","NZL","Erica vagans","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","[""terrestrial""]"
"Bryonia cretica subsp. dioica (Jacq.) Tutin","species","Plantae","alien","invasive","present","New Zealand","NZL","Bryonia dioica","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]"
"Microscolex dubius (Fletcher, 1887)","species","Animalia","alien","null","present","New Zealand","NZL","Microscolex dubius","Animalia","Annelida","Clitellata","Crassiclitellata","Acanthodrilidae","[""terrestrial""]"
"Erica cinerea L.","species","Plantae","alien","invasive","present","New Zealand","NZL","Erica cinerea","Plantae","Tracheophyta","Magnoliopsida","Ericales","Ericaceae","[""terrestrial""]"
"Eucalyptus botryoides Sm.","species","Plantae","alien","null","present","New Zealand","NZL","Eucalyptus botryoides","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Aristea ecklonii Baker","species","Plantae","alien","invasive","present","New Zealand","NZL","Aristea ecklonii","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]"
"Agapanthus praecox Willd.","species","Plantae","alien","invasive","present","New Zealand","NZL","Agapanthus praecox","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","[""terrestrial""]"
"Eragrostis curvula Nees","species","Plantae","alien","invasive","present","New Zealand","NZL","Eragrostis curvula","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Elodea canadensis Michx.","species","Plantae","alien","invasive","present","New Zealand","NZL","Elodea canadensis","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Dama dama dama","subspecies","Animalia","alien","invasive","present","New Zealand","NZL","Dama dama","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","[""terrestrial""]"
"Amphilectus fucorum (Esper, 1794)","species","Animalia","alien","null","present","New Zealand","NZL","Amphilectus fucorum","Animalia","Porifera","Demospongiae","Poecilosclerida","Esperiopsidae","[""marine""]"
"Fallopia sachalinensis (Friedrich Schmidt Petrop.) Ronse Decraene","species","Plantae","alien","invasive","present","New Zealand","NZL","Reynoutria sachalinensis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Potamogeton perfoliatus L.","species","Plantae","alien","invasive","present","New Zealand","NZL","Potamogeton perfoliatus","Plantae","Tracheophyta","Liliopsida","Alismatales","Potamogetonaceae","[""freshwater""]"
"Wallabia bicolor (Desmarest, 1804)","species","Animalia","alien","null","present","New Zealand","NZL","Wallabia bicolor","Animalia","Chordata","Mammalia","Diprotodontia","Macropodidae","[""terrestrial""]"
"Rhytidoponera metallica (Smith, 1858)","species","Animalia","alien","null","present","New Zealand","NZL","Rhytidoponera metallica","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Hieracium lepidulum (Stenstr.) Dahlst.","species","Plantae","alien","invasive","present","New Zealand","NZL","Hieracium lepidulum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Vitrea crystallina (O.F.Müller, 1774)","species","Animalia","alien","null","present","New Zealand","NZL","Vitrea crystallina","Animalia","Mollusca","Gastropoda","Stylommatophora","Zonitidae","[""terrestrial""]"
"Emex australis Steinh.","species","Plantae","alien","invasive","present","New Zealand","NZL","Rumex hypogaeus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Colpomenia bullosa Saund.","species","Chromista","alien","null","present","New Zealand","NZL","Colpomenia bullosa","Chromista","Ochrophyta","Phaeophyceae","Scytosiphonales","Scytosiphonaceae","[""marine""]"
"Calystegia silvatica Griseb.","species","Plantae","alien","invasive","present","New Zealand","NZL","Calystegia silvatica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
