"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Erigeron karvinskianus DC.","species","Plantae","alien","null","present","Nicaragua","NIC","Erigeron karvinskianus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Oeceoclades maculata Lindl.","species","Plantae","alien","null","present","Nicaragua","NIC","Oeceoclades maculata","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","[""terrestrial""]"
"Egeria densa Planch.","species","Plantae","alien","null","present","Nicaragua","NIC","Egeria densa","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Aedes aegypti (Linnaeus, 1762)","species","Animalia","alien","null","present","Nicaragua","NIC","Aedes aegypti","Animalia","Arthropoda","Insecta","Diptera","Culicidae","[""terrestrial"",""freshwater""]"
"Alpinia zerumbet (Pers.) B.L.Burtt & R.M.Sm.","species","Plantae","alien","null","present","Nicaragua","NIC","Alpinia zerumbet","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]"
"Pennisetum polystachion (L.) Schult.","species","Plantae","alien","null","present","Nicaragua","NIC","Cenchrus polystachios","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Pterois volitans (Linnaeus, 1758)","species","Animalia","alien","null","present","Nicaragua","NIC","Pterois volitans","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Scorpaenidae","[""marine""]"
"Leucaena leucocephala (Lam.) de Wit","species","Plantae","alien","null","present","Nicaragua","NIC","Leucaena leucocephala","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Argemone ochroleuca Sweet","species","Plantae","alien","null","present","Nicaragua","NIC","Argemone ochroleuca","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Oreochromis mossambicus (Peters, 1852)","species","Animalia","alien","invasive","present","Nicaragua","NIC","Oreochromis mossambicus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Xylosandrus morigerus Reitter, 1913a","species","Animalia","alien","invasive","present","Nicaragua","NIC","Xylosandrus morigerus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Indigofera spicata Forssk.","species","Plantae","alien","invasive","present","Nicaragua","NIC","Indigofera spicata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Dichanthium annulatum Stapf","species","Plantae","alien","null","present","Nicaragua","NIC","Dichanthium annulatum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Thunbergia fragrans Roxb.","species","Plantae","alien","null","present","Nicaragua","NIC","Thunbergia fragrans","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]"
"Melaleuca quinquenervia (Cav.) S.T.Blake","species","Plantae","alien","null","present","Nicaragua","NIC","Melaleuca quinquenervia","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Passer domesticus (Linnaeus, 1758)","species","Animalia","alien","null","present","Nicaragua","NIC","Passer domesticus","Animalia","Chordata","Aves","Passeriformes","Passeridae","[""terrestrial""]"
"Crassostrea gigas (Thunberg, 1793)","species","Animalia","alien","null","present","Nicaragua","NIC","Magallana gigas","Animalia","Mollusca","Bivalvia","Ostreida","Ostreidae","[""marine""]"
"Calotropis procera (Aiton) W.T.Aiton","species","Plantae","alien","invasive","present","Nicaragua","NIC","Calotropis procera","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Pennisetum clandestinum Hochst. ex Chiov.","species","Plantae","alien","null","present","Nicaragua","NIC","Cenchrus clandestinus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Sorghum halepense Pers.","species","Plantae","alien","invasive","present","Nicaragua","NIC","Sorghum halepense","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Ficus pumila L.","species","Plantae","alien","null","present","Nicaragua","NIC","Ficus pumila","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Datura metel L.","species","Plantae","alien","null","present","Nicaragua","NIC","Datura metel","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Delonix regia (Bojer) Raf.","species","Plantae","alien","null","present","Nicaragua","NIC","Delonix regia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Alysicarpus vaginalis (L.) A.DC.","species","Plantae","alien","null","present","Nicaragua","NIC","Alysicarpus vaginalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Oreochromis aureus (Steindachner, 1864)","species","Animalia","alien","invasive","present","Nicaragua","NIC","Oreochromis aureus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Artocarpus altilis (Parkinson) Fosberg","species","Plantae","alien","null","present","Nicaragua","NIC","Artocarpus altilis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Ficus religiosa L.","species","Plantae","alien","null","present","Nicaragua","NIC","Ficus religiosa","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Momordica charantia L.","species","Plantae","alien","invasive","present","Nicaragua","NIC","Momordica charantia","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]"
"Nicotiana tabacum L.","species","Plantae","alien","null","present","Nicaragua","NIC","Nicotiana tabacum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Eichhornia crassipes Solms","species","Plantae","alien","null","present","Nicaragua","NIC","Eichhornia crassipes","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]"
"Ardisia elliptica Thunb.","species","Plantae","alien","null","present","Nicaragua","NIC","Ardisia elliptica","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","[""terrestrial""]"
"Mangifera indica L.","species","Plantae","alien","null","present","Nicaragua","NIC","Mangifera indica","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Anacardiaceae","[""terrestrial""]"
"Cyperus esculentus L.","species","Plantae","alien","null","present","Nicaragua","NIC","Cyperus esculentus","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Pennisetum purpureum Schumach.","species","Plantae","alien","null","present","Nicaragua","NIC","Cenchrus purpureus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Lonicera japonica Thunb.","species","Plantae","alien","null","present","Nicaragua","NIC","Lonicera japonica","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Caprifoliaceae","[""terrestrial""]"
"Bothriochloa pertusa (L.) A.Camus","species","Plantae","alien","null","present","Nicaragua","NIC","Bothriochloa pertusa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Cyanthillium cinereum (L.) H.Rob.","species","Plantae","alien","invasive","present","Nicaragua","NIC","Cyanthillium cinereum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Clerodendrum speciosissimum Drapiez","species","Plantae","alien","null","present","Nicaragua","NIC","Clerodendrum speciosissimum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Xanthosoma sagittifolium (L.) Schott","species","Plantae","alien","null","present","Nicaragua","NIC","Xanthosoma sagittifolium","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]"
"Passiflora edulis Sims","species","Plantae","alien","null","present","Nicaragua","NIC","Passiflora edulis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]"
