"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Chromolaena odorata (L.) R.M.King & H.Rob.","species","Plantae","alien","invasive","present","Niger","NER","Chromolaena odorata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Acacia saligna (Labill.) H.L.Wendl.","species","Plantae","alien","null","present","Niger","NER","Acacia saligna","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Spodoptera frugiperda Smith & Abbot, 1797","species","Animalia","alien","invasive","present","Niger","NER","Spodoptera frugiperda","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","[""terrestrial""]"
"Pinus caribaea Morelet","species","Plantae","alien","null","present","Niger","NER","Pinus caribaea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Calotropis procera (Aiton) W.T.Aiton","species","Plantae","alien","invasive","present","Niger","NER","Calotropis procera","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Moringa oleifera Lam.","species","Plantae","alien","null","present","Niger","NER","Moringa oleifera","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Moringaceae","[""terrestrial""]"
"Dalbergia sissoo DC.","species","Plantae","alien","null","present","Niger","NER","Dalbergia sissoo","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Leucaena diversifolia Benth.","species","Plantae","alien","null","present","Niger","NER","Leucaena diversifolia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Phaseolus lunatus L.","species","Plantae","alien","null","present","Niger","NER","Phaseolus lunatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Azadirachta indica A.Juss.","species","Plantae","alien","invasive","present","Niger","NER","Azadirachta indica","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Bactrocera cucurbitae (Coquillett, 1899)","species","Animalia","alien","invasive","present","Niger","NER","Bactrocera cucurbitae","Animalia","Arthropoda","Insecta","Diptera","Tephritidae","[""terrestrial""]"
"Amaranthus dubius Mart.","species","Plantae","alien","null","present","Niger","NER","Amaranthus dubius","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Bactrocera dorsalis (Hendel, 1912)","species","Animalia","alien","null","present","Niger","NER","Bactrocera dorsalis","Animalia","Arthropoda","Insecta","Diptera","Tephritidae","[""terrestrial""]"
"Colocasia esculenta (L.) Schott","species","Plantae","alien","null","present","Niger","NER","Colocasia esculenta","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]"
"Mythimna unipuncta (Haworth, 1809)","species","Animalia","alien","null","present","Niger","NER","Mythimna unipuncta","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","[""terrestrial""]"
