"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Passiflora maliformis L.","species","Plantae","alien","invasive","present","Niue","NIU","Passiflora maliformis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]",
"Casuarina equisetifolia L.","species","Plantae","alien","invasive","present","Niue","NIU","Casuarina equisetifolia","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]",
"Anredera cordifolia (Ten.) Steenis","species","Plantae","alien","invasive","present","Niue","NIU","Anredera cordifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Basellaceae","[""terrestrial""]",
"Syzygium jambos (L.) Alston","species","Plantae","alien","null","present","Niue","NIU","Syzygium jambos","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Crotalaria micans Link","species","Plantae","alien","null","present","Niue","NIU","Crotalaria micans","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Citrus aurantium L.","species","Plantae","alien","invasive","present","Niue","NIU","Citrus aurantium","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","[""terrestrial""]",
"Thyrsacanthus tubaeformis Nees","species","Plantae","alien","null","present","Niue","NIU","Thyrsacanthus tubaeformis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Spermacoce assurgens Spreng.","species","Plantae","alien","invasive","present","Niue","NIU","Spermacoce assurgens","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Cananga odorata (Lam.) Hook.f. & Thomson","species","Plantae","alien","null","present","Niue","NIU","Cananga odorata","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Annonaceae","[""terrestrial""]",
"Brachiaria dictyoneura Stapf","species","Plantae","alien","invasive","present","Niue","NIU","Brachiaria dictyoneura","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Mimosa pudica L.","species","Plantae","alien","invasive","present","Niue","NIU","Mimosa pudica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Tephrosia candida DC.","species","Plantae","alien","null","present","Niue","NIU","Tephrosia candida","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Coffea arabica L.","species","Plantae","alien","invasive","present","Niue","NIU","Coffea arabica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Tripsacum laxum Nash","species","Plantae","alien","null","present","Niue","NIU","Tripsacum laxum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Asystasia gangetica (L.) T.Anderson","species","Plantae","alien","invasive","present","Niue","NIU","Asystasia gangetica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]",
"Hibiscus diversifolius Jacq.","species","Plantae","alien","null","present","Niue","NIU","Hibiscus diversifolius","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Pinus caribaea Morelet","species","Plantae","alien","invasive","present","Niue","NIU","Pinus caribaea","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]",
"Asparagus densiflorus (Kunth) Jessop","species","Plantae","alien","null","present","Niue","NIU","Asparagus densiflorus","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]",
"Gomphrena globosa L.","species","Plantae","alien","null","present","Niue","NIU","Gomphrena globosa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]",
"Crotalaria verrucosa L.","species","Plantae","alien","null","present","Niue","NIU","Crotalaria verrucosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Portulaca oleracea L.","species","Plantae","alien","null","present","Niue","NIU","Portulaca oleracea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Portulacaceae","[""terrestrial""]",
"Bothriochloa bladhii (Retz.) S.T.Blake","species","Plantae","alien","null","present","Niue","NIU","Bothriochloa bladhii","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Aleurites moluccanus Willd.","species","Plantae","alien","invasive","present","Niue","NIU","Aleurites moluccanus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Centella asiatica Urb.","species","Plantae","alien","null","present","Niue","NIU","Centella asiatica","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]",
"Triumfetta rhomboidea Jacq.","species","Plantae","alien","invasive","present","Niue","NIU","Triumfetta rhomboidea","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Heliconia bihai L.f.","species","Plantae","alien","null","present","Niue","NIU","Heliconia bihai","Plantae","Tracheophyta","Liliopsida","Zingiberales","Heliconiaceae","[""terrestrial""]",
