"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Heteranthera limosa Willd.","species","Plantae","alien","null","present","North Macedonia","MKD","Heteranthera limosa","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]"
"Vallisneria spiralis L.","species","Plantae","alien","invasive","present","North Macedonia","MKD","Vallisneria spiralis","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Lindernia dubia Pennell","species","Plantae","alien","null","present","North Macedonia","MKD","Lindernia dubia","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Linderniaceae","[""terrestrial"",""freshwater""]"
"Cyprinus carpio Linnaeus, 1758","species","Animalia","alien","invasive","present","North Macedonia","MKD","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Ondatra zibethicus (Linnaeus, 1766)","species","Animalia","alien","null","present","North Macedonia","MKD","Ondatra zibethicus","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","[""terrestrial"",""freshwater""]"
"Glinus lotoides L.","species","Plantae","alien","null","present","North Macedonia","MKD","Glinus lotoides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Molluginaceae","[""terrestrial""]"
"Malcolmia africana (L.) R.Br.","species","Plantae","alien","null","present","North Macedonia","MKD","Malcolmia africana","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Frankliniella occidentalis (Pergande, 1895)","species","Animalia","alien","null","present","North Macedonia","MKD","Frankliniella occidentalis","Animalia","Arthropoda","Insecta","Thysanoptera","Thripidae","[""terrestrial""]"
"Erigeron annuus subsp. septentrionalis (Fern. & Wieg.) Wagenitz","species","Plantae","alien","null","present","North Macedonia","MKD","Erigeron strigosus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Harmonia axyridis (Pallas, 1773)","species","Animalia","alien","null","present","North Macedonia","MKD","Harmonia axyridis","Animalia","Arthropoda","Insecta","Coleoptera","Coccinellidae","[""terrestrial""]"
"Solidago canadensis L.","species","Plantae","alien","invasive","present","North Macedonia","MKD","Solidago canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Rattus norvegicus (Berkenhout, 1769)","species","Animalia","alien","null","present","North Macedonia","MKD","Rattus norvegicus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Dama dama (Linnaeus, 1758)","species","Animalia","alien","null","present","North Macedonia","MKD","Dama dama","Animalia","Chordata","Mammalia","Artiodactyla","Cervidae","[""terrestrial""]"
"Hypophthalmichthys molitrix (Valenciennes, 1844)","species","Animalia","alien","invasive","present","North Macedonia","MKD","Hypophthalmichthys molitrix","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Chenopodium L.","genus","Plantae","alien","null","present","North Macedonia","MKD","Chenopodium sp.","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Buddleja davidii Franch.","species","Plantae","alien","null","present","North Macedonia","MKD","Buddleja davidii","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Scrophulariaceae","[""terrestrial""]"
"Phalaris canariensis L.","species","Plantae","alien","null","present","North Macedonia","MKD","Phalaris canariensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Conyza canadensis (L.) Cronq.","species","Plantae","alien","invasive","present","North Macedonia","MKD","Erigeron canadensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Planorbella Haldeman, 1843","genus","Animalia","alien","null","present","North Macedonia","MKD","Planorbella sp.","Animalia","Mollusca","Gastropoda","NOT ASSIGNED","Planorbidae","[""freshwater""]"
"Matricaria discoidea DC.","species","Plantae","alien","null","present","North Macedonia","MKD","Matricaria discoidea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Ammannia baccifera L.","species","Plantae","alien","null","present","North Macedonia","MKD","Ammannia baccifera","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","[""terrestrial""]"
"Arundo donax L.","species","Plantae","alien","null","present","North Macedonia","MKD","Arundo donax","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Lepomis gibbosus (Linnaeus, 1758)","species","Animalia","alien","invasive","present","North Macedonia","MKD","Lepomis gibbosus","Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","[""freshwater"",""brackish""]"
"Lobularia maritima (L.) Desv.","species","Plantae","alien","null","present","North Macedonia","MKD","Lobularia maritima","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Koelreuteria paniculata Laxm.","species","Plantae","alien","invasive","present","North Macedonia","MKD","Koelreuteria paniculata","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]"
"Chamaesyce maculata (L.) Small","species","Plantae","alien","null","present","North Macedonia","MKD","Euphorbia maculata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Broussonetia papyrifera Vent.","species","Plantae","alien","null","present","North Macedonia","MKD","Broussonetia papyrifera","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Tagetes minuta L.","species","Plantae","alien","null","present","North Macedonia","MKD","Tagetes minuta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Nyctereutes procyonoides (Gray, 1834)","species","Animalia","alien","null","present","North Macedonia","MKD","Nyctereutes procyonoides","Animalia","Chordata","Mammalia","Carnivora","Canidae","[""terrestrial""]"
"Aphanomyces astaci Schikora","species","Chromista","alien","null","present","North Macedonia","MKD","Aphanomyces astaci","Chromista","Oomycota","Peronosporea","Saprolegniales","Leptolegniaceae","[""host""]"
"Leptoglossus occidentalis Heidemann, 1910","species","Animalia","alien","null","present","North Macedonia","MKD","Leptoglossus occidentalis","Animalia","Arthropoda","Insecta","Hemiptera","Coreidae","[""host""]"
"Acer negundo L.","species","Plantae","alien","invasive","present","North Macedonia","MKD","Acer negundo","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]"
"Myocastor coypus (Molina, 1782)","species","Animalia","alien","null","present","North Macedonia","MKD","Myocastor coypus","Animalia","Chordata","Mammalia","Rodentia","Myocastoridae","[""terrestrial"",""freshwater""]"
"Mus musculus Linnaeus, 1758","species","Animalia","alien","null","present","North Macedonia","MKD","Mus musculus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Cryphonectria parasitica (Murrill) M.E.Barr","species","Fungi","alien","null","present","North Macedonia","MKD","Cryphonectria parasitica","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Cryphonectriaceae","[""host""]"
"Amaranthus spinosus L.","species","Plantae","alien","null","present","North Macedonia","MKD","Amaranthus spinosus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Fallopia japonica (Houtt.) Ronse Decraene","species","Plantae","alien","null","present","North Macedonia","MKD","Reynoutria japonica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial"",""freshwater""]"
"Solanum elaeagnifolium Cav.","species","Plantae","alien","invasive","present","North Macedonia","MKD","Solanum elaeagnifolium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Sisyrinchium angustifolium Mill.","species","Plantae","alien","null","present","North Macedonia","MKD","Sisyrinchium angustifolium","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]"
"Gleditsia triacanthos L.","species","Plantae","alien","null","present","North Macedonia","MKD","Gleditsia triacanthos","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Galinsoga parviflora Cav.","species","Plantae","alien","null","present","North Macedonia","MKD","Galinsoga parviflora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Amaranthus deflexus L.","species","Plantae","alien","null","present","North Macedonia","MKD","Amaranthus deflexus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Ovis aries Linnaeus, 1758","species","Animalia","alien","null","present","North Macedonia","MKD","Ovis aries","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","[""terrestrial""]"
"Robinia pseudoacacia L.","species","Plantae","alien","invasive","present","North Macedonia","MKD","Robinia pseudoacacia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Erigeron annuus var. annuus","variety","Plantae","alien","null","present","North Macedonia","MKD","Erigeron annuus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Sporobolus indicus (L.) R.Br.","species","Plantae","alien","null","present","North Macedonia","MKD","Sporobolus indicus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
