"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Ranunculus acris subsp. friesianus (Jordan) Syme","subspecies","Plantae","alien","null","present","Norway","NOR","Ranunculus acris","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","[""terrestrial""]"
"Telmatogeton japonicus Tokunaga, 1933","species","Animalia","alien","null","present","Norway","NOR","Telmatogeton japonicus","Animalia","Arthropoda","Insecta","Diptera","Chironomidae","[""marine""]"
"Cotoneaster cashmiriensis G.Klotz","species","Plantae","alien","null","present","Norway","NOR","Cotoneaster cashmiriensis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Glomerella acutata Guerber & J.C.Correll","species","Fungi","alien","null","present","Norway","NOR","Colletotrichum acutatum","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","[""host""]"
"Phyteuma spicatum var. caeruleum Gremli, 1881","variety","Plantae","alien","null","present","Norway","NOR","Phyteuma spicatum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Campanulaceae","[""terrestrial""]"
"Saxifraga rotundifolia L.","species","Plantae","alien","null","present","Norway","NOR","Saxifraga rotundifolia","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Saxifragaceae","[""terrestrial""]"
"Celastrus orbiculatus C.P.Thunberg ex A.Murray","species","Plantae","alien","null","present","Norway","NOR","Celastrus orbiculatus","Plantae","Tracheophyta","Magnoliopsida","Celastrales","Celastraceae","[""terrestrial""]"
"Bambara contorta (Dybas, 1966)","species","Animalia","alien","null","present","Norway","NOR","Bambara contorta","Animalia","Arthropoda","Insecta","Coleoptera","Ptiliidae","[""terrestrial""]"
"Camelostrongylus mentulatus (Railliet & Henry, 1909)","species","Animalia","alien","null","present","Norway","NOR","Camelostrongylus mentulatus","Animalia","Nematoda","Secernentea","Strongylida","Trichostrongylidae","[""terrestrial""]"
"Lyctocoris campestris (Fabricius, 1794)","species","Animalia","alien","null","present","Norway","NOR","Lyctocoris campestris","Animalia","Arthropoda","Insecta","Hemiptera","Anthocoridae","[""host""]"
"Erythronium dens-canis L.","species","Plantae","alien","null","present","Norway","NOR","Erythronium dens-canis","Plantae","Tracheophyta","Liliopsida","Liliales","Liliaceae","[""terrestrial""]"
