"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Dinophysis acuminata Claparède & Lachmann","species","Chromista","cryptogenic|uncertain","null","present","Oman","OMN","Dinophysis acuminata","Chromista","Myzozoa","Dinophyceae","Dinophysiales","Dinophysiaceae","[""marine""]"
"Albizia lebbeck (L.) Benth.","species","Plantae","alien","null","present","Oman","OMN","Albizia lebbeck","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Cerataulina pelagica (P.T.Cleve) Hendey, 1937","species","Chromista","cryptogenic|uncertain","null","present","Oman","OMN","Cerataulina pelagica","Chromista","Ochrophyta","Bacillariophyceae","Hemiaulales","Hemiaulaceae","[""marine""]"
"Pontederia crassipes Mart.","species","Plantae","alien","null","present","Oman","OMN","Pontederia crassipes","Plantae","Tracheophyta","Liliopsida","Comminales","Pontederiaceae","[""terrestrial"",""freshwater""]"
"Pseudo-nitzschia delicatissima (Cleve) Heiden","species","Chromista","cryptogenic|uncertain","null","present","Oman","OMN","Nitzschia delicatissima","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","[""marine""]"
"Psittacula eupatria (Linnaeus, 1766)","species","Animalia","alien","null","present","Oman","OMN","Psittacula eupatria","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","[""terrestrial""]"
"Caesalpinia pulcherrima (L.) Sw.","species","Plantae","alien","null","present","Oman","OMN","Caesalpinia pulcherrima","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Akashiwo sanguinea (K.Hirasaka) Gert Hansen & Moestrup","species","Chromista","cryptogenic|uncertain","null","present","Oman","OMN","Akashiwo sanguinea","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","[""marine""]"
"Poecilia latipinna (Lesueur, 1821)","species","Animalia","alien","null","present","Oman","OMN","Poecilia latipinna","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish"",""marine""]"
"Nicandra physalodes (L.) Gaertn.","species","Plantae","alien","invasive","present","Oman","OMN","Nicandra physalodes","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Amphibalanus venustus (Darwin, 1854)","species","Animalia","alien","null","present","Oman","OMN","Amphibalanus venustus","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","[""marine""]"
"Hemidactylus leschenaultii Duméril & Bibron, 1836","species","Animalia","alien","null","present","Oman","OMN","Hemidactylus leschenaultii","Animalia","Chordata","Reptilia","Squamata","Gekkonidae","[""terrestrial""]"
"Dinophysis caudata Saville-Kent","species","Chromista","cryptogenic|uncertain","null","present","Oman","OMN","Dinophysis caudata","Chromista","Myzozoa","Dinophyceae","Dinophysiales","Dinophysiaceae","[""marine""]"
"Pseudo-nitzschia seriata (Cleve) H.Perag.","species","Chromista","cryptogenic|uncertain","null","present","Oman","OMN","Pseudo-nitzschia seriata","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","[""marine""]"
"Leptocylindrus minimus Gran, 1915","species","Chromista","cryptogenic|uncertain","null","present","Oman","OMN","Leptocylindrus minimus","Chromista","Ochrophyta","Bacillariophyceae","Leptocylindrales","Leptocylindraceae","[""marine""]"
"Scrippsiella trochoidea (Stein) Loeblich Iii, 1976","species","Chromista","cryptogenic|uncertain","null","present","Oman","OMN","Scrippsiella trochoidea","Chromista","Myzozoa","Dinophyceae","Peridiniales","Peridiniaceae","[""marine""]"
"Pycnonotus leucotis (Gould, 1836)","species","Animalia","alien","null","present","Oman","OMN","Pycnonotus leucotis","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","[""terrestrial""]"
"Megabalanus coccopoma (Darwin, 1854)","species","Animalia","alien","null","present","Oman","OMN","Megabalanus coccopoma","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","[""marine""]"
"Lingulodinium polyedra (F.Stein) J.D.Dodge","species","Chromista","cryptogenic|uncertain","null","present","Oman","OMN","Lingulodinium polyedra","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Gonyaulacaceae","[""marine""]"
"Phalacroma mitra F.Schütt","species","Chromista","cryptogenic|uncertain","null","present","Oman","OMN","Phalacroma mitra","Chromista","Myzozoa","Dinophyceae","Dinophysiales","Dinophysiaceae","[""marine""]"
"Cascabela thevetia (L.) Lippold","species","Plantae","alien","null","present","Oman","OMN","Cascabela thevetia","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]"
"Xanthium strumarium L.","species","Plantae","alien","null","present","Oman","OMN","Xanthium strumarium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Sargassum muticum (Yendo) Fensholt","species","Chromista","alien","null","present","Oman","OMN","Sargassum muticum","Chromista","Ochrophyta","Phaeophyceae","Fucales","Sargassaceae","[""marine""]"
"Alexandrium cohorticula (Balech) Balech, 1985","species","Chromista","cryptogenic|uncertain","null","present","Oman","OMN","Alexandrium cohorticula","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Gonyaulacaceae","[""marine""]"
"Pycnonotus cafer (Linnaeus, 1766)","species","Animalia","alien","null","present","Oman","OMN","Pycnonotus cafer","Animalia","Chordata","Aves","Passeriformes","Pycnonotidae","[""terrestrial""]"
"Parthenium hystenophorus L.","species","Plantae","alien","invasive","present","Oman","OMN","Parthenium hystenophorus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Calotes versicolor (Daudin, 1802)","species","Animalia","alien","null","present","Oman","OMN","Calotes versicolor","Animalia","Chordata","Reptilia","Squamata","Agamidae","[""terrestrial""]"
"Cylindrotheca closterium (Ehrenb.) J.C.Lewin & Reimann","species","Chromista","cryptogenic|uncertain","null","present","Oman","OMN","Cylindrotheca closterium","Chromista","Ochrophyta","Bacillariophyceae","Bacillariales","Bacillariaceae","[""marine""]"
"Cochlodinium polykrikoides Margalef","species","Chromista","cryptogenic|uncertain","invasive","present","Oman","OMN","Cochlodinium polykrikoides","Chromista","Myzozoa","Dinophyceae","Gymnodiniales","Gymnodiniaceae","[""marine""]"
