"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Parthenium hysterophorus L.","species","Plantae","alien","invasive","present","Pakistan","PAK","Parthenium hysterophorus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Oncorhynchus mykiss (Walbaum, 1792)","species","Animalia","alien","null","present","Pakistan","PAK","Oncorhynchus mykiss","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Paspalum purpureum Ruiz & Pav.","species","Plantae","alien","null","present","Pakistan","PAK","Paspalum racemosum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Oxalis corniculata L.","species","Plantae","alien","null","present","Pakistan","PAK","Oxalis corniculata","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]"
"Malvastrum coromandelianum (L.) Garcke","species","Plantae","alien","null","present","Pakistan","PAK","Malvastrum coromandelianum","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Heliotropium curassavicum L.","species","Plantae","alien","null","present","Pakistan","PAK","Heliotropium curassavicum","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Heliotropiaceae","[""terrestrial""]"
"Paspalum paspalodes (Michx.) Scribn.","species","Plantae","alien","null","present","Pakistan","PAK","Paspalum distichum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Verbena officinalis L.","species","Plantae","alien","null","present","Pakistan","PAK","Verbena officinalis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Heteropogon contortus Beauv. ex Roem. & Schult.","species","Plantae","alien","null","present","Pakistan","PAK","Heteropogon contortus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Melilotus indicus (L.) All.","species","Plantae","alien","null","present","Pakistan","PAK","Melilotus indicus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Ranunculus sceleratus L.","species","Plantae","alien","null","present","Pakistan","PAK","Ranunculus sceleratus","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Ranunculaceae","[""terrestrial""]"
"Chloris barbata Sw.","species","Plantae","alien","null","present","Pakistan","PAK","Chloris barbata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Stellaria media (L.) Vill.","species","Plantae","alien","null","present","Pakistan","PAK","Stellaria media","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Cyprinus carpio nudus","species","Animalia","alien","invasive","present","Pakistan","PAK","Cyprinus carpio","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater"",""brackish""]"
"Alternanthera pungens Kunth","species","Plantae","alien","invasive","present","Pakistan","PAK","Alternanthera pungens","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Euphorbia serpens Kunth","species","Plantae","alien","null","present","Pakistan","PAK","Euphorbia serpens","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Polypogon monspeliensis Desf.","species","Plantae","alien","null","present","Pakistan","PAK","Polypogon monspeliensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Cotula australis (Spreng.) Hook.f.","species","Plantae","alien","null","present","Pakistan","PAK","Cotula australis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Gnaphalium pensylvanicum Willd.","species","Plantae","alien","null","present","Pakistan","PAK","Gamochaeta pensylvanica","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Xanthium strumarium L.","species","Plantae","alien","invasive","present","Pakistan","PAK","Xanthium strumarium","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Corchorus aestuans L.","species","Plantae","alien","null","present","Pakistan","PAK","Corchorus aestuans","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Fimbristylis cymosa R.Br.","species","Plantae","alien","null","present","Pakistan","PAK","Fimbristylis cymosa","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Rumex dentatus L.","species","Plantae","alien","null","present","Pakistan","PAK","Rumex dentatus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Sida cordata (Burm.f.) van Borss.Waalk.","species","Plantae","alien","null","present","Pakistan","PAK","Sida cordata","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Rumex crispus L.","species","Plantae","alien","null","present","Pakistan","PAK","Rumex crispus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Passiflora suberosa L.","species","Plantae","alien","null","present","Pakistan","PAK","Passiflora suberosa","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Passifloraceae","[""terrestrial""]"
"Rumex conglomeratus Murray","species","Plantae","alien","null","present","Pakistan","PAK","Rumex conglomeratus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Conyza bonariensis (L.) Cronq.","species","Plantae","alien","invasive","present","Pakistan","PAK","Erigeron bonariensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Arundo donax L.","species","Plantae","alien","null","present","Pakistan","PAK","Arundo donax","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
