"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Nopalea cochenillifera (L.) Salm-Dyck","species","Plantae","alien","null","present","Palau","PLW","Nopalea cochenillifera","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Cactaceae","[""terrestrial""]",
"Eucalyptus globulus Labill.","species","Plantae","alien","null","present","Palau","PLW","Eucalyptus globulus","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Eragrostis amabilis (L.) Wight & Arn.","species","Plantae","alien","null","present","Palau","PLW","Eragrostis amabilis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Bixa orellana L.","species","Plantae","alien","null","present","Palau","PLW","Bixa orellana","Plantae","Tracheophyta","Magnoliopsida","Malvales","Bixaceae","[""terrestrial""]",
"Sesbania grandiflora (L.) Pers.","species","Plantae","alien","null","present","Palau","PLW","Sesbania grandiflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Coffea liberica W.Bull","species","Plantae","alien","null","present","Palau","PLW","Coffea liberica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Mikania micrantha Kunth","species","Plantae","alien","invasive","present","Palau","PLW","Mikania micrantha","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Oxalis barrelieri L.","species","Plantae","alien","invasive","present","Palau","PLW","Oxalis barrelieri","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]",
"Pratylenchus coffeae (Zimmermann, 1898)","species","Animalia","alien","null","present","Palau","PLW","Pratylenchus coffeae","Animalia","Nematoda","Secernentea","Tylenchida","Hoplolaimidae","[""host""]",
"Corchorus aestuans L.","species","Plantae","alien","invasive","present","Palau","PLW","Corchorus aestuans","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Annona muricata L.","species","Plantae","alien","null","present","Palau","PLW","Annona muricata","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Annonaceae","[""terrestrial""]",
"Catharanthus roseus (L.) G.Don","species","Plantae","alien","null","present","Palau","PLW","Catharanthus roseus","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Stachytarpheta cayennensis (Rich.) Vahl","species","Plantae","alien","invasive","present","Palau","PLW","Stachytarpheta cayennensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Allamanda blanchetii A.DC.","species","Plantae","alien","null","present","Palau","PLW","Allamanda blanchetii","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Crassocephalum crepidioides (Benth.) S.Moore","species","Plantae","alien","invasive","present","Palau","PLW","Crassocephalum crepidioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Tapinoma melanocephalum (Fabricius, 1793)","species","Animalia","alien","invasive","present","Palau","PLW","Tapinoma melanocephalum","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]",
"Manilkara zapota (L.) Royen","species","Plantae","alien","null","present","Palau","PLW","Manilkara zapota","Plantae","Tracheophyta","Magnoliopsida","Ericales","Sapotaceae","[""terrestrial""]",
"Basella alba L.","species","Plantae","alien","invasive","present","Palau","PLW","Basella alba","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Basellaceae","[""terrestrial""]",
"Canna indica L.","species","Plantae","alien","invasive","present","Palau","PLW","Canna indica","Plantae","Tracheophyta","Liliopsida","Zingiberales","Cannaceae","[""terrestrial""]",
