"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Lonchura malabarica (Linnaeus, 1758)","species","Animalia","alien","null","present","Palestine, State of","PSE","Euodice malabarica","Animalia","Chordata","Aves","Passeriformes","Estrildidae","[""terrestrial""]"
"Setaria verticillata (L.) P.Beauv.","species","Plantae","alien","null","present","Palestine, State of","PSE","Setaria verticillata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Solanum elaeagnifolium Cav.","species","Plantae","alien","null","present","Palestine, State of","PSE","Solanum elaeagnifolium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Paratrechina longicornis (Latreille, 1802)","species","Animalia","alien","null","present","Palestine, State of","PSE","Paratrechina longicornis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Erigeron bonariensis L.","species","Plantae","alien","null","present","Palestine, State of","PSE","Erigeron bonariensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Oxalis pes-caprae L.","species","Plantae","alien","null","present","Palestine, State of","PSE","Oxalis pes-caprae","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]"
"Prosopis juliflora (Sw.) DC.","species","Plantae","alien","null","present","Palestine, State of","PSE","Prosopis juliflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Myocastor coypus (Molina, 1782)","species","Animalia","alien","null","present","Palestine, State of","PSE","Myocastor coypus","Animalia","Chordata","Mammalia","Rodentia","Myocastoridae","[""terrestrial"",""freshwater""]"
"Acridotheres tristis (Linnaeus, 1766)","species","Animalia","alien","null","present","Palestine, State of","PSE","Acridotheres tristis","Animalia","Chordata","Aves","Passeriformes","Sturnidae","[""terrestrial""]"
"Ricinus communis L.","species","Plantae","alien","null","present","Palestine, State of","PSE","Ricinus communis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Ailanthus altissima Swingle","species","Plantae","alien","null","present","Palestine, State of","PSE","Ailanthus altissima","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Simaroubaceae","[""terrestrial""]"
"Eichhornia crassipes Solms","species","Plantae","alien","null","present","Palestine, State of","PSE","Eichhornia crassipes","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]"
"Ambrosia confertiflora DC.","species","Plantae","alien","null","present","Palestine, State of","PSE","Ambrosia confertiflora","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Sarcopoterium spinosum Spach","species","Plantae","alien","null","present","Palestine, State of","PSE","Sarcopoterium spinosum","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Nicotiana glauca Graham","species","Plantae","alien","null","present","Palestine, State of","PSE","Nicotiana glauca","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Psittacula krameri (Scopoli, 1769)","species","Animalia","alien","null","present","Palestine, State of","PSE","Psittacula krameri","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","[""terrestrial""]"
