"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Mirabilis jalapa L.","species","Plantae","alien","null","present","Panama","PAN","Mirabilis jalapa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]"
"Polyandrocarpa zorritensis (Van Name, 1931)","species","Animalia","cryptogenic|uncertain","null","present","Panama","PAN","Polyandrocarpa zorritensis","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","[""marine""]"
"Bentinckia nicobarica Becc.","species","Plantae","alien","null","present","Panama","PAN","Bentinckia nicobarica","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]"
"Cleome rutidosperma DC.","species","Plantae","alien","null","present","Panama","PAN","Sieruela rutidosperma","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Cleomaceae","[""terrestrial""]"
"Thunbergia alata Bojer ex Sims","species","Plantae","alien","null","present","Panama","PAN","Thunbergia alata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]"
"Jasminum multiflorum Andrews","species","Plantae","alien","null","present","Panama","PAN","Jasminum multiflorum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]"
"Roystonea regia O.F.Cook","species","Plantae","alien","invasive","present","Panama","PAN","Roystonea regia","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]"
"Ictiobus cyprinellus (Valenciennes, 1844)","species","Animalia","alien","null","present","Panama","PAN","Ictiobus cyprinellus","Animalia","Chordata","Actinopterygii","Cypriniformes","Catostomidae","[""freshwater""]"
"Butis koilomatodon (Bleeker, 1849)","species","Animalia","alien","null","present","Panama","PAN","Butis koilomatodon","Animalia","Chordata","Actinopterygii","Perciformes","Eleotridae","[""freshwater"",""brackish"",""marine""]"
"Azadirachta indica A.Juss.","species","Plantae","alien","null","present","Panama","PAN","Azadirachta indica","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Sanchezia speciosa Leonard","species","Plantae","alien","null","present","Panama","PAN","Sanchezia speciosa","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]"
"Hyparrhenia rufa (Nees) Stapf","species","Plantae","alien","null","present","Panama","PAN","Hyparrhenia rufa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Colossoma macropomum (Cuvier, 1816)","species","Animalia","alien","null","present","Panama","PAN","Colossoma macropomum","Animalia","Chordata","Actinopterygii","Characiformes","Serrasalmidae","[""freshwater""]"
"Eriobotrya japonica (Thunb.) Lindl.","species","Plantae","alien","null","present","Panama","PAN","Eriobotrya japonica","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Ischaemum rugosum Salisb.","species","Plantae","alien","null","present","Panama","PAN","Ischaemum rugosum","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Areca triandra Roxb. ex Buch.-Ham.","species","Plantae","alien","invasive","present","Panama","PAN","Areca triandra","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]"
"Melinis minutiflora P.Beauv.","species","Plantae","alien","null","present","Panama","PAN","Melinis minutiflora","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Cirrhinus molitorella (Valenciennes, 1844)","species","Animalia","alien","null","present","Panama","PAN","Cirrhinus molitorella","Animalia","Chordata","Actinopterygii","Cypriniformes","Cyprinidae","[""freshwater""]"
"Botrylloides nigrum Herdman, 1886","species","Animalia","cryptogenic|uncertain","null","present","Panama","PAN","Botrylloides niger","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","[""marine""]"
"Ixora finlaysoniana Wall. & G.Don","species","Plantae","alien","null","present","Panama","PAN","Ixora finlaysoniana","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]"
"Thunbergia grandiflora Roxb.","species","Plantae","alien","invasive","present","Panama","PAN","Thunbergia grandiflora","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]"
"Pennisetum purpureum Schumach.","species","Plantae","alien","null","present","Panama","PAN","Cenchrus purpureus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Bambusa bambos (L.) Voss","species","Plantae","alien","null","present","Panama","PAN","Bambusa bambos","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
