"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Tecoma stans (L.) Kunth","species","Plantae","alien","null","present","Papua New Guinea","PNG","Tecoma stans","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]",
"Echinochloa stagnina P.Beauv.","species","Plantae","alien","invasive","present","Papua New Guinea","PNG","Echinochloa stagnina","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]",
"Grevillea robusta A.Cunn. ex R.Br.","species","Plantae","alien","null","present","Papua New Guinea","PNG","Grevillea robusta","Plantae","Tracheophyta","Magnoliopsida","Proteales","Proteaceae","[""terrestrial""]",
"Croton hirtus L'Hér.","species","Plantae","alien","invasive","present","Papua New Guinea","PNG","Croton hirtus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Abelmoschus moschatus Medik.","species","Plantae","alien","null","present","Papua New Guinea","PNG","Abelmoschus moschatus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Angiopteris evecta (G.Forst.) Hoffm.","species","Plantae","alien","null","present","Papua New Guinea","PNG","Angiopteris evecta","Plantae","Tracheophyta","Polypodiopsida","Marattiales","Marattiaceae","[""terrestrial""]",
"Sesbania grandiflora (L.) Pers.","species","Plantae","alien","null","present","Papua New Guinea","PNG","Sesbania grandiflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Acacia mearnsii De Wild.","species","Plantae","alien","null","present","Papua New Guinea","PNG","Acacia mearnsii","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Calotropis gigantea (L.) W.T.Aiton","species","Plantae","alien","null","present","Papua New Guinea","PNG","Calotropis gigantea","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Lissachatina fulica (Férussac, 1821)","species","Animalia","alien","invasive","present","Papua New Guinea","PNG","Lissachatina fulica","Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","[""terrestrial""]",
