"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Polypogon monspeliensis Desf.","species","Plantae","alien","null","present","Paraguay","PRY","Polypogon monspeliensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Cocos nucifera L.","species","Plantae","alien","null","present","Paraguay","PRY","Cocos nucifera","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]"
"Anthonomus grandis Boheman, 1843","species","Animalia","alien","null","present","Paraguay","PRY","Anthonomus grandis","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Achatina fulica (Férussac, 1821)","species","Animalia","alien","invasive","present","Paraguay","PRY","Lissachatina fulica","Animalia","Mollusca","Gastropoda","Stylommatophora","Achatinidae","[""terrestrial""]"
"Thunbergia alata Sims","species","Plantae","alien","invasive","present","Paraguay","PRY","Thunbergia alata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Acanthaceae","[""terrestrial""]"
"Albizia lebbeck (L.) Benth.","species","Plantae","alien","null","present","Paraguay","PRY","Albizia lebbeck","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Foeniculum vulgare Mill.","species","Plantae","alien","null","present","Paraguay","PRY","Foeniculum vulgare","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Aedes albopictus Skuse, 1894","species","Animalia","alien","null","present","Paraguay","PRY","Aedes albopictus","Animalia","Arthropoda","Insecta","Diptera","Culicidae","[""terrestrial"",""freshwater""]"
"Panicum repens L.","species","Plantae","alien","null","present","Paraguay","PRY","Panicum repens","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Oreochromis mossambicus (Peters, 1852)","species","Animalia","alien","null","present","Paraguay","PRY","Oreochromis mossambicus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Ficus religiosa L.","species","Plantae","alien","null","present","Paraguay","PRY","Ficus religiosa","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Stachys arvensis L.","species","Plantae","alien","null","present","Paraguay","PRY","Stachys arvensis","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Sorghum halepense Pers.","species","Plantae","alien","null","present","Paraguay","PRY","Sorghum halepense","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
