"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Euphorbia peplus L.","species","Plantae","alien","null","present","Peru","PER","Euphorbia peplus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Equus asinus Linnaeus, 1758","species","Animalia","alien","invasive","present","Peru","PER","Equus asinus","Animalia","Chordata","Mammalia","Perissodactyla","Equidae","[""terrestrial""]"
"Raphanus raphanistrum L.","species","Plantae","alien","null","present","Peru","PER","Raphanus raphanistrum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Rumex obtusifolius L.","species","Plantae","alien","invasive","present","Peru","PER","Rumex obtusifolius","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Crocosmia aurea (Hook.) Planch.","species","Plantae","alien","null","present","Peru","PER","Crocosmia aurea","Plantae","Tracheophyta","Liliopsida","Asparagales","Iridaceae","[""terrestrial""]"
"Rottboellia cochinchinensis (Lour.) Clayton","species","Plantae","alien","invasive","present","Peru","PER","Rottboellia cochinchinensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Conticribra weissflogii (Grunow) K.Stachura-Suchoples & D.M.Williams","species","Chromista","alien","null","present","Peru","PER","Conticribra weissflogii","Chromista","Ochrophyta","Bacillariophyceae","Thalassiosirales","Thalassiosiraceae","[""freshwater"",""marine""]"
"Ciona intestinalis (Linnaeus, 1767)","species","Animalia","alien","null","present","Peru","PER","Ciona intestinalis","Animalia","Chordata","Ascidiacea","Phlebobranchia","Cionidae","[""marine""]"
"Asphodelus tenuifolius Cav.","species","Plantae","alien","null","present","Peru","PER","Asphodelus tenuifolius","Plantae","Tracheophyta","Liliopsida","Asparagales","Asphodelaceae","[""terrestrial""]"
"Sicalis flaveola (Linnaeus, 1766)","species","Animalia","alien","null","present","Peru","PER","Sicalis flaveola","Animalia","Chordata","Aves","Passeriformes","Thraupidae","[""terrestrial""]"
"Echinochloa crus-galli (L.) P.Beauv.","species","Plantae","alien","null","present","Peru","PER","Echinochloa crus-galli","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Amphibalanus amphitrite Darwin, 1854","species","Animalia","alien","null","present","Peru","PER","Amphibalanus amphitrite","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","[""marine""]"
"Melopsittacus undulatus (Shaw, 1805)","species","Animalia","alien","null","present","Peru","PER","Melopsittacus undulatus","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","[""terrestrial""]"
