"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Bougainvillea spectabilis Willd.","species","Plantae","alien","null","present","Philippines","PHL","Bougainvillea spectabilis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]",
"Euphorbia heterophylla L.","species","Plantae","alien","null","present","Philippines","PHL","Euphorbia heterophylla","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Oryza sativa L.","species","Plantae","alien","null","present","Philippines","PHL","Oryza sativa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]",
"Osphronemus gouramy Lacepède, 1801","species","Animalia","alien","null","present","Philippines","PHL","Osphronemus goramy","Animalia","Chordata","Actinopterygii","Perciformes","Osphronemidae","[""freshwater"",""brackish""]",
"Trachemys scripta elegans (Wied, 1838)","subspecies","Animalia","alien","null","present","Philippines","PHL","Trachemys scripta","Animalia","Chordata","Reptilia","Testudines","Emydidae","[""terrestrial"",""freshwater""]",
"Hedychium coronarium J.Koenig","species","Plantae","alien","null","present","Philippines","PHL","Hedychium coronarium","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]",
"Coleus blumei Benth.","species","Plantae","alien","null","present","Philippines","PHL","Coleus scutellarioides","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Viola odorata L.","species","Plantae","alien","null","present","Philippines","PHL","Viola odorata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Violaceae","[""terrestrial""]",
"Acoma confusa Van Dyke, 1928","species","Animalia","alien","null","present","Philippines","PHL","Acoma confusa","Animalia","Arthropoda","Insecta","Coleoptera","Pleocomidae","[""terrestrial""]",
"Zornia diphylla (L.) Pers.","species","Plantae","alien","null","present","Philippines","PHL","Zornia apiculata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Bauhinia monandra Kurz","species","Plantae","alien","null","present","Philippines","PHL","Bauhinia monandra","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Alexandrium minutum Halim","species","Chromista","alien","invasive","present","Philippines","PHL","Alexandrium minutum","Chromista","Myzozoa","Dinophyceae","Gonyaulacales","Gonyaulacaceae","[""marine""]",
"Lantana camara L.","species","Plantae","alien","invasive","present","Philippines","PHL","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]",
"Yucca aloifolia L.","species","Plantae","alien","null","present","Philippines","PHL","Yucca aloifolia","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]",
"Oreodoxa regia Kunth","species","Plantae","alien","null","present","Philippines","PHL","Roystonea regia","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]",
"Ricinus communis L.","species","Plantae","alien","null","present","Philippines","PHL","Ricinus communis","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Corchorus capsularis L.","species","Plantae","alien","null","present","Philippines","PHL","Corchorus capsularis","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Trichogaster pectoralis (Regan, 1910)","species","Animalia","alien","null","present","Philippines","PHL","Trichopodus pectoralis","Animalia","Chordata","Actinopterygii","Perciformes","Osphronemidae","[""freshwater""]",
"Sida cordifolia L.","species","Plantae","alien","null","present","Philippines","PHL","Sida cordifolia","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Ictalurus punctatus (Rafinesque, 1818)","species","Animalia","cryptogenic|uncertain","null","present","Philippines","PHL","Ictalurus punctatus","Animalia","Chordata","Actinopterygii","Siluriformes","Ictaluridae","[""freshwater""]",
"Bixa orellana L.","species","Plantae","alien","null","present","Philippines","PHL","Bixa orellana","Plantae","Tracheophyta","Magnoliopsida","Malvales","Bixaceae","[""terrestrial""]",
"Gardenia florida L.","species","Plantae","alien","null","present","Philippines","PHL","Gardenia jasminoides","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]",
"Indigofera suffruticosa Mill.","species","Plantae","alien","null","present","Philippines","PHL","Indigofera suffruticosa","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Tagetes erecta L.","species","Plantae","alien","null","present","Philippines","PHL","Tagetes erecta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Cichlasoma urophthalmum (Günther, 1862)","species","Animalia","alien","null","present","Philippines","PHL","Mayaheros urophthalmus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]",
"Litopenaeus stylirostris (Stimpson, 1874)","species","Animalia","alien","null","present","Philippines","PHL","Litopenaeus stylirostris","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","[""brackish"",""marine""]",
"Nicotiana tabacum L.","species","Plantae","alien","null","present","Philippines","PHL","Nicotiana tabacum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]",
"Pachyrrhizus erosus Urb.","species","Plantae","alien","null","present","Philippines","PHL","Pachyrrhizus erosus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]",
"Fundulus heteroclitus (Linnaeus, 1766)","species","Animalia","alien","null","present","Philippines","PHL","Fundulus heteroclitus","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Fundulidae","[""freshwater"",""brackish"",""marine""]",
"Manihot utilissima Pohl","species","Plantae","alien","null","present","Philippines","PHL","Manihot esculenta","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Quamoclit pennata (Desr.) Bojer","species","Plantae","alien","null","present","Philippines","PHL","Ipomoea quamoclit","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]",
"Muntingia calabura L.","species","Plantae","alien","null","present","Philippines","PHL","Muntingia calabura","Plantae","Tracheophyta","Magnoliopsida","Malvales","Muntingiaceae","[""terrestrial""]",
