"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Lehmannia valentiana (A.Férussac, 1822)","species","Animalia","alien","null","present","Poland","POL","Ambigolimax valentianus","Animalia","Mollusca","Gastropoda","Stylommatophora","Limacidae","[""terrestrial""]"
"Rhagoletis cingulata (Loew, 1862)","species","Animalia","alien","null","present","Poland","POL","Rhagoletis cingulata","Animalia","Arthropoda","Insecta","Diptera","Tephritidae","[""terrestrial""]"
"Physocarpus opulifolius (L.) Maxim.","species","Plantae","alien","null","present","Poland","POL","Physocarpus opulifolius","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Boletus projectellus (Murrill) Murrill, 1938","species","Fungi","alien","null","present","Poland","POL","Aureoboletus projectellus","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","[""host""]"
"Lathyrus pannonicus Garcke","species","Plantae","alien","null","present","Poland","POL","Lathyrus pannonicus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Bromus inermis Leyss.","species","Plantae","cryptogenic|uncertain","null","present","Poland","POL","Bromus inermis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Henia vesuviana Newport, 1845","species","Animalia","alien","null","present","Poland","POL","Henia vesuviana","Animalia","Arthropoda","Chilopoda","Geophilomorpha","Dignathodontidae","[""terrestrial""]"
"Anacyclus officinarum Hayne","species","Plantae","alien","null","present","Poland","POL","Anacyclus pyrethrum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Ambrosia polystachya DC.","species","Plantae","alien","invasive","present","Poland","POL","Ambrosia polystachya","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Urtica cannabina L.","species","Plantae","alien","null","present","Poland","POL","Urtica cannabina","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","[""terrestrial""]"
"Pseudococcus maritimus (Ehrhorn, 1900)","species","Animalia","alien","null","present","Poland","POL","Pseudococcus maritimus","Animalia","Arthropoda","Insecta","Hemiptera","Pseudococcidae","[""host""]"
"Trichocerca simoneae De Smet, 1990","species","Animalia","alien","null","present","Poland","POL","Trichocerca simoneae","Animalia","Rotifera","Eurotatoria","Ploima","Trichocercidae","[""host""]"
"Rosa carolina L.","species","Plantae","alien","null","present","Poland","POL","Rosa carolina","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
