"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Aichryson dichotomum (DC.) Webb & Berth.","species","Plantae","alien","null","present","Portugal","PRT","Aichryson laxum","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]"
"Cucurbita moschata Duchesne ex Poir.","species","Plantae","alien","null","present","Portugal","PRT","Cucurbita moschata","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]"
"Dysphania pumilio (R.Br.) Mosyakin & Clemants","species","Plantae","alien","null","present","Portugal","PRT","Dysphania pumilio","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Chenopodiaceae","[""terrestrial""]"
"Lilaeopsis attenuata","species","Plantae","alien","null","present","Portugal","PRT","Lilaeopsis attenuata","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Mycale senegalensis Lévi, 1952","species","Animalia","alien","null","present","Portugal","PRT","Mycale senegalensis","Animalia","Porifera","Demospongiae","Poecilosclerida","Mycalidae","[""marine""]"
"Ammannia coccinea Rottb.","species","Plantae","alien","null","present","Portugal","PRT","Ammannia coccinea","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Lythraceae","[""terrestrial""]"
"Oncorhynchus mykiss (Walbaum, 1792)","species","Animalia","alien","null","present","Portugal","PRT","Oncorhynchus mykiss","Animalia","Chordata","Actinopterygii","Salmoniformes","Salmonidae","[""freshwater"",""brackish"",""marine""]"
"Persicaria minor Opiz","species","Plantae","alien","null","present","Portugal","PRT","Persicaria minor","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Drosanthemum floribundum Schwantes","species","Plantae","alien","null","present","Portugal","PRT","Drosanthemum floribundum","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","[""terrestrial""]"
"Amathia verticillata","species","Animalia","alien","null","present","Portugal","PRT","Amathia verticillata","Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Vesiculariidae","[""terrestrial"",""freshwater""]"
"Eryngium pandanifolium Cham. & Schltdl.","species","Plantae","alien","invasive","present","Portugal","PRT","Eryngium pandanifolium","Plantae","Tracheophyta","Magnoliopsida","Apiales","Apiaceae","[""terrestrial""]"
"Eleusine indica (L.) Gaertn.","species","Plantae","alien","null","present","Portugal","PRT","Eleusine indica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Perophora viridis Verrill, 1871","species","Animalia","alien","null","present","Portugal","PRT","Perophora viridis","Animalia","Chordata","Ascidiacea","Phlebobranchia","Perophoridae","[""marine""]"
"Solanum mauritianum Scop.","species","Plantae","alien","null","present","Portugal","PRT","Solanum mauritianum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
