"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Dodonaea viscosa Jacq.","species","Plantae","alien","null","present","Qatar","QAT","Dodonaea viscosa","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Sapindaceae","[""terrestrial""]"
"Trigonella glabra Thunb.","species","Plantae","alien","null","present","Qatar","QAT","Trigonella glabra","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Strumigenys membranifera Emery, 1869","species","Animalia","alien","null","present","Qatar","QAT","Pyramica membranifera","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Flaveria trinervia Mohr","species","Plantae","alien","null","present","Qatar","QAT","Flaveria trinervia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Oxalis pes-caprae L.","species","Plantae","alien","null","present","Qatar","QAT","Oxalis pes-caprae","Plantae","Tracheophyta","Magnoliopsida","Oxalidales","Oxalidaceae","[""terrestrial""]"
"Brassica rapa L.","species","Plantae","alien","null","present","Qatar","QAT","Brassica rapa","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Mollugo cerviana (L.) Ser.","species","Plantae","alien","null","present","Qatar","QAT","Hypertelis cerviana","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Molluginaceae","[""terrestrial""]"
"Phalaris minor Retz.","species","Plantae","alien","null","present","Qatar","QAT","Phalaris minor","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial"",""freshwater""]"
"Abutilon pannosum (G.Forst.) Schltdl.","species","Plantae","alien","null","present","Qatar","QAT","Abutilon pannosum","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Chamaesyce hirta (L.) Millsp.","species","Plantae","alien","null","present","Qatar","QAT","Euphorbia hirta","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
