"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Ascidiella aspersa (Müller, 1776)","species","Animalia","alien","null","present","Republic of Korea","KOR","Ascidiella aspersa","Animalia","Chordata","Ascidiacea","Phlebobranchia","Ascidiidae","[""marine""]"
"Avena fatua L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Avena fatua","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Bantariella bocki (Silén, 1942)","species","Animalia","alien","null","present","Republic of Korea","KOR","Bantariella bocki","Animalia","Bryozoa","Gymnolaemata","Ctenostomatida","Mimosellidae","[""marine""]"
"Pectinatella magnifica (Leidy, 1851)","species","Animalia","alien","null","present","Republic of Korea","KOR","Pectinatella magnifica","Animalia","Bryozoa","Phylactolaemata","Plumatellida","Pectinatellidae","[""freshwater""]"
"Thecodiplosis japonensis Uchida & Inouye, 1955","species","Animalia","alien","invasive","present","Republic of Korea","KOR","Thecodiplosis japonensis","Animalia","Arthropoda","Insecta","Diptera","Cecidomyiidae","[""terrestrial""]"
"Hyphantria cunea (Drury, 1773)","species","Animalia","alien","invasive","present","Republic of Korea","KOR","Hyphantria cunea","Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","[""terrestrial""]"
"Halichondria bowerbanki Burton, 1930","species","Animalia","alien","null","present","Republic of Korea","KOR","Halichondria bowerbanki","Animalia","Porifera","Demospongiae","Suberitida","Halichondriidae","[""marine""]"
"Diplachne fusca (L.) Roem. & Schult.","species","Plantae","alien","null","present","Republic of Korea","KOR","Diplachne fusca","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Rumex obtusifolius L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Rumex obtusifolius","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Myocastor coypus (Molina, 1782)","species","Animalia","alien","invasive","present","Republic of Korea","KOR","Myocastor coypus","Animalia","Chordata","Mammalia","Rodentia","Myocastoridae","[""terrestrial"",""freshwater""]"
"Mytilus galloprovincialis Lamarck, 1819","species","Animalia","alien","null","present","Republic of Korea","KOR","Mytilus galloprovincialis","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","[""marine""]"
"Schizoporella unicornis (Johnston, 1844)","species","Animalia","alien","null","present","Republic of Korea","KOR","Schizoporella unicornis","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Schizoporellidae","[""marine""]"
"Abutilon theophrasti Medik.","species","Plantae","alien","null","present","Republic of Korea","KOR","Abutilon theophrasti","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Amaranthus spinosus L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Amaranthus spinosus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Styela plicata (Lesueur, 1823)","species","Animalia","alien","null","present","Republic of Korea","KOR","Styela plicata","Animalia","Chordata","Ascidiacea","Stolidobranchia","Styelidae","[""marine""]"
"Balanus improvisus Darwin, 1854","species","Animalia","alien","null","present","Republic of Korea","KOR","Balanus improvisus","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","[""marine""]"
"Vespa velutina subsp. nigrithorax Buysson, 1905","subspecies","Animalia","alien","null","present","Republic of Korea","KOR","Vespa velutina","Animalia","Arthropoda","Insecta","Hymenoptera","Vespidae","[""terrestrial""]"
"Malva neglecta Wallr","species","Plantae","alien","null","present","Republic of Korea","KOR","Malva neglecta","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]"
"Crassocephalum crepidioides S.Moore","species","Plantae","alien","null","present","Republic of Korea","KOR","Crassocephalum crepidioides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Ambrosia artemisiifolia var. elatior (L.) Descourt.","variety","Plantae","alien","null","present","Republic of Korea","KOR","Ambrosia artemisiifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Convolvulus arvensis L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Convolvulus arvensis","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Datura stramonium L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Datura stramonium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Solidago canadensis var. scabra (Muhl. ex Willd.) Torr. & A.Gray","variety","Plantae","alien","null","present","Republic of Korea","KOR","Solidago altissima","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Anthemis arvensis L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Anthemis arvensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Sonchus oleraceus L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Sonchus oleraceus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Rumex acetosella L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Rumex acetosella","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Balanus eburneus Gould, 1841","species","Animalia","alien","null","present","Republic of Korea","KOR","Balanus eburneus","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","[""brackish"",""marine""]"
"Ficopomatus enigmaticus (Fauvel, 1923)","species","Animalia","alien","null","present","Republic of Korea","KOR","Ficopomatus enigmaticus","Animalia","Annelida","Polychaeta","Sabellida","Serpulidae","[""freshwater"",""brackish"",""marine""]"
"Crepidula onyx G.B.Sowerby I, 1824","species","Animalia","alien","null","present","Republic of Korea","KOR","Crepidula onyx","Animalia","Mollusca","Gastropoda","Littorinimorpha","Calyptraeidae","[""marine""]"
"Humulus japonicus Sieb. & Zucc.","species","Plantae","alien","null","present","Republic of Korea","KOR","Humulopsis scandens","Plantae","Tracheophyta","Magnoliopsida","Rosales","Cannabaceae","[""terrestrial""]"
"Chenopodium album L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Chenopodium album","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Balanus improvisus Darwin, 1854","species","Animalia","alien","null","present","Republic of Korea","KOR","Balanus improvisus","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","[""marine""]"
"Amaranthus hybridus L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Amaranthus hybridus","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Ageratum conyzoides L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Ageratum conyzoides","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Artemisia vulgaris L.","species","Plantae","alien","invasive","present","Republic of Korea","KOR","Artemisia vulgaris","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Sonchus asper Hill","species","Plantae","alien","null","present","Republic of Korea","KOR","Sonchus asper","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Ambrosia trifida L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Ambrosia trifida","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Ciona intestinalis (Linnaeus, 1767)","species","Animalia","alien","null","present","Republic of Korea","KOR","Ciona intestinalis","Animalia","Chordata","Ascidiacea","Phlebobranchia","Cionidae","[""marine""]"
"Matsucoccus thunbergianae Miller, 1987","species","Animalia","cryptogenic|uncertain","invasive","present","Republic of Korea","KOR","Matsucoccus thunbergianae","Animalia","Arthropoda","Insecta","Hemiptera","Margarodidae","[""host""]"
"Balanus amphitrite Darwin, 1854","species","Animalia","alien","null","present","Republic of Korea","KOR","Balanus amphitrite","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","[""marine""]"
"Bursaphelenchus xylophilus (Steiner & Buhrer, 1934), 1970","species","Animalia","alien","invasive","present","Republic of Korea","KOR","Bursaphelenchus xylophilus","Animalia","Nematoda","Secernentea","Aphelenchida","Aphelenchidae","[""host""]"
"Bugula neritina (Linnaeus, 1758)","species","Animalia","alien","null","present","Republic of Korea","KOR","Bugula neritina","Animalia","Bryozoa","Gymnolaemata","Cheilostomatida","Bugulidae","[""marine""]"
"Molgula manhattensis (De Kay, 1843)","species","Animalia","alien","null","present","Republic of Korea","KOR","Molgula manhattensis","Animalia","Chordata","Ascidiacea","Stolidobranchia","Molgulidae","[""marine""]"
"Clavelina lepadiformis (Müller, 1776)","species","Animalia","alien","null","present","Republic of Korea","KOR","Clavelina lepadiformis","Animalia","Chordata","Ascidiacea","Aplousobranchia","Clavelinidae","[""marine""]"
"Sorghum halepense Pers.","species","Plantae","alien","null","present","Republic of Korea","KOR","Sorghum halepense","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Sicyos angulatus L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Sicyos angulatus","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]"
"Trachemys scripta elegans (Wied, 1838)","subspecies","Animalia","alien","null","present","Republic of Korea","KOR","Trachemys scripta","Animalia","Chordata","Reptilia","Testudines","Emydidae","[""terrestrial"",""freshwater""]"
"Solanum carolinense L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Solanum carolinense","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Pinus thunbergii Parl.","species","Plantae","alien","invasive","present","Republic of Korea","KOR","Pinus thunbergii","Plantae","Tracheophyta","Pinopsida","Pinales","Pinaceae","[""terrestrial""]"
"Cakile edentula (Bigelow) Hook.","species","Plantae","alien","null","present","Republic of Korea","KOR","Cakile edentula","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Polygonum orientale L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Persicaria orientalis","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
"Erechtites hieracifolia (L.) Raf.","species","Plantae","alien","null","present","Republic of Korea","KOR","Erechtites hieracifolia","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Robinia pseudoacacia L.","species","Plantae","alien","invasive","present","Republic of Korea","KOR","Robinia pseudoacacia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Rana catesbeiana Shaw, 1802","species","Animalia","alien","invasive","present","Republic of Korea","KOR","Lithobates catesbeianus","Animalia","Chordata","Amphibia","Anura","Ranidae","[""terrestrial"",""freshwater""]"
"Limnoperna fortunei (Dunker, 1857)","species","Animalia","alien","null","present","Republic of Korea","KOR","Limnoperna fortunei","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","[""marine""]"
"Balanus perforatus Bruguière, 1789-1792","species","Animalia","alien","null","present","Republic of Korea","KOR","Balanus perforatus","Animalia","Arthropoda","Maxillopoda","Sessilia","Balanidae","[""marine""]"
"Achyranthes japonica Nakai","species","Plantae","alien","invasive","present","Republic of Korea","KOR","Achyranthes japonica","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Tagetes minuta L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Tagetes minuta","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Xenostrobus securis (Lamarck, 1819)","species","Animalia","alien","null","present","Republic of Korea","KOR","Xenostrobus securis","Animalia","Mollusca","Bivalvia","Mytilida","Mytilidae","[""marine""]"
"Morus bombycis Koidz.","species","Plantae","alien","invasive","present","Republic of Korea","KOR","Morus australis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Moraceae","[""terrestrial""]"
"Carduus crispus Guirao ex Nyman","species","Plantae","alien","null","present","Republic of Korea","KOR","Carduus crispus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Bidens frondosa L.","species","Plantae","alien","null","present","Republic of Korea","KOR","Bidens frondosa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
