"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Agrostemma githago L.","species","Plantae","alien","null","present","Republic of Moldova","MDA","Agrostemma githago","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Caryophyllaceae","[""terrestrial""]"
"Salvia sclarea L.","species","Plantae","alien","null","present","Republic of Moldova","MDA","Salvia sclarea","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Lepidium densiflorum Schrad.","species","Plantae","alien","null","present","Republic of Moldova","MDA","Lepidium densiflorum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Elaeagnus angustifolia L.","species","Plantae","alien","null","present","Republic of Moldova","MDA","Elaeagnus angustifolia","Plantae","Tracheophyta","Magnoliopsida","Rosales","Elaeagnaceae","[""terrestrial""]"
"Chelicorophium maeoticum (Sowinsky, 1898)","species","Animalia","native|alien","null","present","Republic of Moldova","MDA","Chelicorophium maeoticum","Animalia","Arthropoda","Malacostraca","Amphipoda","Corophiidae","[""freshwater"",""brackish""]"
"Tandonia kusceri (H.Wagner, 1931)","species","Animalia","cryptogenic|uncertain","null","present","Republic of Moldova","MDA","Tandonia kusceri","Animalia","Mollusca","Gastropoda","Stylommatophora","Milacidae","[""terrestrial""]"
"Trifolium incarnatum L.","species","Plantae","alien","null","present","Republic of Moldova","MDA","Trifolium incarnatum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Pyrus communis L.","species","Plantae","alien","null","present","Republic of Moldova","MDA","Pyrus communis","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
"Solanum cornutum Lam.","species","Plantae","alien","null","present","Republic of Moldova","MDA","Solanum angustifolium","Plantae","Tracheophyta","Magnoliopsida","Solanales","Solanaceae","[""terrestrial""]"
"Euphorbia peplus L.","species","Plantae","alien","null","present","Republic of Moldova","MDA","Euphorbia peplus","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Euphorbia maculata L.","species","Plantae","alien","null","present","Republic of Moldova","MDA","Euphorbia maculata","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Gossyparia spuria Cockerell, 1899","species","Animalia","alien","invasive","present","Republic of Moldova","MDA","Eriococcus spurius","Animalia","Arthropoda","Insecta","Hemiptera","Eriococcidae","[""host""]"
"Phasianus colchicus karpowi Buturlin, 1904","subspecies","Animalia","alien","null","present","Republic of Moldova","MDA","Phasianus colchicus","Animalia","Chordata","Aves","Galliformes","Phasianidae","[""terrestrial""]"
"Sicyos angulatus L.","species","Plantae","alien","null","present","Republic of Moldova","MDA","Sicyos angulatus","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]"
"Calendula arvensis L.","species","Plantae","alien","null","present","Republic of Moldova","MDA","Calendula arvensis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Xanthium albinum subsp. riparium (Celak.) Widd. & Wagenitz","subspecies","Plantae","alien","null","present","Republic of Moldova","MDA","Xanthium albinum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Echinochloa frumentacea Link","species","Plantae","alien","null","present","Republic of Moldova","MDA","Echinochloa frumentacea","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Macrobrachium nipponense (De Haan, 1849","species","Animalia","alien","invasive","present","Republic of Moldova","MDA","Macrobrachium nipponense","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","[""freshwater""]"
"Pisum sativum L.","species","Plantae","alien","null","present","Republic of Moldova","MDA","Pisum sativum","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Tragus racemosus (L.) All.","species","Plantae","alien","null","present","Republic of Moldova","MDA","Tragus racemosus","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Rumex patientia L.","species","Plantae","alien","null","present","Republic of Moldova","MDA","Rumex patientia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Polygonaceae","[""terrestrial""]"
