"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Cardaria pubescens (C.A. Mey.) Jarm.","species","Plantae","alien","null","present","Russian Federation","RUS","Lepidium appelianum","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Veronica persica Poir.","species","Plantae","alien","null","present","Russian Federation","RUS","Veronica persica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Plantaginaceae","[""terrestrial""]"
"Berberis vulgaris Linnaeus","species","Plantae","alien","null","present","Russian Federation","RUS","Berberis vulgaris","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Berberidaceae","[""terrestrial""]"
"Pueraria lobata Benth.","species","Plantae","alien","null","present","Russian Federation","RUS","Pueraria lobata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Eruca sativa Garsault","species","Plantae","alien","null","present","Russian Federation","RUS","Eruca sativa","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Sisymbrium irio L.","species","Plantae","alien","null","present","Russian Federation","RUS","Sisymbrium irio","Plantae","Tracheophyta","Magnoliopsida","Brassicales","Brassicaceae","[""terrestrial""]"
"Nepeta cataria L.","species","Plantae","alien","null","present","Russian Federation","RUS","Nepeta cataria","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Alosa pontica (Eichwald, 1838)","species","Animalia","alien","null","present","Russian Federation","RUS","Alosa immaculata","Animalia","Chordata","Actinopterygii","Clupeiformes","Clupeidae","[""freshwater"",""brackish"",""marine""]"
"Artemisia dracunculus Pursh","species","Plantae","alien","null","present","Russian Federation","RUS","Artemisia dracunculus","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Rosa viarum A.K.Skvortsov","species","Plantae","alien","null","present","Russian Federation","RUS","Rosa viarum","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rosaceae","[""terrestrial""]"
