"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Cascabela thevetia (L.) Lippold","species","Plantae","alien","null","present","Rwanda","RWA","Cascabela thevetia","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Mirabilis jalapa L.","species","Plantae","alien","invasive","present","Rwanda","RWA","Mirabilis jalapa","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]",
"Agave americana L.","species","Plantae","alien","invasive","present","Rwanda","RWA","Agave americana","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]",
"Schefflera elegantissima (H.J.Veitch ex Mast.) Lowry & Frodin","species","Plantae","alien","null","present","Rwanda","RWA","Schefflera elegantissima","Plantae","Tracheophyta","Magnoliopsida","Apiales","Araliaceae","[""terrestrial""]",
"Eucalyptus maidenii F.Müll.","species","Plantae","alien","null","present","Rwanda","RWA","Eucalyptus maidenii","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Canna generalis L.H.Bailey","species","Plantae","alien","invasive","present","Rwanda","RWA","Canna generalis","Plantae","Tracheophyta","Liliopsida","Zingiberales","Cannaceae","[""terrestrial""]",
"Acalypha hispida Burm.f.","species","Plantae","alien","null","present","Rwanda","RWA","Acalypha hispida","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Hyptis suaveolens (L.) Poit.","species","Plantae","alien","null","present","Rwanda","RWA","Mesosphaerum suaveolens","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]",
"Cirsium vulgare (Savi) Ten.","species","Plantae","alien","null","present","Rwanda","RWA","Cirsium vulgare","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Breynia disticha J.R.Forst. & G.Forst.","species","Plantae","alien","null","present","Rwanda","RWA","Breynia disticha","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Phyllanthaceae","[""terrestrial""]",
