"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Xanthosoma sagittifolium (L.) Schott","species","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Xanthosoma sagittifolium","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]"
"Chrysopogon zizanioides (L.) Roberty","species","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Chrysopogon zizanioides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Commelina benghalensis L.","species","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Commelina benghalensis","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Indigofera tinctoria L.","species","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Indigofera tinctoria","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Sphagneticola trilobata (L.) Pruski","species","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Sphagneticola trilobata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Albizia saman (Jacq.) Merr.","species","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Albizia saman","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Columba livia Gmelin, 1789","species","Animalia","alien","null","present","Saint Kitts and Nevis","KNA","Columba livia","Animalia","Chordata","Aves","Columbiformes","Columbidae","[""terrestrial""]"
"Bemisia tabaci (Gennadius, 1889)","species","Animalia","alien","null","present","Saint Kitts and Nevis","KNA","Bemisia tabaci","Animalia","Arthropoda","Insecta","Hemiptera","Aleyrodidae","[""host""]"
"Sus scrofa Linnaeus, 1758","species","Animalia","alien","invasive","present","Saint Kitts and Nevis","KNA","Sus scrofa","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","[""terrestrial""]"
"Scaevola taccada (Gaertn.) Roxb.","species","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Scaevola sericea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Goodeniaceae","[""terrestrial""]"
"Capra hircus Linnaeus, 1758","species","Animalia","alien","invasive","present","Saint Kitts and Nevis","KNA","Capra hircus","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","[""terrestrial""]"
"Setaria barbata (Lam.) Kunth","species","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Setaria barbata","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Thelypteris dentata (Forsk.) E.St.John","species","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Christella dentata","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Thelypteridaceae","[""terrestrial""]"
"Paratrechina longicornis (Latreille, 1802)","species","Animalia","alien","null","present","Saint Kitts and Nevis","KNA","Paratrechina longicornis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Streptopelia decaocto (Frivaldszky, 1838)","species","Animalia","alien","null","present","Saint Kitts and Nevis","KNA","Streptopelia decaocto","Animalia","Chordata","Aves","Columbiformes","Columbidae","[""terrestrial""]"
"Dysphania ambrosioides (L.) Mosyakin & Clemants","species","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Dysphania ambrosioides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Sorghum halepense Pers.","species","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Sorghum halepense","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Pennisetum polystachion (L.) Schult.","species","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Cenchrus polystachios","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Ardisia elliptica Thunb.","species","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Ardisia elliptica","Plantae","Tracheophyta","Magnoliopsida","Ericales","Primulaceae","[""terrestrial""]"
"Adenanthera pavonina L.","species","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Adenanthera pavonina","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Colocasia esculenta (L.) Schott","species","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Colocasia esculenta","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]"
"Iguana iguana (Linnaeus, 1758)","species","Animalia","alien","null","present","Saint Kitts and Nevis","KNA","Iguana iguana","Animalia","Chordata","Reptilia","Squamata","Iguanidae","[""terrestrial""]"
"Strumigenys rogeri Emery, 1890","species","Animalia","alien","null","present","Saint Kitts and Nevis","KNA","Strumigenys rogeri","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Brachiaria mutica Stapf","species","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Brachiaria mutica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Synbranchus marmoratus Bloch, 1795","species","Animalia","alien","null","present","Saint Kitts and Nevis","KNA","Synbranchus marmoratus","Animalia","Chordata","Actinopterygii","Synbranchiformes","Synbranchidae","[""freshwater"",""brackish""]"
"Bryophyllum xhoughtonii (D.B.Ward) P.I.Forst.","named_hybrid","Plantae","alien","null","present","Saint Kitts and Nevis","KNA","Bryophyllum xhoughtonii","Plantae","Tracheophyta","Magnoliopsida","Saxifragales","Crassulaceae","[""terrestrial""]"
"Anolis carolinensis Voigt, 1832","species","Animalia","alien","null","present","Saint Kitts and Nevis","KNA","Anolis carolinensis","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","[""terrestrial""]"
"Veronicella cubensis (L.Pfeiffer, 1840)","species","Animalia","alien","null","present","Saint Kitts and Nevis","KNA","Veronicella cubensis","Animalia","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","[""terrestrial""]"
