"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Coccinia grandis (L.) Voigt","species","Plantae","alien","invasive","present","Saint Lucia","LCA","Coccinia grandis","Plantae","Tracheophyta","Magnoliopsida","Cucurbitales","Cucurbitaceae","[""terrestrial""]"
"Sus scrofa Linnaeus, 1758","species","Animalia","alien","invasive","present","Saint Lucia","LCA","Sus scrofa","Animalia","Chordata","Mammalia","Artiodactyla","Suidae","[""terrestrial""]"
"Oreochromis mossambicus (Peters, 1852)","species","Animalia","alien","null","present","Saint Lucia","LCA","Oreochromis mossambicus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Maconellicoccus hirsutus (Green, 1908)","species","Animalia","alien","invasive","present","Saint Lucia","LCA","Maconellicoccus hirsutus","Animalia","Arthropoda","Insecta","Hemiptera","Pseudococcidae","[""host""]"
"Bothriochloa pertusa (L.) A.Camus","species","Plantae","alien","invasive","present","Saint Lucia","LCA","Bothriochloa pertusa","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Didelphis marsupialis Linnaeus, 1758","species","Animalia","alien","null","present","Saint Lucia","LCA","Didelphis marsupialis","Animalia","Chordata","Mammalia","Didelphimorphia","Didelphidae","[""terrestrial""]"
"Caesalpinia pulcherrima (L.) Sw.","species","Plantae","alien","null","present","Saint Lucia","LCA","Caesalpinia pulcherrima","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Rattus norvegicus (Berkenhout, 1769)","species","Animalia","alien","null","present","Saint Lucia","LCA","Rattus norvegicus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Calathea lutea (Aubl.) E.Mey. ex Schult.","species","Plantae","alien","null","present","Saint Lucia","LCA","Calathea lutea","Plantae","Tracheophyta","Liliopsida","Zingiberales","Marantaceae","[""terrestrial""]"
"Ligustrum japonicum Thunb.","species","Plantae","alien","null","present","Saint Lucia","LCA","Ligustrum japonicum","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Oleaceae","[""terrestrial""]"
"Columba livia Gmelin, 1789","species","Animalia","alien","null","present","Saint Lucia","LCA","Columba livia","Animalia","Chordata","Aves","Columbiformes","Columbidae","[""terrestrial""]"
"Trachemys scripta subsp. elegans (Wied, 1838)","subspecies","Animalia","alien","null","present","Saint Lucia","LCA","Trachemys scripta","Animalia","Chordata","Reptilia","Testudines","Emydidae","[""terrestrial"",""freshwater""]"
"Oreochromis niloticus (Linnaeus, 1758)","species","Animalia","alien","null","present","Saint Lucia","LCA","Oreochromis niloticus","Animalia","Chordata","Actinopterygii","Perciformes","Cichlidae","[""freshwater"",""brackish""]"
"Triphasia trifolia (Burm. fil.) P. Wilson","species","Plantae","alien","invasive","present","Saint Lucia","LCA","Triphasia trifolia","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Rutaceae","[""terrestrial""]"
"Albizia lebbeck (L.) Benth.","species","Plantae","alien","null","present","Saint Lucia","LCA","Albizia lebbeck","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Hedychium coronarium J.Koenig","species","Plantae","alien","invasive","present","Saint Lucia","LCA","Hedychium coronarium","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]"
"Kalanchoe pinnata (Lam.) Pers.","species","Plantae","alien","invasive","present","Saint Lucia","LCA","Kalanchoe pinnata","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Costus scaber Ruiz & Pav.","species","Plantae","alien","null","present","Saint Lucia","LCA","Costus scaber","Plantae","Tracheophyta","Liliopsida","Zingiberales","Costaceae","[""terrestrial""]"
"Impatiens walleriana Hook. fil.","species","Plantae","alien","null","present","Saint Lucia","LCA","Impatiens walleriana","Plantae","Tracheophyta","Magnoliopsida","Ericales","Balsaminaceae","[""terrestrial""]"
"Emilia praetermissa Milne-Redh.","species","Plantae","alien","invasive","present","Saint Lucia","LCA","Emilia praetermissa","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Ovis aries Linnaeus, 1758","species","Animalia","alien","null","present","Saint Lucia","LCA","Ovis aries","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","[""terrestrial""]"
"Cordia obliqua Willd.","species","Plantae","alien","invasive","present","Saint Lucia","LCA","Cordia obliqua","Plantae","Tracheophyta","Magnoliopsida","Boraginales","Ehretiaceae","[""terrestrial""]"
"Nephrolepis brownii (Desv.) Hovenk. & Miyam.","species","Plantae","alien","invasive","present","Saint Lucia","LCA","Nephrolepis brownii","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Nephrolepidaceae","[""terrestrial""]"
"Ptychosperma macarthurii (H.Wendl. ex H.J.Veitch) H.Wendl. ex Hook.f.","species","Plantae","alien","null","present","Saint Lucia","LCA","Ptychosperma macarthurii","Plantae","Tracheophyta","Liliopsida","Arecales","Arecaceae","[""terrestrial""]"
"Abrus precatorius L.","species","Plantae","alien","null","present","Saint Lucia","LCA","Abrus precatorius","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Clerodendrum chinense (Osbeck) Mabb.","species","Plantae","alien","null","present","Saint Lucia","LCA","Clerodendrum chinense","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Lamiaceae","[""terrestrial""]"
"Cyanotis cristata (L.) D.Don","species","Plantae","alien","null","present","Saint Lucia","LCA","Cyanotis cristata","Plantae","Tracheophyta","Liliopsida","Commelinales","Commelinaceae","[""terrestrial""]"
"Thelypteris extensa (Bl.) Morton","species","Plantae","alien","null","present","Saint Lucia","LCA","Amphineuron opulentum","Plantae","Tracheophyta","Polypodiopsida","Polypodiales","Thelypteridaceae","[""terrestrial""]"
"Sansevieria hyacinthoides (L.) Druce","species","Plantae","alien","null","present","Saint Lucia","LCA","Sansevieria hyacinthoides","Plantae","Tracheophyta","Liliopsida","Asparagales","Asparagaceae","[""terrestrial""]"
"Rhinella marina (Linnaeus, 1758)","species","Animalia","alien","null","present","Saint Lucia","LCA","Rhinella marina","Animalia","Chordata","Amphibia","Anura","Bufonidae","[""terrestrial"",""freshwater""]"
"Oeceoclades maculata (Lindl.) Lindl.","species","Plantae","alien","invasive","present","Saint Lucia","LCA","Oeceoclades maculata","Plantae","Tracheophyta","Liliopsida","Asparagales","Orchidaceae","[""terrestrial""]"
"Bambusa vulgaris Schrad.","species","Plantae","alien","null","present","Saint Lucia","LCA","Bambusa vulgaris","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Scaevola taccada (Gaertn.) Roxb.","species","Plantae","alien","invasive","present","Saint Lucia","LCA","Scaevola sericea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Goodeniaceae","[""terrestrial""]"
"Herpestes javanicus","species","Animalia","alien","invasive","present","Saint Lucia","LCA","Herpestes javanicus","Animalia","Chordata","Mammalia","Carnivora","Herpestidae","[""terrestrial""]"
"Jatropha curcas L.","species","Plantae","alien","null","present","Saint Lucia","LCA","Jatropha curcas","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Eragrostis cilianensis (All.) Janch.","species","Plantae","alien","null","present","Saint Lucia","LCA","Eragrostis cilianensis","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Gliricidia sepium (Jacq.) Walp.","species","Plantae","alien","null","present","Saint Lucia","LCA","Gliricidia sepium","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Eragrostis airoides Nees","species","Plantae","alien","null","present","Saint Lucia","LCA","Eragrostis airoides","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Canis lupus Linnaeus, 1758","species","Animalia","alien","invasive","present","Saint Lucia","LCA","Canis lupus","Animalia","Chordata","Mammalia","Carnivora","Canidae","[""terrestrial""]"
"Prosopis juliflora (Sw.) DC.","species","Plantae","alien","null","present","Saint Lucia","LCA","Prosopis juliflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Anolis wattsi Boulenger, 1894","species","Animalia","alien","invasive","present","Saint Lucia","LCA","Anolis wattsi","Animalia","Chordata","Reptilia","Squamata","Dactyloidae","[""terrestrial""]"
"Amazona amazonica (Linnaeus, 1766)","species","Animalia","alien","null","present","Saint Lucia","LCA","Amazona amazonica","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","[""terrestrial""]"
"Mimosa pigra L.","species","Plantae","alien","invasive","present","Saint Lucia","LCA","Mimosa pigra","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Eichhornia crassipes (Mart.) Solms","species","Plantae","alien","null","present","Saint Lucia","LCA","Eichhornia crassipes","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]"
"Leucaena leucocephala (Lam.) de Wit","species","Plantae","alien","invasive","present","Saint Lucia","LCA","Leucaena leucocephala","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
