"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Abrus precatorius L.","species","Plantae","alien","null","present","Saint Vincent and the Grenadines","VCT","Abrus precatorius","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Delonix regia (Bojer) Raf.","species","Plantae","alien","null","present","Saint Vincent and the Grenadines","VCT","Delonix regia","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Sesbania sericea (Willd.) Link","species","Plantae","alien","null","present","Saint Vincent and the Grenadines","VCT","Sesbania sericea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Eichhornia crassipes Solms","species","Plantae","alien","null","present","Saint Vincent and the Grenadines","VCT","Eichhornia crassipes","Plantae","Tracheophyta","Liliopsida","Commelinales","Pontederiaceae","[""freshwater""]"
"Eleutherodactylus johnstonei Barbour, 1914","species","Animalia","alien","null","present","Saint Vincent and the Grenadines","VCT","Eleutherodactylus johnstonei","Animalia","Chordata","Amphibia","Anura","Eleutherodactylidae","[""terrestrial"",""freshwater""]"
"Launaea intybacea Beauverd","species","Plantae","alien","null","present","Saint Vincent and the Grenadines","VCT","Launaea intybacea","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Raoiella indica Hirst, 1924","species","Animalia","alien","null","present","Saint Vincent and the Grenadines","VCT","Raoiella indica","Animalia","Arthropoda","Arachnida","Prostigmata","Tenuipalpidae","[""host""]"
"Paratrechina longicornis (Latreille, 1802)","species","Animalia","alien","null","present","Saint Vincent and the Grenadines","VCT","Paratrechina longicornis","Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","[""terrestrial""]"
"Xanthosoma sagittifolium (L.) Schott","species","Plantae","alien","null","present","Saint Vincent and the Grenadines","VCT","Xanthosoma sagittifolium","Plantae","Tracheophyta","Liliopsida","Alismatales","Araceae","[""terrestrial"",""freshwater""]"
"Acacia auriculiformis Benth.","species","Plantae","alien","null","present","Saint Vincent and the Grenadines","VCT","Acacia auriculiformis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
