"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat","accepted_name"
"Cascabela thevetia (L.) Lippold","species","Plantae","alien","null","present","Sao Tome and Principe","STP","Cascabela thevetia","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Annona cherimola Miller","species","Plantae","alien","null","present","Sao Tome and Principe","STP","Annona cherimola","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Annonaceae","[""terrestrial""]",
"Gossypium hirsutum L.","species","Plantae","alien","null","present","Sao Tome and Principe","STP","Gossypium hirsutum","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Terminalia catappa L.","species","Plantae","alien","null","present","Sao Tome and Principe","STP","Terminalia catappa","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae","[""terrestrial""]",
"Buxus sempervirens L.","species","Plantae","cryptogenic|uncertain","null","present","Sao Tome and Principe","STP","Buxus sempervirens","Plantae","Tracheophyta","Magnoliopsida","Buxales","Buxaceae","[""terrestrial""]",
"Abelmoschus moschatus Medik.","species","Plantae","alien","null","present","Sao Tome and Principe","STP","Abelmoschus moschatus","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Chamaesyce serpens (Kunth) Small","species","Plantae","alien","null","present","Sao Tome and Principe","STP","Euphorbia serpens","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Chrysanthemum indicum L.","species","Plantae","alien","null","present","Sao Tome and Principe","STP","Chrysanthemum indicum","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]",
"Hedychium coronarium J.Koenig","species","Plantae","alien","null","present","Sao Tome and Principe","STP","Hedychium coronarium","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]",
"Psidium guajava L.","species","Plantae","alien","null","present","Sao Tome and Principe","STP","Psidium guajava","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]",
"Asclepias curassavica L.","species","Plantae","alien","null","present","Sao Tome and Principe","STP","Asclepias curassavica","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Apocynaceae","[""terrestrial""]",
"Abutilon striatum Dicks. ex Lindl.","species","Plantae","alien","null","present","Sao Tome and Principe","STP","Callianthe striata","Plantae","Tracheophyta","Magnoliopsida","Malvales","Malvaceae","[""terrestrial""]",
"Hippeastrum puniceum (Lam.) Kuntze","species","Plantae","alien","null","present","Sao Tome and Principe","STP","Hippeastrum puniceum","Plantae","Tracheophyta","Liliopsida","Asparagales","Amaryllidaceae","[""terrestrial""]",
"Asimina triloba Dunal","species","Plantae","cryptogenic|uncertain","null","present","Sao Tome and Principe","STP","Asimina triloba","Plantae","Tracheophyta","Magnoliopsida","Magnoliales","Annonaceae","[""terrestrial""]",
"Equus caballus Linnaeus, 1758","species","Animalia","alien","null","present","Sao Tome and Principe","STP","Equus caballus","Animalia","Chordata","Mammalia","Perissodactyla","Equidae","[""terrestrial""]",
"Manihot esculenta Crantz","species","Plantae","alien","null","present","Sao Tome and Principe","STP","Manihot esculenta","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]",
"Sambucus mexicana Sarg.","species","Plantae","alien","null","present","Sao Tome and Principe","STP","Sambucus mexicana","Plantae","Tracheophyta","Magnoliopsida","Dipsacales","Adoxaceae","[""terrestrial""]",
"Elettaria cardamomum Maton","species","Plantae","cryptogenic|uncertain","null","present","Sao Tome and Principe","STP","Elettaria cardamomum","Plantae","Tracheophyta","Liliopsida","Zingiberales","Zingiberaceae","[""terrestrial""]",
