"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Xanthomonas axonopodis Starr & Garces, 1950","species","Bacteria","alien","null","present","Saudi Arabia","SAU","Xanthomonas axonopodis","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","[""host""]"
"Ceratophyllum demersum L.","species","Plantae","alien","null","present","Saudi Arabia","SAU","Ceratophyllum demersum","Plantae","Tracheophyta","Magnoliopsida","Ceratophyllales","Ceratophyllaceae","[""freshwater""]"
"Digitaria abyssinica (Hochst. ex A.Rich.) Stapf","species","Plantae","alien","null","present","Saudi Arabia","SAU","Digitaria abyssinica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Senna occidentalis (L.) Link","species","Plantae","alien","null","present","Saudi Arabia","SAU","Senna occidentalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Rattus norvegicus (Berkenhout, 1769)","species","Animalia","alien","invasive","present","Saudi Arabia","SAU","Rattus norvegicus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Operculina turpethum (L.) Silva Manso","species","Plantae","alien","null","present","Saudi Arabia","SAU","Operculina turpethum","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial""]"
"Sparus aurata Linnaeus, 1758","species","Animalia","alien","null","present","Saudi Arabia","SAU","Sparus aurata","Animalia","Chordata","Actinopterygii","Perciformes","Sparidae","[""brackish"",""marine""]"
"Cuscuta campestris Yunck.","species","Plantae","alien","invasive","present","Saudi Arabia","SAU","Cuscuta pentagona","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""host""]"
"Apis florea Fabricius, 1787","species","Animalia","alien","null","present","Saudi Arabia","SAU","Apis florea","Animalia","Arthropoda","Insecta","Hymenoptera","Apidae","[""terrestrial""]"
"Psittacula krameri (Scopoli, 1769)","species","Animalia","alien","null","present","Saudi Arabia","SAU","Psittacula krameri","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","[""terrestrial""]"
