"scientific_name","scientific_name_type","kingdom","establishment_means","is_invasive","occurrence_status","checklist.name","checklist.iso_countrycode_alpha3","accepted_name.species","accepted_name.kingdom","accepted_name.phylum","accepted_name.class","accepted_name.order","accepted_name.family","accepted_name.habitat"
"Dalbergia sissoo DC.","species","Plantae","alien","null","present","Senegal","SEN","Dalbergia sissoo","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Parkinsonia aculeata L.","species","Plantae","alien","invasive","present","Senegal","SEN","Parkinsonia aculeata","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Ipomoea aquatica Forssk.","species","Plantae","alien","null","present","Senegal","SEN","Ipomoea aquatica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial"",""freshwater""]"
"Terminalia catappa L.","species","Plantae","alien","null","present","Senegal","SEN","Terminalia catappa","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Combretaceae","[""terrestrial""]"
"Acacia auriculiformis Benth.","species","Plantae","alien","null","present","Senegal","SEN","Acacia auriculiformis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Lantana camara L.","species","Plantae","alien","invasive","present","Senegal","SEN","Lantana camara","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Verbenaceae","[""terrestrial""]"
"Eucalyptus camaldulensis Dehnh.","species","Plantae","alien","null","present","Senegal","SEN","Eucalyptus camaldulensis","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Myrtaceae","[""terrestrial""]"
"Euphorbia hypericifolia L.","species","Plantae","alien","null","present","Senegal","SEN","Euphorbia hypericifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Bactrocera dorsalis (Hendel, 1912)","species","Animalia","alien","invasive","present","Senegal","SEN","Bactrocera dorsalis","Animalia","Arthropoda","Insecta","Diptera","Tephritidae","[""terrestrial""]"
"Prosopis juliflora (Sw.) DC.","species","Plantae","alien","invasive","present","Senegal","SEN","Prosopis juliflora","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Ziziphus mauritiana Lam.","species","Plantae","cryptogenic|uncertain","null","present","Senegal","SEN","Ziziphus mauritiana","Plantae","Tracheophyta","Magnoliopsida","Rosales","Rhamnaceae","[""terrestrial""]"
"Euphorbia hypericifolia L.","species","Plantae","alien","null","present","Senegal","SEN","Euphorbia hypericifolia","Plantae","Tracheophyta","Magnoliopsida","Malpighiales","Euphorbiaceae","[""terrestrial""]"
"Senna occidentalis (L.) Link","species","Plantae","alien","null","present","Senegal","SEN","Senna occidentalis","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Mimosa pudica L.","species","Plantae","alien","null","present","Senegal","SEN","Mimosa pudica","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Boerhavia coccinea Mill.","species","Plantae","alien","null","present","Senegal","SEN","Boerhavia coccinea","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Nyctaginaceae","[""terrestrial""]"
"Aloe vera (L.) Burm.f.","species","Plantae","alien","null","present","Senegal","SEN","Aloe vera","Plantae","Tracheophyta","Liliopsida","Asparagales","Xanthorrhoeaceae","[""terrestrial""]"
"Macrobrachium rosenbergii (De Man, 1879)","species","Animalia","alien","null","present","Senegal","SEN","Macrobrachium rosenbergii","Animalia","Arthropoda","Malacostraca","Decapoda","Palaemonidae","[""freshwater""]"
"Oxycaryum cubense (Poepp. & Kunth) Lye","species","Plantae","alien","invasive","present","Senegal","SEN","Cyperus blepharoleptos","Plantae","Tracheophyta","Liliopsida","Poales","Cyperaceae","[""terrestrial"",""freshwater""]"
"Cecropia peltata L.","species","Plantae","alien","null","present","Senegal","SEN","Cecropia peltata","Plantae","Tracheophyta","Magnoliopsida","Rosales","Urticaceae","[""terrestrial""]"
"Spermacoce verticillata L.","species","Plantae","alien","null","present","Senegal","SEN","Spermacoce verticillata","Plantae","Tracheophyta","Magnoliopsida","Gentianales","Rubiaceae","[""terrestrial""]"
"Ipomoea aquatica Forssk.","species","Plantae","alien","null","present","Senegal","SEN","Ipomoea aquatica","Plantae","Tracheophyta","Magnoliopsida","Solanales","Convolvulaceae","[""terrestrial"",""freshwater""]"
"Rattus rattus (Linnaeus, 1758)","species","Animalia","alien","null","present","Senegal","SEN","Rattus rattus","Animalia","Chordata","Mammalia","Rodentia","Muridae","[""terrestrial""]"
"Phaseolus lunatus L.","species","Plantae","alien","null","present","Senegal","SEN","Phaseolus lunatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Poecilia reticulata Peters, 1859","species","Animalia","alien","null","present","Senegal","SEN","Poecilia reticulata","Animalia","Chordata","Actinopterygii","Cyprinodontiformes","Poeciliidae","[""freshwater"",""brackish""]"
"Elephantopus mollis Kunth","species","Plantae","alien","null","present","Senegal","SEN","Elephantopus mollis","Plantae","Tracheophyta","Magnoliopsida","Asterales","Asteraceae","[""terrestrial""]"
"Dichrostachys cinerea (L.) Wight & Arn.","species","Plantae","alien","null","present","Senegal","SEN","Dichrostachys cinerea","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Casuarina glauca Sieber","species","Plantae","alien","null","present","Senegal","SEN","Casuarina glauca","Plantae","Tracheophyta","Magnoliopsida","Fagales","Casuarinaceae","[""terrestrial""]"
"Melia azedarach L.","species","Plantae","alien","null","present","Senegal","SEN","Melia azedarach","Plantae","Tracheophyta","Magnoliopsida","Sapindales","Meliaceae","[""terrestrial""]"
"Sorghum halepense Pers.","species","Plantae","alien","null","present","Senegal","SEN","Sorghum halepense","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Tetragonia tetragonioides (Pall.) Kuntze","species","Plantae","alien","null","present","Senegal","SEN","Tetragonia tetragonioides","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Aizoaceae","[""terrestrial""]"
"Argemone mexicana L.","species","Plantae","alien","null","present","Senegal","SEN","Argemone mexicana","Plantae","Tracheophyta","Magnoliopsida","Ranunculales","Papaveraceae","[""terrestrial""]"
"Spathodea campanulata P.Beauv.","species","Plantae","alien","null","present","Senegal","SEN","Spathodea campanulata","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Bignoniaceae","[""terrestrial""]"
"Phaseolus lunatus L.","species","Plantae","alien","null","present","Senegal","SEN","Phaseolus lunatus","Plantae","Tracheophyta","Magnoliopsida","Fabales","Fabaceae","[""terrestrial""]"
"Striga hermonthica (Delile) Benth.","species","Plantae","alien","invasive","present","Senegal","SEN","Striga hermonthica","Plantae","Tracheophyta","Magnoliopsida","Lamiales","Orobanchaceae","[""terrestrial""]"
"Ludwigia adscendens (L.) H.Hara","species","Plantae","alien","invasive","present","Senegal","SEN","Ludwigia adscendens","Plantae","Tracheophyta","Magnoliopsida","Myrtales","Onagraceae","[""terrestrial"",""freshwater""]"
"Anredera cordifolia (Ten.) Steenis","species","Plantae","alien","invasive","present","Senegal","SEN","Anredera cordifolia","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Basellaceae","[""terrestrial""]"
"Imperata cylindrica (L.) P.Beauv.","species","Plantae","alien","invasive","present","Senegal","SEN","Imperata cylindrica","Plantae","Tracheophyta","Liliopsida","Poales","Poaceae","[""terrestrial""]"
"Amaranthus dubius Mart.","species","Plantae","alien","null","present","Senegal","SEN","Amaranthus dubius","Plantae","Tracheophyta","Magnoliopsida","Caryophyllales","Amaranthaceae","[""terrestrial""]"
"Najas pectinata Magnus","species","Plantae","alien","invasive","present","Senegal","SEN","Najas pectinata","Plantae","Tracheophyta","Liliopsida","Alismatales","Hydrocharitaceae","[""freshwater""]"
"Trogoderma granarium Everts, 1898","species","Animalia","alien","null","present","Senegal","SEN","Trogoderma granarium","Animalia","Arthropoda","Insecta","Coleoptera","Dermestidae","[""terrestrial""]"
"Xylosandrus compactus Eichhoff, 1875","species","Animalia","alien","invasive","present","Senegal","SEN","Xylosandrus compactus","Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","[""terrestrial""]"
"Penaeus monodon Fabricius, 1798","species","Animalia","alien","null","present","Senegal","SEN","Penaeus monodon","Animalia","Arthropoda","Malacostraca","Decapoda","Penaeidae","[""marine""]"
